# 20240826_210518
# initdata:	data/init_real_m1000_consteps_20240826_143341/init8.csv
# particle mass:	1
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,1772.6,0
0.0100503,1743.91,0
0.0201005,1660.27,0
0.0301508,1528.66,0
0.040201,1360,0
0.0502513,1168.03,0
0.0603015,967.733,0
0.0703518,773.706,0
0.080402,598.092,0
0.0904523,449.324,0
0.100503,331.206,0
0.110553,243.036,0
0.120603,180.62,0
0.130653,137.904,0
0.140704,108.718,0
0.150754,88.1052,0
0.160804,72.8693,0
0.170854,61.3277,0
0.180905,52.5951,0
0.190955,45.9103,0
0.201005,40.2905,0
0.211055,34.7624,0
0.221106,28.7632,0
0.231156,22.4234,0
0.241206,16.4502,0
0.251256,11.6537,0
0.261307,8.42996,0
0.271357,6.54854,0
0.281407,5.37227,0
0.291457,4.32186,0
0.301508,3.2297,0
0.311558,2.33112,0
0.321608,1.93932,0
0.331658,2.1006,0
0.341709,2.52475,0
0.351759,2.83544,0
0.361809,2.90057,0
0.371859,2.93371,0
0.38191,3.2689,0
0.39196,4.01572,0
0.40201,4.92055,0
0.41206,5.58173,0
0.422111,5.81072,0
0.432161,5.82091,0
0.442211,6.02615,0
0.452261,6.64115,0
0.462312,7.45759,0
0.472362,8.02467,0
0.482412,8.07583,0
0.492462,7.79262,0
0.502513,7.63896,0
0.512563,7.91358,0
0.522613,8.45511,0
0.532663,8.798,0
0.542714,8.6349,0
0.552764,8.12762,0
0.562814,7.74974,0
0.572864,7.81397,0
0.582915,8.16128,0
0.592965,8.33212,0
0.603015,8.0456,0
0.613065,7.49209,0
0.623116,7.13204,0
0.633166,7.21316,0
0.643216,7.51453,0
0.653266,7.5883,0
0.663317,7.23933,0
0.673367,6.72729,0
0.683417,6.47656,0
0.693467,6.61173,0
0.703518,6.8257,0
0.713568,6.72078,0
0.723618,6.24285,0
0.733668,5.7306,0
0.743719,5.53156,0
0.753769,5.62037,0
0.763819,5.64258,0
0.773869,5.32571,0
0.78392,4.78507,0
0.79397,4.38266,0
0.80402,4.31173,0
0.81407,4.38897,0
0.824121,4.28524,0
0.834171,3.91466,0
0.844221,3.52594,0
0.854271,3.3989,0
0.864322,3.51342,0
0.874372,3.58077,0
0.884422,3.39007,0
0.894472,3.05069,0
0.904523,2.84717,0
0.914573,2.8907,0
0.924623,2.99071,0
0.934673,2.89177,0
0.944724,2.58058,0
0.954774,2.2913,0
0.964824,2.21481,0
0.974874,2.27469,0
0.984925,2.23773,0
0.994975,2.00951,0
1.00503,1.7451,0
1.01508,1.64765,0
1.02513,1.71677,0
1.03518,1.75996,0
1.04523,1.64097,0
1.05528,1.44506,0
1.06533,1.35811,0
1.07538,1.42424,0
1.08543,1.49267,0
1.09548,1.41377,0
1.10553,1.22645,0
1.11558,1.09982,0
1.12563,1.11342,0
1.13568,1.16224,0
1.14573,1.10177,0
1.15578,0.936872,0
1.16583,0.810189,0
1.17588,0.814152,0
1.18593,0.876394,0
1.19598,0.862936,0
1.20603,0.754863,0
1.21608,0.665663,0
1.22613,0.683983,0
1.23618,0.755528,0
1.24623,0.757637,0
1.25628,0.66092,0
1.26633,0.562237,0
1.27638,0.551472,0
1.28643,0.594874,0
1.29648,0.587672,0
1.30653,0.498055,0
1.31658,0.407162,0
1.32663,0.396921,0
1.33668,0.442309,0
1.34673,0.45158,0
1.35678,0.393325,0
1.36683,0.335409,0
1.37688,0.347088,0
1.38693,0.402513,0
1.39698,0.416655,0
1.40704,0.360391,0
1.41709,0.296319,0
1.42714,0.290122,0
1.43719,0.322663,0
1.44724,0.321481,0
1.45729,0.263176,0
1.46734,0.204174,0
1.47739,0.201262,0
1.48744,0.235425,0
1.49749,0.242861,0
1.50754,0.205238,0
1.51759,0.172135,0
1.52764,0.187765,0
1.53769,0.227675,0
1.54774,0.23323,0
1.55779,0.192766,0
1.56784,0.155323,0
1.57789,0.160518,0
1.58794,0.184882,0
1.59799,0.178146,0
1.60804,0.135178,0
1.61809,0.102123,0
1.62814,0.11106,0
1.63819,0.137169,0
1.64824,0.13681,0
1.65829,0.109352,0
1.66834,0.0950535,0
1.67839,0.114975,0
1.68844,0.140308,0
1.69849,0.13356,0
1.70854,0.100997,0
1.71859,0.0820541,0
1.72864,0.0931282,0
1.73869,0.106648,0
1.74874,0.0931557,0
1.75879,0.0639658,0
1.76884,0.053881,0
1.77889,0.0710796,0
1.78894,0.0868084,0
1.79899,0.0779122,0
1.80905,0.0593434,0
1.8191,0.0605194,0
1.82915,0.0814375,0
1.8392,0.0922839,0
1.84925,0.0759614,0
1.8593,0.0516203,0
1.86935,0.0465057,0
1.8794,0.0581662,0
1.88945,0.0608701,0
1.8995,0.0446231,0
1.90955,0.0292354,0
1.9196,0.0344202,0
1.92965,0.0510777,0
1.9397,0.0553025,0
1.94975,0.0432016,0
1.9598,0.035255,0
1.96985,0.0449548,0
1.9799,0.0585409,0
1.98995,0.0550876,0
2,0.0367514,0
