# 20240926_130603
# initdata:	data/init_real_m226_s-1_consteps_20240926_124618/init4.csv
# particle mass:	0.226
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,14948.2,0
0.0100503,14170.9,0
0.0201005,12071.5,0
0.0301508,9239.93,0
0.040201,6363.4,0
0.0502513,3963.12,0
0.0603015,2259.16,0
0.0703518,1201.06,0
0.080402,601.892,0
0.0904523,274.462,0
0.100503,99.5002,0
0.110553,20.0753,0
0.120603,3.63105,0
0.130653,16.7021,0
0.140704,28.0182,0
0.150754,23.8687,0
0.160804,11.8451,0
0.170854,6.55663,0
0.180905,12.2673,0
0.190955,20.011,0
0.201005,19.7347,0
0.211055,11.8097,0
0.221106,5.01587,0
0.231156,5.17532,0
0.241206,8.96139,0
0.251256,9.48438,0
0.261307,5.29025,0
0.271357,1.32112,0
0.281407,1.75442,0
0.291457,4.80315,0
0.301508,5.83814,0
0.311558,3.76863,0
0.321608,1.97888,0
0.331658,3.2178,0
0.341709,5.85733,0
0.351759,6.34865,0
0.361809,4.00058,0
0.371859,1.54183,0
0.38191,1.22869,0
0.39196,2.16036,0
0.40201,2.13528,0
0.41206,0.888384,0
0.422111,0.140547,0
0.432161,0.854752,0
0.442211,1.89838,0
0.452261,1.83364,0
0.462312,0.971211,0
0.472362,0.744154,0
0.482412,1.53944,0
0.492462,2.19748,0
0.502513,1.73437,0
0.512563,0.669018,0
0.522613,0.157023,0
0.532663,0.394426,0
0.542714,0.58702,0
0.552764,0.292537,0
0.562814,0.025125,0
0.572864,0.33741,0
0.582915,0.907474,0
0.592965,1.00751,0
0.603015,0.57314,0
0.613065,0.258285,0
0.623116,0.458179,0
0.633166,0.782448,0
0.643216,0.688526,0
0.653266,0.25853,0
0.663317,0.00455958,0
0.673367,0.101632,0
0.683417,0.220915,0
0.693467,0.121368,0
0.703518,0.0232104,0
0.713568,0.213593,0
0.723618,0.547025,0
0.733668,0.624165,0
0.743719,0.363374,0
0.753769,0.102673,0
0.763819,0.108541,0
0.773869,0.24083,0
0.78392,0.227269,0
0.79397,0.0772139,0
0.80402,0.0185787,0
0.81407,0.115921,0
0.824121,0.185221,0
0.834171,0.109598,0
0.844221,0.0338763,0
0.854271,0.133294,0
0.864322,0.325645,0
0.874372,0.373262,0
0.884422,0.216385,0
0.894472,0.0420278,0
0.904523,0.0101382,0
0.914573,0.0600507,0
0.924623,0.057307,0
0.934673,0.0143775,0
0.944724,0.0437373,0
0.954774,0.147547,0
0.964824,0.194525,0
0.974874,0.120335,0
0.984925,0.0324923,0
0.994975,0.0549219,0
1.00503,0.149729,0
1.01508,0.179964,0
1.02513,0.106587,0
1.03518,0.0256475,0
1.04523,0.0132788,0
1.05528,0.0299106,0
1.06533,0.0154356,0
1.07538,0.00108472,0
1.08543,0.0538712,0
1.09548,0.149142,0
1.10553,0.183294,0
1.11558,0.116287,0
1.12563,0.0294448,0
1.13568,0.013153,0
1.14573,0.052683,0
1.15578,0.0711593,0
1.16583,0.0475141,0
1.17588,0.0298779,0
1.18593,0.0436069,0
1.19598,0.0514278,0
1.20603,0.0251727,0
1.21608,0.00357576,0
1.22613,0.0366158,0
1.23618,0.101794,0
1.24623,0.125526,0
1.25628,0.0814998,0
1.26633,0.0215784,0
1.27638,0.000273963,0
1.28643,0.00980012,0
1.29648,0.013951,0
1.30653,0.0127323,0
1.31658,0.0331941,0
1.32663,0.0699271,0
1.33668,0.0800244,0
1.34673,0.0462539,0
1.35678,0.00931679,0
1.36683,0.01499,0
1.37688,0.0523601,0
1.38693,0.0722518,0
1.39698,0.0544874,0
1.40704,0.025909,0
1.41709,0.013098,0
1.42714,0.00955028,0
1.43719,0.00223431,0
1.44724,0.00356318,0
1.45729,0.0312381,0
1.46734,0.0692887,0
1.47739,0.0786025,0
1.48744,0.0479867,0
1.49749,0.010807,0
1.50754,0.00180582,0
1.51759,0.0164684,0
1.52764,0.027428,0
1.53769,0.025906,0
1.54774,0.0254311,0
1.55779,0.0307046,0
1.56784,0.0277381,0
1.57789,0.011171,0
1.58794,0.000992418,0
1.59799,0.0167832,0
1.60804,0.0466385,0
1.61809,0.0590017,0
1.62814,0.0422739,0
1.63819,0.0160858,0
1.64824,0.00241116,0
1.65829,0.00167226,0
1.66834,0.00435326,0
1.67839,0.0113478,0
1.68844,0.0279248,0
1.69849,0.0448308,0
1.70854,0.0434374,0
1.71859,0.0220937,0
1.72864,0.00313234,0
1.73869,0.00625976,0
1.74874,0.0245045,0
1.75879,0.0356511,0
1.76884,0.0306991,0
1.77889,0.0195775,0
1.78894,0.0119608,0
1.79899,0.00622509,0
1.80905,0.000700413,0
1.8191,0.00316759,0
1.82915,0.0193186,0
1.8392,0.0383412,0
1.84925,0.0416879,0
1.8593,0.0257885,0
1.86935,0.00665685,0
1.8794,2.02013e-05,0
1.88945,0.00514104,0
1.8995,0.0121721,0
1.90955,0.0173281,0
1.9196,0.022635,0
1.92965,0.0254557,0
1.9397,0.0193347,0
1.94975,0.00657799,0
1.9598,0.00062446,0
1.96985,0.0103117,0
1.9799,0.0271252,0
1.98995,0.0344,0
2,0.0264745,0
