# 20240926_131052
# initdata:	data/init_real_m226_s-1_consteps_20240926_124618/init8.csv
# particle mass:	0.226
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,24774.1,0
0.0100503,23693.5,0
0.0201005,20739.1,0
0.0301508,16648.9,0
0.040201,12310,0
0.0502513,8444.85,0
0.0603015,5433.35,0
0.0703518,3320.29,0
0.080402,1946.21,0
0.0904523,1096.98,0
0.100503,595.513,0
0.110553,321.869,0
0.120603,193.722,0
0.130653,146.141,0
0.140704,128.07,0
0.150754,109.181,0
0.160804,82.5795,0
0.170854,56.3879,0
0.180905,39.6814,0
0.190955,33.2545,0
0.201005,30.7287,0
0.211055,25.9545,0
0.221106,18.3484,0
0.231156,11.6074,0
0.241206,8.60997,0
0.251256,8.45428,0
0.261307,8.14635,0
0.271357,6.11539,0
0.281407,3.41517,0
0.291457,1.84634,0
0.301508,1.74772,0
0.311558,1.97831,0
0.321608,1.58141,0
0.331658,0.819381,0
0.341709,0.509915,0
0.351759,0.838082,0
0.361809,1.20333,0
0.371859,1.08301,0
0.38191,0.646388,0
0.39196,0.402747,0
0.40201,0.503778,0
0.41206,0.633243,0
0.422111,0.503773,0
0.432161,0.215054,0
0.442211,0.0494303,0
0.452261,0.0812609,0
0.462312,0.13918,0
0.472362,0.0941803,0
0.482412,0.0244301,0
0.492462,0.0583257,0
0.502513,0.169164,0
0.512563,0.217187,0
0.522613,0.149282,0
0.532663,0.0605901,0
0.542714,0.0506883,0
0.552764,0.0957959,0
0.562814,0.104894,0
0.572864,0.0541924,0
0.582915,0.00594854,0
0.592965,0.00722741,0
0.603015,0.0293929,0
0.613065,0.0257099,0
0.623116,0.00548734,0
0.633166,0.0137735,0
0.643216,0.0564189,0
0.653266,0.0864826,0
0.663317,0.0688964,0
0.673367,0.0264779,0
0.683417,0.0050252,0
0.693467,0.0138652,0
0.703518,0.0243179,0
0.713568,0.0175184,0
0.723618,0.00714419,0
0.733668,0.0106078,0
0.743719,0.0201477,0
0.753769,0.0175861,0
0.763819,0.00551793,0
0.773869,0.00482398,0
0.78392,0.022768,0
0.79397,0.0403536,0
0.80402,0.0373016,0
0.81407,0.0178688,0
0.824121,0.00245302,0
0.834171,0.000673357,0
0.844221,0.00437678,0
0.854271,0.00515638,0
0.864322,0.00621198,0
0.874372,0.0124923,0
0.884422,0.0186425,0
0.894472,0.0156591,0
0.904523,0.00569447,0
0.914573,0.00100837,0
0.924623,0.0075103,0
0.934673,0.0167947,0
0.944724,0.0177629,0
0.954774,0.0105507,0
0.964824,0.00388151,0
0.974874,0.00216164,0
0.984925,0.00191748,0
0.994975,0.00052456,0
1.00503,0.00156934,0
1.01508,0.00823652,0
1.02513,0.0159099,0
1.03518,0.0165833,0
1.04523,0.00934856,0
1.05528,0.00186397,0
1.06533,0.000833926,0
1.07538,0.00483763,0
1.08543,0.00817125,0
1.09548,0.00844526,0
1.10553,0.00733349,0
1.11558,0.00589221,0
1.12563,0.00331723,0
1.13568,0.000507426,0
1.14573,0.000996653,0
1.15578,0.00618867,0
1.16583,0.0119087,0
1.17588,0.0124607,0
1.18593,0.00739152,0
1.19598,0.00180167,0
1.20603,9.50652e-06,0
1.21608,0.00132038,0
1.22613,0.00275929,0
1.23618,0.00353724,0
1.24623,0.00474219,0
1.25628,0.00599938,0
1.26633,0.00527871,0
1.27638,0.00234207,0
1.28643,0.000109191,0
1.29648,0.00127151,0
1.30653,0.00479111,0
1.31658,0.00719166,0
1.32663,0.00663948,0
1.33668,0.00429785,0
1.34673,0.00201465,0
1.35678,0.000480329,0
1.36683,6.73997e-05,0
1.37688,0.00168863,0
1.38693,0.00531743,0
1.39698,0.00851699,0
1.40704,0.00828387,0
1.41709,0.00461424,0
1.42714,0.000945774,0
1.43719,0.000448265,0
1.44724,0.00274533,0
1.45729,0.00497821,0
1.46734,0.00527789,0
1.47739,0.00409633,0
1.48744,0.00258528,0
1.49749,0.00117328,0
1.50754,0.000141704,0
1.51759,0.0003361,0
1.52764,0.0021829,0
1.53769,0.00446538,0
1.54774,0.00518448,0
1.55779,0.0037446,0
1.56784,0.00154036,0
1.57789,0.000229982,0
1.58794,0.000164557,0
1.59799,0.000831532,0
1.60804,0.00199825,0
1.61809,0.00354404,0
1.62814,0.00458405,0
1.63819,0.00394292,0
1.64824,0.00183186,0
1.65829,0.000221429,0
1.66834,0.000855977,0
1.67839,0.00322312,0
1.68844,0.00508882,0
1.69849,0.00489449,0
1.70854,0.00307676,0
1.71859,0.00112632,0
1.72864,8.70836e-05,0
1.73869,0.000219911,0
1.74874,0.00139784,0
1.75879,0.00308325,0
1.76884,0.00416863,0
1.77889,0.0036796,0
1.78894,0.00189611,0
1.79899,0.000304992,0
1.80905,0.000109735,0
1.8191,0.00107157,0
1.82915,0.0020651,0
1.8392,0.00242974,0
1.84925,0.00231361,0
1.8593,0.00192802,0
1.86935,0.00118531,0
1.8794,0.00028667,0
1.88945,5.547e-05,0
1.8995,0.00110497,0
1.90955,0.00284141,0
1.9196,0.0038268,0
1.92965,0.00323672,0
1.9397,0.001649,0
1.94975,0.000323571,0
1.9598,3.54597e-05,0
1.96985,0.000743503,0
1.9799,0.00197043,0
1.98995,0.00306732,0
2,0.00331484,0
