# 20240926_180332
# initdata:	data/init_real_m1000_s-1_consteps_20240926_124748/init2.csv
# particle mass:	1
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,712.864,0
0.0100503,697.28,0
0.0201005,652.164,0
0.0301508,582.217,0
0.040201,494.581,0
0.0502513,397.906,0
0.0603015,301.212,0
0.0703518,212.718,0
0.080402,138.8,0
0.0904523,83.2595,0
0.100503,47.0391,0
0.110553,28.4388,0
0.120603,23.8041,0
0.130653,28.5168,0
0.140704,38.0405,0
0.150754,48.7453,0
0.160804,58.3148,0
0.170854,65.6919,0
0.180905,70.6863,0
0.190955,73.4934,0
0.201005,74.3529,0
0.211055,73.4663,0
0.221106,71.1134,0
0.231156,67.7886,0
0.241206,64.1837,0
0.251256,60.9741,0
0.261307,58.5248,0
0.271357,56.725,0
0.281407,55.0852,0
0.291457,53.0601,0
0.301508,50.3976,0
0.311558,47.2781,0
0.321608,44.1574,0
0.331658,41.4284,0
0.341709,39.1519,0
0.351759,37.0528,0
0.361809,34.7699,0
0.371859,32.1594,0
0.38191,29.4086,0
0.39196,26.8802,0
0.40201,24.8169,0
0.41206,23.1593,0
0.422111,21.6152,0
0.432161,19.9154,0
0.442211,18.0331,0
0.452261,16.1841,0
0.462312,14.6212,0
0.472362,13.4087,0
0.482412,12.3931,0
0.492462,11.3349,0
0.502513,10.1439,0
0.512563,8.93199,0
0.522613,7.89081,0
0.532663,7.10566,0
0.542714,6.48448,0
0.552764,5.85779,0
0.562814,5.14147,0
0.572864,4.40271,0
0.582915,3.77575,0
0.592965,3.32273,0
0.603015,2.98005,0
0.613065,2.63331,0
0.623116,2.23357,0
0.633166,1.83442,0
0.643216,1.52195,0
0.653266,1.32064,0
0.663317,1.17418,0
0.673367,1.01191,0
0.683417,0.821342,0
0.693467,0.649554,0
0.703518,0.541065,0
0.713568,0.486814,0
0.723618,0.438356,0
0.733668,0.3637,0
0.743719,0.27771,0
0.753769,0.216436,0
0.763819,0.191386,0
0.773869,0.178593,0
0.78392,0.150672,0
0.79397,0.108948,0
0.80402,0.0773516,0
0.81407,0.0698607,0
0.824121,0.0742944,0
0.834171,0.0709677,0
0.844221,0.0592262,0
0.854271,0.0566919,0
0.864322,0.0735913,0
0.874372,0.0974136,0
0.884422,0.108707,0
0.894472,0.106844,0
0.904523,0.110816,0
0.914573,0.133113,0
0.924623,0.161127,0
0.934673,0.171776,0
0.944724,0.16144,0
0.954774,0.151947,0
0.964824,0.163508,0
0.974874,0.18891,0
0.984925,0.202906,0
0.994975,0.195463,0
1.00503,0.185776,0
1.01508,0.198061,0
1.02513,0.229985,0
1.03518,0.255001,0
1.04523,0.256287,0
1.05528,0.248186,0
1.06533,0.25688,0
1.07538,0.285104,0
1.08543,0.307344,0
1.09548,0.302401,0
1.10553,0.281007,0
1.11558,0.272098,0
1.12563,0.285517,0
1.13568,0.300079,0
1.14573,0.292713,0
1.15578,0.270032,0
1.16583,0.260339,0
1.17588,0.276569,0
1.18593,0.299352,0
1.19598,0.302728,0
1.20603,0.288228,0
1.21608,0.282439,0
1.22613,0.298566,0
1.23618,0.321043,0
1.24623,0.322479,0
1.25628,0.301448,0
1.26633,0.283177,0
1.27638,0.285716,0
1.28643,0.296851,0
1.29648,0.292342,0
1.30653,0.269929,0
1.31658,0.252698,0
1.32663,0.257848,0
1.33668,0.273765,0
1.34673,0.27646,0
1.35678,0.26243,0
1.36683,0.252474,0
1.37688,0.262145,0
1.38693,0.27949,0
1.39698,0.280816,0
1.40704,0.262391,0
1.41709,0.244612,0
1.42714,0.243675,0
1.43719,0.250335,0
1.44724,0.24457,0
1.45729,0.224728,0
1.46734,0.210216,0
1.47739,0.214458,0
1.48744,0.226414,0
1.49749,0.226372,0
1.50754,0.213432,0
1.51759,0.205983,0
1.52764,0.21496,0
1.53769,0.227686,0
1.54774,0.224962,0
1.55779,0.207214,0
1.56784,0.193247,0
1.57789,0.193972,0
1.58794,0.198281,0
1.59799,0.190272,0
1.60804,0.172616,0
1.61809,0.162928,0
1.62814,0.16891,0
1.63819,0.177901,0
1.64824,0.175231,0
1.65829,0.164693,0
1.66834,0.161994,0
1.67839,0.171192,0
1.68844,0.178213,0
1.69849,0.170612,0
1.70854,0.155065,0
1.71859,0.147686,0
1.72864,0.151346,0
1.73869,0.152474,0
1.74874,0.141451,0
1.75879,0.126985,0
1.76884,0.123975,0
1.77889,0.132588,0
1.78894,0.138419,0
1.79899,0.132949,0
1.80905,0.124687,0
1.8191,0.125588,0
1.82915,0.133105,0
1.8392,0.133895,0
1.84925,0.123258,0
1.8593,0.111871,0
1.86935,0.110362,0
1.8794,0.114482,0
1.88945,0.11218,0
1.8995,0.101764,0
1.90955,0.0945366,0
1.9196,0.0983482,0
1.92965,0.106318,0
1.9397,0.106849,0
1.94975,0.0999299,0
1.9598,0.0960555,0
1.96985,0.0999826,0
1.9799,0.103553,0
1.98995,0.09791,0
2,0.0867997,0
