# 20240822_165557
# initdata:	data/init_real_pi_constfield_20240822_161734/init3.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,433830,0
0.010101,407318,0
0.020202,337615,0
0.030303,248831,0
0.040404,166790,0
0.0505051,107323,0
0.0606061,72025.5,0
0.0707071,52486.2,0
0.0808081,38651.3,0
0.0909091,25325.7,0
0.10101,13248.7,0
0.111111,5516.29,0
0.121212,3256.26,0
0.131313,4254.72,0
0.141414,5092.97,0
0.151515,4139.5,0
0.161616,2365.89,0
0.171717,1548.9,0
0.181818,2121.03,0
0.191919,2933.46,0
0.20202,2799.29,0
0.212121,1788.8,0
0.222222,884.811,0
0.232323,701.802,0
0.242424,907.679,0
0.252525,862.084,0
0.262626,458.836,0
0.272727,122.394,0
0.282828,147.713,0
0.292929,345.726,0
0.30303,382.666,0
0.313131,239.901,0
0.323232,168.957,0
0.333333,289.697,0
0.343434,430.488,0
0.353535,391.143,0
0.363636,212.594,0
0.373737,89.5378,0
0.383838,97.6832,0
0.393939,129.719,0
0.40404,87.4282,0
0.414141,20.2076,0
0.424242,26.1771,0
0.434343,95.1472,0
0.444444,129.91,0
0.454545,94.1088,0
0.464646,56.9569,0
0.474747,79.93,0
0.484848,125.88,0
0.494949,120.205,0
0.505051,60.7242,0
0.515152,13.7876,0
0.525253,15.6891,0
0.535354,31.7088,0
0.545455,22.5917,0
0.555556,5.69712,0
0.565657,20.0049,0
0.575758,58.391,0
0.585859,74.8378,0
0.59596,52.2647,0
0.606061,25.4807,0
0.616162,27.6315,0
0.626263,44.2112,0
0.636364,40.74,0
0.646465,16.0853,0
0.656566,0.57767,0
0.666667,8.1064,0
0.676768,18.6233,0
0.686869,13.9575,0
0.69697,6.67002,0
0.707071,17.4128,0
0.717172,39.1468,0
0.727273,45.2181,0
0.737374,28.1232,0
0.747475,9.41251,0
0.757576,7.57374,0
0.767677,14.1314,0
0.777778,11.6906,0
0.787879,2.17912,0
0.79798,1.55459,0
0.808081,12.4944,0
0.818182,19.6946,0
0.828283,14.1845,0
0.838384,7.21714,0
0.848485,12.1315,0
0.858586,23.2151,0
0.868687,24.2238,0
0.878788,12.5032,0
0.888889,1.85628,0
0.89899,1.61977,0
0.909091,5.11584,0
0.919192,3.4071,0
0.929293,0.320537,0
0.939394,4.9388,0
0.949495,15.0045,0
0.959596,18.6644,0
0.969697,12.0276,0
0.979798,4.91671,0
0.989899,6.07583,0
1,10.907,0
