# 20240823_133547
# initdata:	data/init_real_pi_constfield_20240822_161734/init7.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,2.23852e+06,0
0.0100503,2.10577e+06,0
0.0201005,1.75664e+06,0
0.0301508,1.31077e+06,0
0.040201,894795,0
0.0502513,585368,0
0.0603015,391080,0
0.0703518,274661,0
0.080402,192101,0
0.0904523,120858,0
0.100503,63146,0
0.110553,29652.5,0
0.120603,21538,0
0.130653,26250.5,0
0.140704,28253.6,0
0.150754,21832.5,0
0.160804,12838.3,0
0.170854,9167.37,0
0.180905,11523.1,0
0.190955,14011.9,0
0.201005,11946.4,0
0.211055,6755.92,0
0.221106,3029.29,0
0.231156,2662.3,0
0.241206,3475.14,0
0.251256,2904.94,0
0.261307,1202.27,0
0.271357,353.308,0
0.281407,1037.96,0
0.291457,1926.4,0
0.301508,1757.36,0
0.311558,948.61,0
0.321608,700.409,0
0.331658,1225.57,0
0.341709,1610.17,0
0.351759,1209.4,0
0.361809,455.955,0
0.371859,112.171,0
0.38191,245.778,0
0.39196,341.494,0
0.40201,161.934,0
0.41206,22.9195,0
0.422111,206.666,0
0.432161,502.09,0
0.442211,530.234,0
0.452261,292.858,0
0.462312,129.508,0
0.472362,210.997,0
0.482412,337.005,0
0.492462,275.656,0
0.502513,90.2243,0
0.512563,0.272318,0
0.522613,50.8154,0
0.532663,91.5809,0
0.542714,43.8294,0
0.552764,15.3164,0
0.562814,106.991,0
0.572864,235.922,0
0.582915,246.945,0
0.592965,132.111,0
0.603015,31.293,0
0.613065,32.4724,0
0.623116,73.2311,0
0.633166,63.6049,0
0.643216,19.912,0
0.653266,16.4077,0
0.663317,56.6495,0
0.673367,71.9847,0
0.683417,37.1181,0
0.693467,12.7141,0
0.703518,50.3473,0
0.713568,110.359,0
0.723618,116.701,0
0.733668,62.0707,0
0.743719,9.83079,0
0.753769,1.73019,0
0.763819,13.2313,0
0.773869,9.95034,0
0.78392,4.16551,0
0.79397,25.2791,0
0.80402,61.0998,0
0.81407,68.5432,0
0.824121,37.6315,0
0.834171,8.60016,0
0.844221,15.725,0
0.854271,42.1316,0
0.864322,48.8671,0
0.874372,29.5146,0
0.884422,10.9794,0
0.894472,8.84914,0
0.904523,9.91498,0
0.914573,2.94118,0
0.924623,1.64235,0
0.934673,21.3983,0
0.944724,48.5415,0
0.954774,53.6288,0
0.964824,31.0408,0
0.974874,6.3479,0
0.984925,1.76284,0
0.994975,10.7843,0
1.00503,14.9807,0
1.01508,12.0598,0
1.02513,13.1408,0
1.03518,19.4664,0
1.04523,19.0709,0
1.05528,8.23968,0
1.06533,1.34381,0
1.07538,11.1943,0
1.08543,29.0772,0
1.09548,34.9853,0
1.10553,23.3489,0
1.11558,7.7684,0
1.12563,0.991098,0
1.13568,1.29431,0
1.14573,2.11241,0
1.15578,4.99142,0
1.16583,14.3413,0
1.17588,24.8185,0
1.18593,24.7997,0
1.19598,12.8972,0
1.20603,2.09111,0
1.21608,3.66659,0
1.22613,13.3433,0
1.23618,18.5541,0
1.24623,14.9615,0
1.25628,8.947,0
1.26633,5.81776,0
1.27638,3.65413,0
1.28643,0.61945,0
1.29648,1.11325,0
1.30653,9.16475,0
1.31658,19.5218,0
1.32663,21.9043,0
1.33668,13.7905,0
1.34673,3.61573,0
1.35678,0.0336923,0
1.36683,2.66333,0
1.37688,5.9246,0
1.38693,7.75556,0
1.39698,9.87819,0
1.40704,11.6213,0
1.41709,9.43324,0
1.42714,3.57429,0
1.43719,0.422282,0
1.44724,4.87662,0
1.45729,13.1441,0
1.46734,16.738,0
1.47739,12.544,0
1.48744,5.43055,0
1.49749,1.11469,0
1.50754,0.292234,0
1.51759,1.06962,0
1.52764,3.47971,0
1.53769,8.17469,0
1.54774,12.4578,0
1.55779,11.8344,0
1.56784,6.11814,0
1.57789,0.855306,0
1.58794,1.01363,0
1.59799,5.30168,0
1.60804,8.61103,0
1.61809,8.46672,0
1.62814,6.52977,0
1.63819,4.60399,0
1.64824,2.4411,0
1.65829,0.303398,0
1.66834,0.735314,0
1.67839,5.32242,0
1.68844,11.0366,0
1.69849,12.568,0
1.70854,8.43109,0
1.71859,2.68036,0
1.72864,0.0344462,0
1.73869,1.1157,0
1.74874,3.47373,0
1.75879,5.44902,0
1.76884,6.94889,0
1.77889,7.36168,0
1.78894,5.43277,0
1.79899,1.89272,0
1.80905,0.0945575,0
1.8191,2.38539,0
1.82915,6.82552,0
1.8392,9.11882,0
1.84925,7.43428,0
1.8593,3.85754,0
1.86935,1.21157,0
1.8794,0.226114,0
1.88945,0.430448,0
1.8995,2.02821,0
1.90955,5.13661,0
1.9196,7.9483,0
1.92965,7.76158,0
1.9397,4.33358,0
1.94975,0.804603,0
1.9598,0.323364,0
1.96985,2.71022,0
1.9799,5.23084,0
1.98995,5.96243,0
2,5.13889,0
