# 20240822_165542
# initdata:	data/init_real_pi_constfield_20240822_161734/init1.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,94681.3,0
0.010101,89357.7,0
0.020202,75062.6,0
0.030303,56132.1,0
0.040404,37772.6,0
0.0505051,23946.6,0
0.0606061,15940.3,0
0.0707071,12357.6,0
0.0808081,10515.6,0
0.0909091,8323.48,0
0.10101,5386.8,0
0.111111,2671.63,0
0.121212,1212.48,0
0.131313,1074.86,0
0.141414,1420.68,0
0.151515,1414.73,0
0.161616,955.679,0
0.171717,541.2,0
0.181818,562.978,0
0.191919,874.3,0
0.20202,1041.88,0
0.212121,875.19,0
0.222222,585.26,0
0.232323,458.735,0
0.242424,513.661,0
0.252525,542.878,0
0.262626,417.105,0
0.272727,230.551,0
0.282828,141.985,0
0.292929,168.405,0
0.30303,199.262,0
0.313131,168.031,0
0.323232,127.129,0
0.333333,146.229,0
0.343434,203.89,0
0.353535,223.129,0
0.363636,180.937,0
0.373737,130.242,0
0.383838,116.967,0
0.393939,121.915,0
0.40404,103.255,0
0.414141,63.4763,0
0.424242,41.784,0
0.434343,53.4274,0
0.444444,70.8177,0
0.454545,68.4523,0
0.464646,58.1512,0
0.474747,64.1734,0
0.484848,82.1987,0
0.494949,85.5151,0
0.505051,65.3789,0
0.515152,42.7781,0
0.525253,36.7103,0
0.535354,39.4604,0
0.545455,33.8241,0
0.555556,21.6381,0
0.565657,19.5042,0
0.575758,31.3647,0
0.585859,41.8659,0
0.59596,39.3974,0
0.606061,31.967,0
0.616162,32.5916,0
0.626263,38.6591,0
0.636364,36.941,0
0.646465,24.7825,0
0.656566,14.1847,0
0.666667,13.8417,0
0.676768,17.7284,0
0.686869,16.5841,0
0.69697,12.6537,0
0.707071,14.8067,0
0.717172,23.1218,0
0.727273,27.7593,0
0.737374,23.4669,0
0.747475,16.815,0
0.757576,15.5957,0
0.767677,17.5455,0
0.777778,15.3588,0
0.787879,8.9772,0
0.79798,5.70199,0
0.808081,8.76643,0
0.818182,12.7177,0
0.828283,12.2851,0
0.838384,10.1922,0
0.848485,11.9047,0
0.858586,16.2853,0
0.868687,17.0319,0
0.878788,12.3158,0
0.888889,7.44297,0
0.89899,6.81867,0
0.909091,8.04874,0
0.919192,6.83914,0
0.929293,4.21204,0
0.939394,4.60565,0
0.949495,8.40102,0
0.959596,10.9928,0
0.969697,9.71581,0
0.979798,7.56521,0
0.989899,8.09501,0
1,9.83051,0
