# 20240826_125856
# initdata:	data/init_real_pi_constfield_20240822_161734/init5.csv
# particle mass:	0.36
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,816892,0
0.0100503,800575,0
0.0201005,754383,0
0.0301508,685687,0
0.040201,604100,0
0.0502513,518634,0
0.0603015,435541,0
0.0703518,357758,0
0.080402,286039,0
0.0904523,220959,0
0.100503,164391,0
0.110553,119347,0
0.120603,88191.5,0
0.130653,70484.6,0
0.140704,62260.7,0
0.150754,57626.5,0
0.160804,51829.1,0
0.170854,43616.7,0
0.180905,35081.7,0
0.190955,29121.5,0
0.201005,26647.5,0
0.211055,25879.2,0
0.221106,24176.7,0
0.231156,20538.8,0
0.241206,16346.4,0
0.251256,13730.7,0
0.261307,13334.3,0
0.271357,13759.9,0
0.281407,13156.4,0
0.291457,11135.9,0
0.301508,8973.35,0
0.311558,8014.82,0
0.321608,8178.68,0
0.331658,8191.94,0
0.341709,7142.24,0
0.351759,5469.52,0
0.361809,4315.38,0
0.371859,4137.99,0
0.38191,4279.29,0
0.39196,3895.76,0
0.40201,2999.3,0
0.41206,2338.45,0
0.422111,2381.48,0
0.432161,2746.64,0
0.442211,2747.72,0
0.452261,2268.12,0
0.462312,1829.76,0
0.472362,1845.45,0
0.482412,2087.17,0
0.492462,2035.34,0
0.502513,1577.93,0
0.512563,1120.4,0
0.522613,1017.65,0
0.532663,1133.48,0
0.542714,1090.99,0
0.552764,810.954,0
0.562814,590.204,0
0.572864,657.889,0
0.582915,859.16,0
0.592965,887.788,0
0.603015,706.726,0
0.613065,566.336,0
0.623116,628.592,0
0.633166,746.131,0
0.643216,688.796,0
0.653266,469.467,0
0.663317,311.042,0
0.673367,329.694,0
0.683417,395.943,0
0.693467,348.659,0
0.703518,229.141,0
0.713568,203.162,0
0.723618,307.325,0
0.733668,396.167,0
0.743719,353.451,0
0.753769,249.601,0
0.763819,225.296,0
0.773869,286.1,0
0.78392,306.45,0
0.79397,221.243,0
0.80402,117.066,0
0.81407,100.736,0
0.824121,150.487,0
0.834171,163.766,0
0.844221,115.41,0
0.854271,87.2405,0
0.864322,135.325,0
0.874372,201.445,0
0.884422,197.902,0
0.894472,132.922,0
0.904523,92.0281,0
0.914573,111.226,0
0.924623,132.873,0
0.934673,100.834,0
0.944724,45.3002,0
0.954774,33.5502,0
0.964824,69.0639,0
0.974874,91.6025,0
0.984925,71.2662,0
0.994975,50.3078,0
1.00503,73.1508,0
1.01508,115.292,0
1.02513,118.436,0
1.03518,75.6793,0
1.04523,38.9793,0
1.05528,42.3179,0
1.06533,57.9643,0
1.07538,46.4193,0
1.08543,18.3112,0
1.09548,15.0115,0
1.10553,42.7692,0
1.11558,63.0231,0
1.12563,51.1947,0
1.13568,32.0652,0
1.14573,39.3085,0
1.15578,63.3157,0
1.16583,66.258,0
1.17588,39.0265,0
1.18593,13.4615,0
1.19598,14.5067,0
1.20603,26.8398,0
1.21608,23.8089,0
1.22613,10.0975,0
1.23618,12.2733,0
1.24623,34.6621,0
1.25628,50.3444,0
1.26633,40.6466,0
1.27638,21.9687,0
1.28643,19.9811,0
1.29648,31.9473,0
1.30653,33.6158,0
1.31658,17.4479,0
1.32663,3.07925,0
1.33668,6.41678,0
1.34673,16.8312,0
1.35678,16.306,0
1.36683,8.33883,0
1.37688,11.2123,0
1.38693,27.3885,0
1.39698,37.5537,0
1.40704,28.5993,0
1.41709,12.5052,0
1.42714,8.07947,0
1.43719,14.3447,0
1.44724,15.3202,0
1.45729,6.36866,0
1.46734,0.685802,0
1.47739,7.43137,0
1.48744,17.0043,0
1.49749,16.1943,0
1.50754,8.66899,0
1.51759,8.73571,0
1.52764,18.572,0
1.53769,24.3724,0
1.54774,16.9691,0
1.55779,5.06172,0
1.56784,1.70851,0
1.57789,5.8593,0
1.58794,6.69492,0
1.59799,2.11414,0
1.60804,1.64726,0
1.61809,10.0274,0
1.62814,18.1693,0
1.63819,16.146,0
1.64824,8.00528,0
1.65829,5.53775,0
1.66834,10.7763,0
1.67839,13.84,0
1.68844,8.53534,0
1.69849,1.33446,0
1.70854,0.789487,0
1.71859,4.84013,0
1.72864,5.45815,0
1.73869,2.17449,0
1.74874,2.65678,0
1.75879,9.70312,0
1.76884,15.5685,0
1.77889,12.8454,0
1.78894,5.22315,0
1.79899,1.84449,0
1.80905,4.26813,0
1.8191,5.71908,0
1.82915,2.6434,0
1.8392,0.0122496,0
1.84925,2.67861,0
1.8593,7.19851,0
1.86935,7.18051,0
1.8794,3.47291,0
1.88945,2.94332,0
1.8995,7.68907,0
1.90955,11.4643,0
1.9196,8.7981,0
1.92965,2.80096,0
1.9397,0.157758,0
1.94975,1.60147,0
1.9598,2.32189,0
1.96985,0.597635,0
1.9799,0.462251,0
1.98995,4.46901,0
2,8.59517,0
