# 20240822_165944
# initdata:	data/init_real_pi_constfield_20240822_161738/init9.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,3.71302e+06,0
0.010101,3.49318e+06,0
0.020202,2.91541e+06,0
0.030303,2.17824e+06,0
0.040404,1.49035e+06,0
0.0505051,976715,0
0.0606061,650700,0
0.0707071,452154,0
0.0808081,311286,0
0.0909091,193078,0
0.10101,101012,0
0.111111,50264,0
0.121212,39697.6,0
0.131313,47162.1,0
0.141414,48182.3,0
0.151515,35852.4,0
0.161616,21221.9,0
0.171717,16337.1,0
0.181818,20379.1,0
0.191919,23065.2,0
0.20202,18105.8,0
0.212121,9428.11,0
0.222222,4403.77,0
0.232323,4636.04,0
0.242424,5701.76,0
0.252525,4133.29,0
0.262626,1444.23,0
0.272727,840.606,0
0.282828,2441.63,0
0.292929,3569.84,0
0.30303,2749.22,0
0.313131,1393.64,0
0.323232,1337.45,0
0.333333,2259.66,0
0.343434,2485.14,0
0.353535,1482.52,0
0.363636,383.425,0
0.373737,186.808,0
0.383838,516.658,0
0.393939,506.013,0
0.40404,149.958,0
0.414141,124.77,0
0.424242,606.466,0
0.434343,983.619,0
0.444444,786.112,0
0.454545,334.244,0
0.464646,201.282,0
0.474747,402.144,0
0.484848,487.461,0
0.494949,265.564,0
0.505051,27.7386,0
0.515152,41.4132,0
0.525253,169.922,0
0.535354,156.385,0
0.545455,46.4269,0
0.555556,85.2491,0
0.565657,298.767,0
0.575758,431.395,0
0.585859,316.88,0
0.59596,103.001,0
0.606061,18.8239,0
0.616162,68.8532,0
0.626263,92.6718,0
0.636364,39.102,0
0.646465,17.2803,0
0.656566,86.7974,0
0.666667,150.455,0
0.676768,112.703,0
0.686869,35.2986,0
0.69697,42.8307,0
0.707071,132.486,0
0.717172,180.418,0
0.727273,122.724,0
0.737374,33.5328,0
0.747475,2.59096,0
0.757576,17.0382,0
0.767677,15.5374,0
0.777778,1.49658,0
0.787879,28.7979,0
0.79798,95.8572,0
0.808081,129.44,0
0.818182,88.1837,0
0.828283,24.2468,0
0.838384,9.60453,0
0.848485,40.968,0
0.858586,59.8664,0
0.868687,43.056,0
0.878788,23.6647,0
0.888889,26.2288,0
0.89899,29.9266,0
0.909091,13.9913,0
0.919192,1.50802,0
0.929293,25.3571,0
0.939394,70.6252,0
0.949495,87.3616,0
0.959596,57.241,0
0.969697,15.4694,0
0.979798,0.000592744,0
0.989899,7.06158,0
1,12.325,0
