# 20241029_111229
# initdata:	data/init_real_m140_consteps_20241029_110232/R8.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,93090.7,0
0.0100503,87632.3,0
0.0201005,73167.8,0
0.0301508,54367,0
0.040201,36246,0
0.0502513,22059.4,0
0.0603015,12663.3,0
0.0703518,7246.39,0
0.080402,4464.11,0
0.0904523,3151.7,0
0.100503,2494.86,0
0.110553,1995.13,0
0.120603,1459.85,0
0.130653,956.543,0
0.140704,635.294,0
0.150754,524.037,0
0.160804,492.436,0
0.170854,402.604,0
0.180905,251.448,0
0.190955,139.649,0
0.201005,127.671,0
0.211055,165.901,0
0.221106,169.354,0
0.231156,121.624,0
0.241206,76.6665,0
0.251256,75.219,0
0.261307,95.2492,0
0.271357,91.5365,0
0.281407,57.2959,0
0.291457,25.4099,0
0.301508,19.426,0
0.311558,26.9205,0
0.321608,24.7582,0
0.331658,12.319,0
0.341709,6.96681,0
0.351759,15.3825,0
0.361809,24.6359,0
0.371859,22.2155,0
0.38191,12.7719,0
0.39196,8.91419,0
0.40201,12.7499,0
0.41206,14.9923,0
0.422111,9.92942,0
0.432161,2.90078,0
0.442211,1.17302,0
0.452261,3.7533,0
0.462312,4.59918,0
0.472362,2.35717,0
0.482412,1.51991,0
0.492462,4.55968,0
0.502513,7.85964,0
0.512563,7.14681,0
0.522613,3.55621,0
0.532663,1.49057,0
0.542714,2.2721,0
0.552764,3.08208,0
0.562814,1.85636,0
0.572864,0.193217,0
0.582915,0.379962,0
0.592965,1.78941,0
0.603015,2.12919,0
0.613065,1.1098,0
0.623116,0.718852,0
0.633166,1.9585,0
0.643216,3.25351,0
0.653266,2.80664,0
0.663317,1.13899,0
0.673367,0.128305,0
0.683417,0.331209,0
0.693467,0.621134,0
0.703518,0.270744,0
0.713568,0.0146102,0
0.723618,0.624698,0
0.733668,1.49882,0
0.743719,1.51682,0
0.753769,0.740192,0
0.763819,0.299861,0
0.773869,0.716342,0
0.78392,1.22943,0
0.79397,1.01865,0
0.80402,0.353459,0
0.81407,0.0355605,0
0.824121,0.188296,0
0.834171,0.263758,0
0.844221,0.0681694,0
0.854271,0.0757831,0
0.864322,0.579288,0
0.874372,1.09985,0
0.884422,1.01877,0
0.894472,0.453595,0
0.904523,0.06601,0
0.914573,0.141198,0
0.924623,0.318932,0
0.934673,0.257239,0
0.944724,0.121112,0
0.954774,0.203476,0
0.964824,0.392168,0
0.974874,0.358742,0
0.984925,0.127235,0
0.994975,0.0800573,0
1.00503,0.375316,0
1.01508,0.679272,0
1.02513,0.621749,0
1.03518,0.285365,0
1.04523,0.0362818,0
1.05528,0.0161578,0
1.06533,0.0548864,0
1.07538,0.0381768,0
1.08543,0.085296,0
1.09548,0.280408,0
1.10553,0.448401,0
1.11558,0.376104,0
1.12563,0.141094,0
1.13568,0.0260847,0
1.14573,0.135799,0
1.15578,0.280881,0
1.16583,0.270994,0
1.17588,0.157591,0
1.18593,0.0960204,0
1.19598,0.0972802,0
1.20603,0.0628297,0
1.21608,0.00346053,0
1.22613,0.0530061,0
1.23618,0.24159,0
1.24623,0.396743,0
1.25628,0.35068,0
1.26633,0.158771,0
1.27638,0.0173035,0
1.28643,0.0151145,0
1.29648,0.0716373,0
1.30653,0.102092,0
1.31658,0.125241,0
1.32663,0.172182,0
1.33668,0.18994,0
1.34673,0.121009,0
1.35678,0.0250342,0
1.36683,0.0257774,0
1.37688,0.140311,0
1.38693,0.24402,0
1.39698,0.228046,0
1.40704,0.125111,0
1.41709,0.0402107,0
1.42714,0.0126898,0
1.43719,0.00882149,0
1.44724,0.0175789,0
1.45729,0.0717522,0
1.46734,0.164166,0
1.47739,0.214237,0
1.48744,0.161985,0
1.49749,0.0566047,0
1.50754,0.00277399,0
1.51759,0.0363615,0
1.52764,0.0987053,0
1.53769,0.127025,0
1.54774,0.119774,0
1.55779,0.100954,0
1.56784,0.0700184,0
1.57789,0.0243038,0
1.58794,0.000776319,0
1.59799,0.0443052,0
1.60804,0.135419,0
1.61809,0.192334,0
1.62814,0.161036,0
1.63819,0.075684,0
1.64824,0.0117444,0
1.65829,0.00253082,0
1.66834,0.026507,0
1.67839,0.0577948,0
1.68844,0.0910729,0
1.69849,0.116269,0
1.70854,0.107271,0
1.71859,0.0579936,0
1.72864,0.00854688,0
1.73869,0.00815747,0
1.74874,0.0571471,0
1.75879,0.106819,0
1.76884,0.115894,0
1.77889,0.0874966,0
1.78894,0.0486526,0
1.79899,0.0169349,0
1.80905,0.000817837,0
1.8191,0.013548,0
1.82915,0.0604343,0
1.8392,0.114942,0
1.84925,0.131556,0
1.8593,0.0930391,0
1.86935,0.0328917,0
1.8794,0.000982452,0
1.88945,0.0146473,0
1.8995,0.0517326,0
1.90955,0.0821523,0
1.9196,0.0915256,0
1.92965,0.0780482,0
1.9397,0.0461318,0
1.94975,0.0117307,0
1.9598,0.000774672,0
1.96985,0.0267675,0
1.9799,0.0714464,0
1.98995,0.0982526,0
2,0.0871055,0
