# 20241029_164505
# initdata:	data/init_real_m140_constfield_20241029_163722/R3.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,6762.83,0
0.0100503,6368.32,0
0.0201005,5329.82,0
0.0301508,4000,0
0.040201,2751.43,0
0.0502513,1810.48,0
0.0603015,1206.31,0
0.0703518,835.863,0
0.080402,575.366,0
0.0904523,359.684,0
0.100503,191.666,0
0.110553,97.1088,0
0.120603,75.093,0
0.130653,87.422,0
0.140704,89.918,0
0.150754,68.3081,0
0.160804,41.1046,0
0.170854,30.5834,0
0.180905,36.8858,0
0.190955,42.091,0
0.201005,33.8808,0
0.211055,18.1766,0
0.221106,8.35099,0
0.231156,8.26885,0
0.241206,10.4149,0
0.251256,7.9846,0
0.261307,3.05996,0
0.271357,1.57297,0
0.281407,4.35143,0
0.291457,6.70592,0
0.301508,5.47694,0
0.311558,2.83825,0
0.321608,2.35811,0
0.331658,3.93579,0
0.341709,4.5775,0
0.351759,2.93461,0
0.361809,0.835403,0
0.371859,0.300119,0
0.38191,0.911411,0
0.39196,1.02541,0
0.40201,0.385566,0
0.41206,0.198897,0
0.422111,1.01026,0
0.432161,1.81995,0
0.442211,1.60118,0
0.452261,0.741938,0
0.462312,0.345927,0
0.472362,0.64672,0
0.482412,0.877545,0
0.492462,0.545065,0
0.502513,0.0811243,0
0.512563,0.0535185,0
0.522613,0.316459,0
0.532663,0.355365,0
0.542714,0.138623,0
0.552764,0.120691,0
0.562814,0.473564,0
0.572864,0.785327,0
0.582915,0.657614,0
0.592965,0.257829,0
0.603015,0.0340757,0
0.613065,0.0939457,0
0.623116,0.163899,0
0.633166,0.0827592,0
0.643216,0.018841,0
0.653266,0.133822,0
0.663317,0.290169,0
0.673367,0.26541,0
0.683417,0.105888,0
0.693467,0.0576723,0
0.703518,0.194794,0
0.713568,0.318011,0
0.723618,0.254665,0
0.733668,0.0896214,0
0.743719,0.00785114,0
0.753769,0.0302613,0
0.763819,0.0394664,0
0.773869,0.00481527,0
0.78392,0.0269399,0
0.79397,0.147031,0
0.80402,0.246623,0
0.81407,0.206461,0
0.824121,0.0789045,0
0.834171,0.0123882,0
0.844221,0.0495794,0
0.854271,0.0962425,0
0.864322,0.0801661,0
0.874372,0.043579,0
0.884422,0.0480761,0
0.894472,0.0692309,0
0.904523,0.0495906,0
0.914573,0.00910141,0
0.924623,0.023774,0
0.934673,0.103066,0
0.944724,0.161221,0
0.954774,0.131081,0
0.964824,0.0510378,0
0.974874,0.00327293,0
0.984925,0.00630185,0
0.994975,0.0169404,0
1.00503,0.0155846,0
1.01508,0.0302457,0
1.02513,0.07115,0
1.03518,0.0956868,0
1.04523,0.0678732,0
1.05528,0.0185768,0
1.06533,0.00801191,0
1.07538,0.0439856,0
1.08543,0.0759563,0
1.09548,0.0677367,0
1.10553,0.0384814,0
1.11558,0.0213645,0
1.12563,0.0158619,0
1.13568,0.00575466,0
1.14573,0.00091148,0
1.15578,0.0258376,0
1.16583,0.0717909,0
1.17588,0.0942749,0
1.18593,0.0683785,0
1.19598,0.0224032,0
1.20603,0.000683604,0
1.21608,0.0104719,0
1.22613,0.0254154,0
1.23618,0.0295757,0
1.24623,0.0320135,0
1.25628,0.0386447,0
1.26633,0.0364006,0
1.27638,0.0176196,0
1.28643,0.00144012,0
1.29648,0.0116898,0
1.30653,0.0415408,0
1.31658,0.0591673,0
1.32663,0.0477083,0
1.33668,0.0226438,0
1.34673,0.00640259,0
1.35678,0.00213004,0
1.36683,0.00209042,0
1.37688,0.00803363,0
1.38693,0.0262545,0
1.39698,0.0475811,0
1.40704,0.05073,0
1.41709,0.0299918,0
1.42714,0.00625142,0
1.43719,0.00246512,0
1.44724,0.0169765,0
1.45729,0.0302334,0
1.46734,0.0311908,0
1.47739,0.0252378,0
1.48744,0.0188962,0
1.49749,0.0107903,0
1.50754,0.00179332,0
1.51759,0.0020098,0
1.52764,0.0178273,0
1.53769,0.0379226,0
1.54774,0.0429558,0
1.55779,0.0284337,0
1.56784,0.00920591,0
1.57789,0.000410657,0
1.58794,0.00246181,0
1.59799,0.00798538,0
1.60804,0.014709,0
1.61809,0.0235869,0
1.62814,0.0293907,0
1.63819,0.0239474,0
1.64824,0.00958133,0
1.65829,0.000525438,0
1.66834,0.00662692,0
1.67839,0.0210998,0
1.68844,0.0292814,0
1.69849,0.0255297,0
1.70854,0.0159674,0
1.71859,0.00749793,0
1.72864,0.00181796,0
1.73869,0.00039713,0
1.74874,0.00707168,0
1.75879,0.0209041,0
1.76884,0.0315945,0
1.77889,0.0287646,0
1.78894,0.014662,0
1.79899,0.00229505,0
1.80905,0.00078369,0
1.8191,0.00721721,0
1.82915,0.0137575,0
1.8392,0.0172167,0
1.84925,0.0182645,0
1.8593,0.0158749,0
1.86935,0.00877714,0
1.8794,0.00130206,0
1.88945,0.0014663,0
1.8995,0.0110697,0
1.90955,0.0217546,0
1.9196,0.0238553,0
1.92965,0.0166743,0
1.9397,0.00725799,0
1.94975,0.00151103,0
1.9598,0.000347266,0
1.96985,0.00343145,0
1.9799,0.0108803,0
1.98995,0.0196627,0
2,0.0228115,0
