# 20241029_133042
# initdata:	data/init_real_m140_taudep_20241029_132506/v1.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,77404.9,0
0.0100503,73130.4,0
0.0201005,61778.3,0
0.0301508,46962.7,0
0.040201,32603,0
0.0502513,21264.7,0
0.0603015,13587.1,0
0.0703518,8819.85,0
0.080402,5810.23,0
0.0904523,3731.73,0
0.100503,2259.87,0
0.110553,1344.98,0
0.120603,919.848,0
0.130653,788.295,0
0.140704,717.532,0
0.150754,584.271,0
0.160804,415.486,0
0.170854,297.642,0
0.180905,262.314,0
0.190955,261.645,0
0.201005,235.264,0
0.211055,175.519,0
0.221106,120.077,0
0.231156,96.7271,0
0.241206,93.7429,0
0.251256,83.6144,0
0.261307,59.4516,0
0.271357,37.5805,0
0.281407,31.1829,0
0.291457,34.1666,0
0.301508,32.9983,0
0.311558,25.1194,0
0.321608,18.9965,0
0.331658,19.7914,0
0.341709,22.5947,0
0.351759,20.6485,0
0.361809,14.6204,0
0.371859,10.2864,0
0.38191,9.93551,0
0.39196,10.2318,0
0.40201,8.09818,0
0.41206,5.00069,0
0.422111,4.03289,0
0.432161,5.19946,0
0.442211,5.83947,0
0.452261,4.73342,0
0.462312,3.48272,0
0.472362,3.65857,0
0.482412,4.46132,0
0.492462,4.17246,0
0.502513,2.75829,0
0.512563,1.72434,0
0.522613,1.80762,0
0.532663,2.11901,0
0.542714,1.72945,0
0.552764,1.04493,0
0.562814,1.00234,0
0.572864,1.56643,0
0.582915,1.84044,0
0.592965,1.43894,0
0.603015,0.964563,0
0.613065,0.999374,0
0.623116,1.26384,0
0.633166,1.14699,0
0.643216,0.659573,0
0.653266,0.358718,0
0.663317,0.481073,0
0.673367,0.655406,0
0.683417,0.541168,0
0.693467,0.330885,0
0.703518,0.383358,0
0.713568,0.636999,0
0.723618,0.714446,0
0.733668,0.500655,0
0.743719,0.287044,0
0.753769,0.307797,0
0.763819,0.415371,0
0.773869,0.355954,0
0.78392,0.169536,0
0.79397,0.10197,0
0.80402,0.213952,0
0.81407,0.305468,0
0.824121,0.238941,0
0.834171,0.136637,0
0.844221,0.166245,0
0.854271,0.276463,0
0.864322,0.286647,0
0.874372,0.166096,0
0.884422,0.0677401,0
0.894472,0.0889217,0
0.904523,0.142022,0
0.914573,0.11464,0
0.924623,0.0463143,0
0.934673,0.051692,0
0.944724,0.131498,0
0.954774,0.172171,0
0.964824,0.122414,0
0.974874,0.064955,0
0.984925,0.0817411,0
0.994975,0.131592,0
1.00503,0.123299,0
1.01508,0.0577286,0
1.02513,0.0193571,0
1.03518,0.0440584,0
1.04523,0.0731816,0
1.05528,0.0542429,0
1.06533,0.020874,0
1.07538,0.0316363,0
1.08543,0.0739284,0
1.09548,0.0845054,0
1.10553,0.0477274,0
1.11558,0.015806,0
1.12563,0.0258536,0
1.13568,0.0474969,0
1.14573,0.0377849,0
1.15578,0.00998763,0
1.16583,0.0089961,0
1.17588,0.0380526,0
1.18593,0.0541275,0
1.19598,0.035921,0
1.20603,0.0156239,0
1.21608,0.026972,0
1.22613,0.0531857,0
1.23618,0.053828,0
1.24623,0.0258088,0
1.25628,0.00488784,0
1.26633,0.0107395,0
1.27638,0.0221824,0
1.28643,0.0157369,0
1.29648,0.00221439,0
1.30653,0.0057244,0
1.31658,0.0230561,0
1.32663,0.0287348,0
1.33668,0.0153017,0
1.34673,0.0040435,0
1.35678,0.0109218,0
1.36683,0.0227142,0
1.37688,0.0193691,0
1.38693,0.00534558,0
1.39698,0.0012702,0
1.40704,0.0113442,0
1.41709,0.0181535,0
1.42714,0.0112126,0
1.43719,0.00288285,0
1.44724,0.00806604,0
1.45729,0.0205046,0
1.46734,0.0224554,0
1.47739,0.0111814,0
1.48744,0.00161145,0
1.49749,0.00327944,0
1.50754,0.00820247,0
1.51759,0.00614957,0
1.52764,0.000786359,0
1.53769,0.00186373,0
1.54774,0.00825966,0
1.55779,0.00984226,0
1.56784,0.00428391,0
1.57789,0.00110003,0
1.58794,0.00647319,0
1.59799,0.0131894,0
1.60804,0.0114945,0
1.61809,0.00370018,0
1.62814,0.000184785,0
1.63819,0.00382821,0
1.64824,0.00690161,0
1.65829,0.00401865,0
1.66834,0.000179963,0
1.67839,0.00209692,0
1.68844,0.00737584,0
1.69849,0.00835095,0
1.70854,0.00378205,0
1.71859,0.000158033,0
1.72864,0.00152867,0
1.73869,0.00416321,0
1.74874,0.00343328,0
1.75879,0.00101022,0
1.76884,0.00126378,0
1.77889,0.00367691,0
1.78894,0.00387313,0
1.79899,0.00120867,0
1.80905,0.000291197,0
1.8191,0.00372243,0
1.82915,0.00757253,0
1.8392,0.00682002,0
1.84925,0.00252773,0
1.8593,4.3301e-05,0
1.86935,0.00138316,0
1.8794,0.00317994,0
1.88945,0.00243373,0
1.8995,0.000700633,0
1.90955,0.000861857,0
1.9196,0.00239216,0
1.92965,0.00254726,0
1.9397,0.00095607,0
1.94975,8.87482e-05,0
1.9598,0.00119637,0
1.96985,0.00244029,0
1.9799,0.00197259,0
1.98995,0.000764099,0
2,0.000768583,0
