# 20241029_141711
# initdata:	data/init_real_m280_consteps_20241029_140005/R2.csv
# particle mass:	0.28
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,12562.5,0
0.0100503,12103.5,0
0.0201005,10827.5,0
0.0301508,9002.33,0
0.040201,6975.84,0
0.0502513,5074.65,0
0.0603015,3526.76,0
0.0703518,2428.41,0
0.080402,1752.97,0
0.0904523,1389.1,0
0.100503,1196.49,0
0.110553,1059.74,0
0.120603,921.666,0
0.130653,782.184,0
0.140704,666.906,0
0.150754,589.549,0
0.160804,536,0
0.170854,478.814,0
0.180905,404.2,0
0.190955,323.794,0
0.201005,260.613,0
0.211055,225.167,0
0.221106,206.575,0
0.231156,186.155,0
0.241206,156.917,0
0.251256,127.87,0
0.261307,110.593,0
0.271357,105.147,0
0.281407,101.061,0
0.291457,90.2097,0
0.301508,75.2195,0
0.311558,64.264,0
0.321608,60.2388,0
0.331658,57.9364,0
0.341709,51.5023,0
0.351759,41.6588,0
0.361809,33.8533,0
0.371859,30.8592,0
0.38191,29.7986,0
0.39196,26.7289,0
0.40201,21.8528,0
0.41206,18.5691,0
0.422111,18.4155,0
0.432161,19.0884,0
0.442211,17.8042,0
0.452261,14.9119,0
0.462312,12.9152,0
0.472362,12.7634,0
0.482412,12.7302,0
0.492462,11.0976,0
0.502513,8.55224,0
0.512563,7.04123,0
0.522613,7.03446,0
0.532663,7.12066,0
0.542714,6.21712,0
0.552764,5.03035,0
0.562814,4.81332,0
0.572864,5.45892,0
0.582915,5.69895,0
0.592965,4.93664,0
0.603015,3.97532,0
0.613065,3.72621,0
0.623116,3.92211,0
0.633166,3.65437,0
0.643216,2.77784,0
0.653266,2.08316,0
0.663317,2.10362,0
0.673367,2.39621,0
0.683417,2.28401,0
0.693467,1.84756,0
0.703518,1.70704,0
0.713568,2.02468,0
0.723618,2.25893,0
0.733668,1.97843,0
0.743719,1.46859,0
0.753769,1.2651,0
0.763819,1.37865,0
0.773869,1.35981,0
0.78392,1.02721,0
0.79397,0.728753,0
0.80402,0.790564,0
0.81407,1.03274,0
0.824121,1.0638,0
0.834171,0.859589,0
0.844221,0.75046,0
0.854271,0.885088,0
0.864322,1.00854,0
0.874372,0.863672,0
0.884422,0.574741,0
0.894472,0.446325,0
0.904523,0.518629,0
0.914573,0.553006,0
0.924623,0.427683,0
0.934673,0.315593,0
0.944724,0.393773,0
0.954774,0.559042,0
0.964824,0.583864,0
0.974874,0.45322,0
0.984925,0.365666,0
0.994975,0.418883,0
1.00503,0.472365,0
1.01508,0.380766,0
1.02513,0.22069,0
1.03518,0.169144,0
1.04523,0.239304,0
1.05528,0.280409,0
1.06533,0.221917,0
1.07538,0.173696,0
1.08543,0.238426,0
1.09548,0.341031,0
1.10553,0.338602,0
1.11558,0.232801,0
1.12563,0.159374,0
1.13568,0.181907,0
1.14573,0.211029,0
1.15578,0.159392,0
1.16583,0.0804759,0
1.17588,0.0805798,0
1.18593,0.152292,0
1.19598,0.189241,0
1.20603,0.150479,0
1.21608,0.115665,0
1.22613,0.152444,0
1.23618,0.208463,0
1.24623,0.19248,0
1.25628,0.112897,0
1.26633,0.0616575,0
1.27638,0.0769639,0
1.28643,0.0983355,0
1.29648,0.0729692,0
1.30653,0.0389625,0
1.31658,0.0588696,0
1.32663,0.11575,0
1.33668,0.136242,0
1.34673,0.101007,0
1.35678,0.0694695,0
1.36683,0.0848795,0
1.37688,0.110357,0
1.38693,0.0913757,0
1.39698,0.0419169,0
1.40704,0.0213599,0
1.41709,0.0438624,0
1.42714,0.0626885,0
1.43719,0.0482283,0
1.44724,0.0330764,0
1.45729,0.0554637,0
1.46734,0.0941216,0
1.47739,0.0977481,0
1.48744,0.0616998,0
1.49749,0.032954,0
1.50754,0.0388026,0
1.51759,0.0510482,0
1.52764,0.036792,0
1.53769,0.0116715,0
1.54774,0.013038,0
1.55779,0.0394679,0
1.56784,0.05312,0
1.57789,0.0391798,0
1.58794,0.027398,0
1.59799,0.0430518,0
1.60804,0.0657783,0
1.61809,0.0603014,0
1.62814,0.0299999,0
1.63819,0.010767,0
1.64824,0.0174326,0
1.65829,0.0263619,0
1.66834,0.0175098,0
1.67839,0.0065908,0
1.68844,0.0175741,0
1.69849,0.0416411,0
1.70854,0.0484672,0
1.71859,0.0317228,0
1.72864,0.0175129,0
1.73869,0.023799,0
1.74874,0.0346176,0
1.75879,0.0274039,0
1.76884,0.00856803,0
1.77889,0.00237125,0
1.78894,0.0130911,0
1.79899,0.0205373,0
1.80905,0.0139148,0
1.8191,0.0087943,0
1.82915,0.0207035,0
1.8392,0.0382141,0
1.84925,0.0385023,0
1.8593,0.0211253,0
1.86935,0.00796552,0
1.8794,0.0106677,0
1.88945,0.016201,0
1.8995,0.0105885,0
1.90955,0.00141028,0
1.9196,0.0042744,0
1.92965,0.0167063,0
1.9397,0.0215574,0
1.94975,0.0139074,0
1.9598,0.00839735,0
1.96985,0.015697,0
1.9799,0.0254724,0
1.98995,0.022223,0
2,0.00874139,0
