# 20241029_143021
# initdata:	data/init_real_m280_constfield_20241029_140034/R9.csv
# particle mass:	0.28
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,10638.6,0
0.0100503,10433.9,0
0.0201005,9846.7,0
0.0301508,8947.93,0
0.040201,7828.97,0
0.0502513,6580.28,0
0.0603015,5285.04,0
0.0703518,4026.94,0
0.080402,2897.9,0
0.0904523,1988.43,0
0.100503,1357.02,0
0.110553,997.22,0
0.120603,831.414,0
0.130653,746.438,0
0.140704,653.488,0
0.150754,530.302,0
0.160804,413.097,0
0.170854,346.121,0
0.180905,333.567,0
0.190955,335.922,0
0.201005,309.955,0
0.211055,249.695,0
0.221106,187.142,0
0.231156,154.956,0
0.241206,152.771,0
0.251256,152.019,0
0.261307,130.114,0
0.271357,93.778,0
0.281407,67.0997,0
0.291457,61.9171,0
0.301508,66.2804,0
0.311558,61.9428,0
0.321608,46.6348,0
0.331658,34.0368,0
0.341709,34.3359,0
0.351759,41.5683,0
0.361809,42.6039,0
0.371859,34.0482,0
0.38191,24.9363,0
0.39196,23.518,0
0.40201,26.8306,0
0.41206,26.0474,0
0.422111,18.7757,0
0.432161,11.4869,0
0.442211,10.0934,0
0.452261,12.4726,0
0.462312,12.5468,0
0.472362,9.02387,0
0.482412,6.46463,0
0.492462,8.1265,0
0.502513,11.3111,0
0.512563,11.4089,0
0.522613,8.25456,0
0.532663,5.82263,0
0.542714,6.35456,0
0.552764,7.56367,0
0.562814,6.42216,0
0.572864,3.55365,0
0.582915,2.03791,0
0.592965,2.90108,0
0.603015,3.97798,0
0.613065,3.38222,0
0.623116,2.15996,0
0.633166,2.40449,0
0.643216,3.97371,0
0.653266,4.70248,0
0.663317,3.56161,0
0.673367,2.00625,0
0.683417,1.73286,0
0.693467,2.35069,0
0.703518,2.2733,0
0.713568,1.20699,0
0.723618,0.479555,0
0.733668,0.943003,0
0.743719,1.74595,0
0.753769,1.70973,0
0.763819,1.07285,0
0.773869,0.995207,0
0.78392,1.71905,0
0.79397,2.20306,0
0.80402,1.68428,0
0.81407,0.757211,0
0.824121,0.436739,0
0.834171,0.731322,0
0.844221,0.82491,0
0.854271,0.42363,0
0.864322,0.15583,0
0.874372,0.514328,0
0.884422,1.05765,0
0.894472,1.07701,0
0.904523,0.646829,0
0.914573,0.459203,0
0.924623,0.756444,0
0.934673,1.0034,0
0.944724,0.734095,0
0.954774,0.236981,0
0.964824,0.082032,0
0.974874,0.286559,0
0.984925,0.384551,0
0.994975,0.206373,0
1.00503,0.121857,0
1.01508,0.40807,0
1.02513,0.768025,0
1.03518,0.749791,0
1.04523,0.405195,0
1.05528,0.190614,0
1.06533,0.293938,0
1.07538,0.414614,0
1.08543,0.276343,0
1.09548,0.045083,0
1.10553,0.0363376,0
1.11558,0.218436,0
1.12563,0.288231,0
1.13568,0.164643,0
1.14573,0.108486,0
1.15578,0.293364,0
1.16583,0.511265,0
1.17588,0.468907,0
1.18593,0.213296,0
1.19598,0.0471706,0
1.20603,0.0900943,0
1.21608,0.154962,0
1.22613,0.0860495,0
1.23618,0.00191247,0
1.24623,0.0792788,0
1.25628,0.248356,0
1.26633,0.28798,0
1.27638,0.164016,0
1.28643,0.0787566,0
1.29648,0.160432,0
1.30653,0.27501,0
1.31658,0.2375,0
1.32663,0.0844705,0
1.33668,0.000602463,0
1.34673,0.0394501,0
1.35678,0.0752448,0
1.36683,0.0331216,0
1.37688,0.0130106,0
1.38693,0.113786,0
1.39698,0.249418,0
1.40704,0.257212,0
1.41709,0.134572,0
1.42714,0.04095,0
1.43719,0.0669854,0
1.44724,0.122264,0
1.45729,0.0952058,0
1.46734,0.0222026,0
1.47739,0.0126023,0
1.48744,0.0685134,0
1.49749,0.0895167,0
1.50754,0.0434098,0
1.51759,0.0224049,0
1.52764,0.0938999,0
1.53769,0.183423,0
1.54774,0.175683,0
1.55779,0.0793127,0
1.56784,0.00753766,0
1.57789,0.0143132,0
1.58794,0.0377103,0
1.59799,0.0204133,0
1.60804,0.00297244,0
1.61809,0.0454161,0
1.62814,0.113968,0
1.63819,0.121631,0
1.64824,0.0614753,0
1.65829,0.0218528,0
1.66834,0.0570862,0
1.67839,0.110291,0
1.68844,0.101503,0
1.69849,0.0418534,0
1.70854,0.00526866,0
1.71859,0.0149685,0
1.72864,0.0237922,0
1.73869,0.00657238,0
1.74874,0.00601777,0
1.75879,0.0573473,0
1.76884,0.116743,0
1.77889,0.114237,0
1.78894,0.0539942,0
1.79899,0.00879877,0
1.80905,0.0180143,0
1.8191,0.0425176,0
1.82915,0.035966,0
1.8392,0.0142395,0
1.84925,0.0191552,0
1.8593,0.0444217,0
1.86935,0.0461056,0
1.8794,0.018304,0
1.88945,0.00880012,0
1.8995,0.0459373,0
1.90955,0.0901442,0
1.9196,0.0867003,0
1.92965,0.0407607,0
1.9397,0.00457472,0
1.94975,0.00280735,0
1.9598,0.010251,0
1.96985,0.00575864,0
1.9799,0.00797757,0
1.98995,0.036631,0
2,0.0680903,0
