# 20241030_113936
# initdata:	data/init_real_m280_s-1_consteps_20241030_111119/R2.csv
# particle mass:	0.28
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,6846.71,0
0.0100503,6563.51,0
0.0201005,5774.34,0
0.0301508,4639.96,0
0.040201,3370.82,0
0.0502513,2170.5,0
0.0603015,1193.19,0
0.0703518,520.822,0
0.080402,156.72,0
0.0904523,35.1843,0
0.100503,49.7011,0
0.110553,96.4182,0
0.120603,114.707,0
0.130653,100.548,0
0.140704,83.7226,0
0.150754,87.7392,0
0.160804,106.1,0
0.170854,113.019,0
0.180905,93.4313,0
0.190955,59.59,0
0.201005,37.3505,0
0.211055,38.6226,0
0.221106,50.6423,0
0.231156,52.6612,0
0.241206,39.5875,0
0.251256,25.5819,0
0.261307,25.2816,0
0.271357,36.3046,0
0.281407,43.4057,0
0.291457,37.5072,0
0.301508,25.6162,0
0.311558,20.5672,0
0.321608,24.9026,0
0.331658,29.0796,0
0.341709,24.6911,0
0.351759,14.7815,0
0.361809,8.75995,0
0.371859,10.0541,0
0.38191,12.9129,0
0.39196,11.2662,0
0.40201,6.71418,0
0.41206,5.31734,0
0.422111,8.72085,0
0.432161,12.0914,0
0.442211,11.0033,0
0.452261,7.18278,0
0.462312,5.50427,0
0.472362,7.13267,0
0.482412,8.43316,0
0.492462,6.49382,0
0.502513,3.06579,0
0.512563,1.72977,0
0.522613,2.90955,0
0.532663,3.81112,0
0.542714,2.79062,0
0.552764,1.54367,0
0.562814,2.24529,0
0.572864,4.19638,0
0.582915,4.8462,0
0.592965,3.42907,0
0.603015,1.86558,0
0.613065,1.87722,0
0.623116,2.6953,0
0.633166,2.50353,0
0.643216,1.18177,0
0.653266,0.322105,0
0.663317,0.782373,0
0.673367,1.54542,0
0.683417,1.4056,0
0.693467,0.758587,0
0.703518,0.852887,0
0.713568,1.7969,0
0.723618,2.35925,0
0.733668,1.76591,0
0.743719,0.762253,0
0.753769,0.461864,0
0.763819,0.811618,0
0.773869,0.890555,0
0.78392,0.402758,0
0.79397,0.0585188,0
0.80402,0.393595,0
0.81407,0.931906,0
0.824121,0.934646,0
0.834171,0.512378,0
0.844221,0.405677,0
0.854271,0.831422,0
0.864322,1.16424,0
0.874372,0.880133,0
0.884422,0.300417,0
0.894472,0.0710881,0
0.904523,0.245088,0
0.914573,0.334458,0
0.924623,0.141643,0
0.934673,0.0413307,0
0.944724,0.329001,0
0.954774,0.705513,0
0.964824,0.701353,0
0.974874,0.368332,0
0.984925,0.183578,0
0.994975,0.341506,0
1.00503,0.50981,0
1.01508,0.370843,0
1.02513,0.0860114,0
1.03518,0.00929239,0
1.04523,0.149201,0
1.05528,0.210285,0
1.06533,0.0968547,0
1.07538,0.0616091,0
1.08543,0.279472,0
1.09548,0.533415,0
1.10553,0.508479,0
1.11558,0.243141,0
1.12563,0.0602989,0
1.13568,0.10518,0
1.14573,0.187914,0
1.15578,0.124009,0
1.16583,0.0139887,0
1.17588,0.0493766,0
1.18593,0.188958,0
1.19598,0.22392,0
1.20603,0.114188,0
1.21608,0.0562353,0
1.22613,0.176506,0
1.23618,0.328809,0
1.24623,0.304592,0
1.25628,0.129479,0
1.26633,0.00780481,0
1.27638,0.0244226,0
1.28643,0.062239,0
1.29648,0.0276262,0
1.30653,0.00307649,0
1.31658,0.0925565,0
1.32663,0.224804,0
1.33668,0.239082,0
1.34673,0.123985,0
1.35678,0.0381692,0
1.36683,0.0810291,0
1.37688,0.160688,0
1.38693,0.145893,0
1.39698,0.0564181,0
1.40704,0.0109762,0
1.41709,0.0387389,0
1.42714,0.0547888,0
1.43719,0.0195932,0
1.44724,0.0119516,0
1.45729,0.0960156,0
1.46734,0.198533,0
1.47739,0.198371,0
1.48744,0.0972191,0
1.49749,0.0144816,0
1.50754,0.0195704,0
1.51759,0.0543054,0
1.52764,0.045548,0
1.53769,0.0176862,0
1.54774,0.035314,0
1.55779,0.0844167,0
1.56784,0.0899692,0
1.57789,0.0401922,0
1.58794,0.0145079,0
1.59799,0.0651989,0
1.60804,0.134212,0
1.61809,0.133111,0
1.62814,0.0648894,0
1.63819,0.00920357,0
1.64824,0.00569364,0
1.65829,0.0158167,0
1.66834,0.00646635,0
1.67839,0.00838101,0
1.68844,0.0557589,0
1.69849,0.112129,0
1.70854,0.110661,0
1.71859,0.0524042,0
1.72864,0.00995431,0
1.73869,0.0275743,0
1.74874,0.0657275,0
1.75879,0.0667186,0
1.76884,0.0357163,0
1.77889,0.019085,0
1.78894,0.0269966,0
1.79899,0.0261456,0
1.80905,0.0064906,0
1.8191,0.00618971,0
1.82915,0.0500064,0
1.8392,0.0994474,0
1.84925,0.0983526,0
1.8593,0.0487931,0
1.86935,0.00621369,0
1.8794,0.00347353,0
1.88945,0.0176599,0
1.8995,0.019244,0
1.90955,0.0178244,0
1.9196,0.0349901,0
1.92965,0.0571607,0
1.9397,0.0511755,0
1.94975,0.0197098,0
1.9598,0.00541851,0
1.96985,0.0315037,0
1.9799,0.0669346,0
1.98995,0.0686845,0
2,0.0380073,0
