# 20241030_111533
# initdata:	data/init_real_m280_s-1_constfield_20241030_111128/R8.csv
# particle mass:	0.28
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,8351.53,0
0.0100503,8192.11,0
0.0201005,7734.64,0
0.0301508,7033.69,0
0.040201,6159.44,0
0.0502513,5181.45,0
0.0603015,4164.07,0
0.0703518,3173.1,0
0.080402,2281.82,0
0.0904523,1562.94,0
0.100503,1063.9,0
0.110553,780.269,0
0.120603,650.701,0
0.130653,585.244,0
0.140704,513.105,0
0.150754,416.38,0
0.160804,323.861,0
0.170854,271.004,0
0.180905,261.556,0
0.190955,264.318,0
0.201005,244.722,0
0.211055,197.573,0
0.221106,148.047,0
0.231156,122.318,0
0.241206,120.568,0
0.251256,120.316,0
0.261307,103.348,0
0.271357,74.5661,0
0.281407,53.0193,0
0.291457,48.478,0
0.301508,51.8485,0
0.311558,48.6234,0
0.321608,36.6422,0
0.331658,26.5408,0
0.341709,26.5812,0
0.351759,32.3473,0
0.361809,33.4575,0
0.371859,26.9445,0
0.38191,19.76,0
0.39196,18.5517,0
0.40201,21.2107,0
0.41206,20.7675,0
0.422111,15.1101,0
0.432161,9.21804,0
0.442211,7.89953,0
0.452261,9.69674,0
0.462312,9.82543,0
0.472362,7.0898,0
0.482412,4.99108,0
0.492462,6.21088,0
0.502513,8.76631,0
0.512563,8.9892,0
0.522613,6.59031,0
0.532663,4.64365,0
0.542714,5.02267,0
0.552764,6.02327,0
0.562814,5.20129,0
0.572864,2.9241,0
0.582915,1.61425,0
0.592965,2.20358,0
0.603015,3.06402,0
0.613065,2.64482,0
0.623116,1.67418,0
0.633166,1.81688,0
0.643216,3.055,0
0.653266,3.70656,0
0.663317,2.87666,0
0.673367,1.64287,0
0.683417,1.38303,0
0.693467,1.86969,0
0.703518,1.84964,0
0.713568,1.01414,0
0.723618,0.379191,0
0.733668,0.680831,0
0.743719,1.31433,0
0.753769,1.32774,0
0.763819,0.840364,0
0.773869,0.756757,0
0.78392,1.32436,0
0.79397,1.7508,0
0.80402,1.38758,0
0.81407,0.650121,0
0.824121,0.356708,0
0.834171,0.572791,0
0.844221,0.666137,0
0.854271,0.357317,0
0.864322,0.113213,0
0.874372,0.358405,0
0.884422,0.791122,0
0.894472,0.841314,0
0.904523,0.519645,0
0.914573,0.359899,0
0.924623,0.58992,0
0.934673,0.810304,0
0.944724,0.624007,0
0.954774,0.221389,0
0.964824,0.0639385,0
0.974874,0.208197,0
0.984925,0.297501,0
0.994975,0.165587,0
1.00503,0.0825124,0
1.01508,0.289884,0
1.02513,0.584156,0
1.03518,0.599075,0
1.04523,0.340294,0
1.05528,0.15988,0
1.06533,0.233953,0
1.07538,0.342679,0
1.08543,0.247076,0
1.09548,0.0521785,0
1.10553,0.017248,0
1.11558,0.149256,0
1.12563,0.216035,0
1.13568,0.128674,0
1.14573,0.0769408,0
1.15578,0.214569,0
1.16583,0.398202,0
1.17588,0.386756,0
1.18593,0.190969,0
1.19598,0.0461979,0
1.20603,0.0698673,0
1.21608,0.127558,0
1.22613,0.080491,0
1.23618,0.00394721,0
1.24623,0.0464696,0
1.25628,0.176079,0
1.26633,0.220765,0
1.27638,0.133311,0
1.28643,0.0622288,0
1.29648,0.122264,0
1.30653,0.221958,0
1.31658,0.206139,0
1.32663,0.084503,0
1.33668,0.00318018,0
1.34673,0.0237556,0
1.35678,0.056109,0
1.36683,0.0281009,0
1.37688,0.00577587,0
1.38693,0.075332,0
1.39698,0.184892,0
1.40704,0.204566,0
1.41709,0.11555,0
1.42714,0.0371879,0
1.43719,0.0533132,0
1.44724,0.102741,0
1.45729,0.0888303,0
1.46734,0.0266244,0
1.47739,0.00559287,0
1.48744,0.0431676,0
1.49749,0.065126,0
1.50754,0.0342557,0
1.51759,0.0143435,0
1.52764,0.066216,0
1.53769,0.142141,0
1.54774,0.147077,0
1.55779,0.0742639,0
1.56784,0.010531,0
1.57789,0.010199,0
1.58794,0.0317437,0
1.59799,0.0219729,0
1.60804,0.00312032,0
1.61809,0.0270739,0
1.62814,0.079395,0
1.63819,0.0928228,0
1.64824,0.0509894,0
1.65829,0.0176264,0
1.66834,0.0430146,0
1.67839,0.0900432,0
1.68844,0.0904708,0
1.69849,0.0425959,0
1.70854,0.00521704,0
1.71859,0.00745762,0
1.72864,0.0169532,0
1.73869,0.00632566,0
1.74874,0.00227557,0
1.75879,0.0374756,0
1.76884,0.0862364,0
1.77889,0.0920052,0
1.78894,0.0484179,0
1.79899,0.00965837,0
1.80905,0.0141977,0
1.8191,0.0367767,0
1.82915,0.0355305,0
1.8392,0.0153102,0
1.84925,0.0114872,0
1.8593,0.0282656,0
1.86935,0.0332955,0
1.8794,0.0146795,0
1.88945,0.00525173,0
1.8995,0.0322826,0
1.90955,0.0707257,0
1.9196,0.0743758,0
1.92965,0.0393294,0
1.9397,0.00603843,0
1.94975,0.00127424,0
1.9598,0.00904479,0
1.96985,0.00749668,0
1.9799,0.00590838,0
1.98995,0.0231647,0
2,0.0477357,0
