# 20241030_111628
# initdata:	data/init_real_m280_s-1_constfield_20241030_111128/R7.csv
# particle mass:	0.28
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,6375.07,0
0.0100503,6253.87,0
0.0201005,5906.01,0
0.0301508,5372.71,0
0.040201,4707,0
0.0502513,3961.36,0
0.0603015,3184.58,0
0.0703518,2426.9,0
0.080402,1744.66,0
0.0904523,1194.01,0
0.100503,811.734,0
0.110553,594.733,0
0.120603,496.022,0
0.130653,446.521,0
0.140704,391.771,0
0.150754,317.93,0
0.160804,247.105,0
0.170854,206.639,0
0.180905,199.573,0
0.190955,202.028,0
0.201005,187.375,0
0.211055,151.448,0
0.221106,113.483,0
0.231156,93.6652,0
0.241206,92.3146,0
0.251256,92.2521,0
0.261307,79.3888,0
0.271357,57.3213,0
0.281407,40.6412,0
0.291457,36.9906,0
0.301508,39.5395,0
0.311558,37.1437,0
0.321608,28.0089,0
0.331658,20.2136,0
0.341709,20.1666,0
0.351759,24.5992,0
0.361809,25.5587,0
0.371859,20.6641,0
0.38191,15.1678,0
0.39196,14.2095,0
0.40201,16.262,0
0.41206,15.9896,0
0.422111,11.6909,0
0.432161,7.12817,0
0.442211,6.03546,0
0.452261,7.37955,0
0.462312,7.50338,0
0.472362,5.42506,0
0.482412,3.78727,0
0.492462,4.68478,0
0.502513,6.65577,0
0.512563,6.88117,0
0.522613,5.07935,0
0.532663,3.57923,0
0.542714,3.8542,0
0.552764,4.63801,0
0.562814,4.03898,0
0.572864,2.29092,0
0.582915,1.245,0
0.592965,1.66076,0
0.603015,2.32273,0
0.613065,2.0205,0
0.623116,1.27455,0
0.633166,1.36411,0
0.643216,2.31128,0
0.653266,2.83885,0
0.663317,2.23045,0
0.673367,1.28392,0
0.683417,1.06858,0
0.693467,1.44091,0
0.703518,1.44117,0
0.713568,0.803794,0
0.723618,0.294474,0
0.733668,0.500686,0
0.743719,0.985113,0
0.753769,1.01094,0
0.763819,0.643365,0
0.773869,0.57069,0
0.78392,1.00367,0
0.79397,1.34699,0
0.80402,1.08661,0
0.81407,0.520101,0
0.824121,0.280297,0
0.834171,0.439525,0
0.844221,0.5183,0
0.854271,0.284727,0
0.864322,0.0852098,0
0.874372,0.258308,0
0.884422,0.590782,0
0.894472,0.642283,0
0.904523,0.40275,0
0.914573,0.276044,0
0.924623,0.450431,0
0.934673,0.628867,0
0.944724,0.496305,0
0.954774,0.184289,0
0.964824,0.0504526,0
0.974874,0.154321,0
0.984925,0.227105,0
0.994975,0.129273,0
1.00503,0.0592963,0
1.01508,0.210849,0
1.02513,0.439857,0
1.03518,0.462363,0
1.04523,0.269315,0
1.05528,0.127095,0
1.06533,0.181035,0
1.07538,0.269423,0
1.08543,0.20139,0
1.09548,0.0474863,0
1.10553,0.0100588,0
1.11558,0.106576,0
1.12563,0.162024,0
1.13568,0.0989129,0
1.14573,0.0564191,0
1.15578,0.158572,0
1.16583,0.303541,0
1.17588,0.303146,0
1.18593,0.155597,0
1.19598,0.0396665,0
1.20603,0.0539551,0
1.21608,0.100579,0
1.22613,0.0672881,0
1.23618,0.00478331,0
1.24623,0.0302206,0
1.25628,0.127899,0
1.26633,0.167131,0
1.27638,0.104093,0
1.28643,0.0482405,0
1.29648,0.0925294,0
1.30653,0.17238,0
1.31658,0.165529,0
1.32663,0.0721252,0
1.33668,0.00415912,0
1.34673,0.0160792,0
1.35678,0.0423702,0
1.36683,0.0228612,0
1.37688,0.00325971,0
1.38693,0.0526575,0
1.39698,0.137434,0
1.40704,0.157609,0
1.41709,0.0924343,0
1.42714,0.0307877,0
1.43719,0.0414869,0
1.44724,0.0815434,0
1.45729,0.0737243,0
1.46734,0.0243599,0
1.47739,0.0031383,0
1.48744,0.029384,0
1.49749,0.0481943,0
1.50754,0.0266181,0
1.51759,0.0100791,0
1.52764,0.0480379,0
1.53769,0.10815,0
1.54774,0.116129,0
1.55779,0.0616506,0
1.56784,0.0102092,0
1.57789,0.00782163,0
1.58794,0.0254819,0
1.59799,0.0194561,0
1.60804,0.00306438,0
1.61809,0.0177443,0
1.62814,0.0570847,0
1.63819,0.0701386,0
1.64824,0.0402474,0
1.65829,0.0139187,0
1.66834,0.032444,0
1.67839,0.070364,0
1.68844,0.0734964,0
1.69849,0.0365608,0
1.70854,0.00473287,0
1.71859,0.00439288,0
1.72864,0.0126056,0
1.73869,0.00556753,0
1.74874,0.00106723,0
1.75879,0.0259719,0
1.76884,0.0639937,0
1.77889,0.0713441,0
1.78894,0.0394918,0
1.79899,0.00867048,0
1.80905,0.0111262,0
1.8191,0.0296475,0
1.82915,0.0301814,0
1.8392,0.0135311,0
1.84925,0.00767185,0
1.8593,0.0192997,0
1.86935,0.024535,0
1.8794,0.0115295,0
1.88945,0.00356975,0
1.8995,0.0233901,0
1.90955,0.0541637,0
1.9196,0.0593794,0
1.92965,0.033026,0
1.9397,0.00576516,0
1.94975,0.000850911,0
1.9598,0.00751617,0
1.96985,0.00707567,0
1.9799,0.00457486,0
1.98995,0.0157333,0
2,0.0344284,0
