# 20241030_150932
# initdata:	data/init_real_m280_taudep_20241030_150721/v2.csv
# particle mass:	0.28
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,14763.7,0
0.0100503,14403.7,0
0.0201005,13379.6,0
0.0301508,11844.7,0
0.040201,10010.5,0
0.0502513,8096.98,0
0.0603015,6290.41,0
0.0703518,4717.24,0
0.080402,3439.42,0
0.0904523,2464.88,0
0.100503,1764.77,0
0.110553,1290.02,0
0.120603,983.772,0
0.130653,790.383,0
0.140704,662.726,0
0.150754,567.598,0
0.160804,487.505,0
0.170854,417.39,0
0.180905,357.826,0
0.190955,308.803,0
0.201005,267.597,0
0.211055,230.784,0
0.221106,197.091,0
0.231156,167.806,0
0.241206,144.493,0
0.251256,126.701,0
0.261307,112.046,0
0.271357,98.3307,0
0.281407,85.2206,0
0.291457,73.7951,0
0.301508,64.7918,0
0.311558,57.638,0
0.321608,51.1633,0
0.331658,44.8728,0
0.341709,39.2271,0
0.351759,34.7847,0
0.361809,31.4072,0
0.371859,28.4456,0
0.38191,25.5036,0
0.39196,22.7554,0
0.40201,20.5177,0
0.41206,18.7448,0
0.422111,17.0906,0
0.432161,15.3575,0
0.442211,13.6944,0
0.452261,12.3248,0
0.462312,11.2342,0
0.472362,10.2245,0
0.482412,9.20237,0
0.492462,8.27977,0
0.502513,7.58036,0
0.512563,7.05243,0
0.522613,6.54282,0
0.532663,5.99501,0
0.542714,5.48981,0
0.552764,5.09628,0
0.562814,4.76421,0
0.572864,4.40014,0
0.582915,3.99777,0
0.592965,3.63449,0
0.603015,3.35635,0
0.613065,3.12318,0
0.623116,2.87943,0
0.633166,2.6356,0
0.643216,2.44158,0
0.653266,2.30669,0
0.663317,2.18522,0
0.673367,2.04107,0
0.683417,1.89157,0
0.693467,1.77012,0
0.703518,1.6724,0
0.713568,1.56546,0
0.723618,1.43953,0
0.733668,1.32201,0
0.743719,1.23639,0
0.753769,1.17061,0
0.763819,1.09904,0
0.773869,1.02145,0
0.78392,0.959419,0
0.79397,0.920274,0
0.80402,0.884409,0
0.81407,0.832994,0
0.824121,0.77302,0
0.834171,0.72349,0
0.844221,0.686583,0
0.854271,0.646975,0
0.864322,0.597037,0
0.874372,0.549046,0
0.884422,0.516753,0
0.894472,0.496318,0
0.904523,0.473923,0
0.914573,0.44623,0
0.924623,0.422848,0
0.934673,0.409344,0
0.944724,0.398104,0
0.954774,0.379533,0
0.964824,0.355687,0
0.974874,0.335711,0
0.984925,0.32188,0
0.994975,0.307649,0
1.00503,0.288993,0
1.01508,0.270717,0
1.02513,0.258472,0
1.03518,0.250254,0
1.04523,0.239633,0
1.05528,0.225478,0
1.06533,0.212545,0
1.07538,0.203414,0
1.08543,0.194403,0
1.09548,0.181938,0
1.10553,0.168423,0
1.11558,0.158763,0
1.12563,0.153239,0
1.13568,0.147784,0
1.14573,0.140689,0
1.15578,0.135027,0
1.16583,0.133282,0
1.17588,0.132908,0
1.18593,0.129715,0
1.19598,0.123672,0
1.20603,0.118295,0
1.21608,0.114926,0
1.22613,0.110841,0
1.23618,0.103809,0
1.24623,0.0958126,0
1.25628,0.0902459,0
1.26633,0.0871426,0
1.27638,0.0836221,0
1.28643,0.0784961,0
1.29648,0.0738689,0
1.30653,0.071591,0
1.31658,0.0703029,0
1.32663,0.067542,0
1.33668,0.063416,0
1.34673,0.0602239,0
1.35678,0.0589156,0
1.36683,0.057882,0
1.37688,0.0557059,0
1.38693,0.0533417,0
1.39698,0.052466,0
1.40704,0.0527602,0
1.41709,0.0523374,0
1.42714,0.0504438,0
1.43719,0.0483282,0
1.44724,0.0469302,0
1.45729,0.0454824,0
1.46734,0.0428107,0
1.47739,0.0392962,0
1.48744,0.0364062,0
1.49749,0.0346254,0
1.50754,0.0330539,0
1.51759,0.0310863,0
1.52764,0.0294143,0
1.53769,0.0288398,0
1.54774,0.0289219,0
1.55779,0.0285768,0
1.56784,0.0276445,0
1.57789,0.0269485,0
1.58794,0.0268483,0
1.59799,0.0266458,0
1.60804,0.0257144,0
1.61809,0.0245132,0
1.62814,0.0238778,0
1.63819,0.023741,0
1.64824,0.02329,0
1.65829,0.0222251,0
1.66834,0.0211628,0
1.67839,0.0205818,0
1.68844,0.0200451,0
1.69849,0.0189042,0
1.70854,0.0173366,0
1.71859,0.016093,0
1.72864,0.0154207,0
1.73869,0.0148098,0
1.74874,0.0139322,0
1.75879,0.0132073,0
1.76884,0.0131436,0
1.77889,0.0135146,0
1.78894,0.0136667,0
1.79899,0.0134474,0
1.80905,0.0133105,0
1.8191,0.013487,0
1.82915,0.0135618,0
1.8392,0.0130979,0
1.84925,0.0123101,0
1.8593,0.0117445,0
1.86935,0.0114749,0
1.8794,0.0110821,0
1.88945,0.0103593,0
1.8995,0.00965755,0
1.90955,0.00931929,0
1.9196,0.00915699,0
1.92965,0.00875988,0
1.9397,0.00812893,0
1.94975,0.00764997,0
1.9598,0.00748838,0
1.96985,0.00737006,0
1.9799,0.0070589,0
1.98995,0.0067479,0
2,0.00675124,0
