# 20241125_162336
# initdata:	data/init_real_sigma_constfield/init0.csv
# particle mass:	0.35
# NpT:	500
# pTmax:	5
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,8885.17,0
0.01002,8682.93,0
0.0200401,8111.16,0
0.0300601,7264.84,0
0.0400802,6272.35,0
0.0501002,5260.55,0
0.0601202,4323.3,0
0.0701403,3505.05,0
0.0801603,2805.74,0
0.0901804,2203.46,0
0.1002,1681.84,0
0.11022,1245.81,0
0.12024,915.905,0
0.130261,705.785,0
0.140281,600.813,0
0.150301,556.026,0
0.160321,517.885,0
0.170341,454.584,0
0.180361,371.07,0
0.190381,296.313,0
0.200401,253.65,0
0.210421,239.889,0
0.220441,230.718,0
0.230461,205.376,0
0.240481,165.732,0
0.250501,131.534,0
0.260521,118.238,0
0.270541,121.186,0
0.280561,122.004,0
0.290581,108.815,0
0.300601,87.6251,0
0.310621,73.3541,0
0.320641,72.1073,0
0.330661,75.1522,0
0.340681,70.304,0
0.350701,56.1389,0
0.360721,42.4138,0
0.370741,37.532,0
0.380762,39.0281,0
0.390782,38.0092,0
0.400802,30.7515,0
0.410822,22.641,0
0.420842,20.4144,0
0.430862,23.4931,0
0.440882,25.3352,0
0.450902,22.1477,0
0.460922,17.2304,0
0.470942,15.8408,0
0.480962,18.0743,0
0.490982,19.1474,0
0.501002,16.0372,0
0.511022,11.2536,0
0.521042,9.08361,0
0.531062,9.9394,0
0.541082,10.41,0
0.551102,8.34555,0
0.561122,5.66705,0
0.571142,5.33747,0
0.581162,7.14955,0
0.591182,8.18918,0
0.601202,6.96151,0
0.611222,5.22779,0
0.621242,5.22488,0
0.631263,6.47972,0
0.641283,6.65371,0
0.651303,4.9278,0
0.661323,3.03992,0
0.671343,2.73276,0
0.681363,3.44756,0
0.691383,3.42762,0
0.701403,2.36031,0
0.711423,1.69271,0
0.721443,2.37107,0
0.731463,3.43718,0
0.741483,3.44406,0
0.751503,2.48931,0
0.761523,1.93096,0
0.771543,2.35525,0
0.781563,2.81331,0
0.791583,2.31251,0
0.801603,1.26213,0
0.811623,0.809794,0
0.821643,1.18825,0
0.831663,1.51327,0
0.841683,1.19304,0
0.851703,0.768585,0
0.861723,1.00163,0
0.871743,1.67387,0
0.881764,1.89389,0
0.891784,1.38945,0
0.901804,0.848919,0
0.911824,0.87563,0
0.921844,1.15916,0
0.931864,1.03904,0
0.941884,0.525972,0
0.951904,0.250867,0
0.961924,0.497653,0
0.971944,0.813693,0
0.981964,0.734099,0
0.991984,0.470877,0
1.002,0.538534,0
1.01202,0.933256,0
1.02204,1.12029,0
1.03206,0.81991,0
1.04208,0.397572,0
1.0521,0.309863,0
1.06212,0.471829,0
1.07214,0.468715,0
1.08216,0.224175,0
1.09218,0.0953038,0
1.1022,0.293835,0
1.11222,0.551954,0
1.12224,0.53098,0
1.13226,0.324186,0
1.14228,0.289824,0
1.1523,0.494713,0
1.16232,0.617841,0
1.17234,0.439172,0
1.18236,0.159107,0
