# 20241125_163530
# initdata:	data/init_real_sigma_constfield/init0.csv
# particle mass:	0.49
# NpT:	500
# pTmax:	5
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,7783.89,0
0.01002,7691.38,0
0.0200401,7417.17,0
0.0300601,6971.51,0
0.0400802,6372.78,0
0.0501002,5649.53,0
0.0601202,4842.59,0
0.0701403,4005.34,0
0.0801603,3199.63,0
0.0901804,2485.95,0
0.1002,1909.66,0
0.11022,1488.28,0
0.12024,1206.57,0
0.130261,1023.83,0
0.140281,891.804,0
0.150301,774.87,0
0.160321,661.887,0
0.170341,562.83,0
0.180361,493.003,0
0.190381,456.043,0
0.200401,437.967,0
0.210421,416.399,0
0.220441,377.202,0
0.230461,324.667,0
0.240481,276.544,0
0.250501,248.116,0
0.260521,239.123,0
0.270541,234.924,0
0.280561,220.412,0
0.290581,193.537,0
0.300601,165.84,0
0.310621,150.071,0
0.320641,147.436,0
0.330661,147.054,0
0.340681,137.555,0
0.350701,118.484,0
0.360721,99.7899,0
0.370741,90.6055,0
0.380762,89.7399,0
0.390782,87.895,0
0.400802,78.4631,0
0.410822,64.5568,0
0.420842,54.7484,0
0.430862,53.0293,0
0.440882,54.6995,0
0.450902,52.4715,0
0.460922,45.049,0
0.470942,38.0385,0
0.480962,36.6414,0
0.490982,39.3409,0
0.501002,40.0701,0
0.511022,35.7193,0
0.521042,29.568,0
0.531062,26.7401,0
0.541082,27.7763,0
0.551102,28.3554,0
0.561122,25.0827,0
0.571142,19.7103,0
0.581162,16.6092,0
0.591182,17.1394,0
0.601202,18.2528,0
0.611222,16.7922,0
0.621242,13.5638,0
0.631263,11.9455,0
0.641283,13.2156,0
0.651303,14.9196,0
0.661323,14.2361,0
0.671343,11.6189,0
0.681363,9.91528,0
0.691383,10.4214,0
0.701403,11.2949,0
0.711423,10.2659,0
0.721443,7.74292,0
0.731463,6.12524,0
0.741483,6.50307,0
0.751503,7.35536,0
0.761523,6.85255,0
0.771543,5.38072,0
0.781563,4.82414,0
0.791583,5.8058,0
0.801603,6.82151,0
0.811623,6.36556,0
0.821643,4.9523,0
0.831663,4.2558,0
0.841683,4.73229,0
0.851703,5.10337,0
0.861723,4.29015,0
0.871743,2.94476,0
0.881764,2.46442,0
0.891784,3.02511,0
0.901804,3.45085,0
0.911824,2.97763,0
0.921844,2.29974,0
0.931864,2.4549,0
0.941884,3.26259,0
0.951904,3.57865,0
0.961924,2.92584,0
0.971944,2.11737,0
0.981964,2.0415,0
0.991984,2.43139,0
1.002,2.36156,0
1.01202,1.65018,0
1.02204,1.10163,0
1.03206,1.30795,0
1.04208,1.81543,0
1.0521,1.83823,0
1.06212,1.40256,0
1.07214,1.241,0
1.08216,1.65574,0
1.09218,2.0586,0
1.1022,1.83252,0
1.11222,1.21153,0
1.12224,0.909511,0
1.13226,1.09658,0
1.14228,1.23397,0
1.1523,0.939673,0
1.16232,0.558055,0
1.17234,0.614085,0
1.18236,1.0175,0
1.19238,1.20558,0
1.2024,0.974388,0
1.21242,0.744587,0
1.22244,0.896237,0
1.23246,1.19407,0
1.24248,1.14819,0
1.25251,0.740142,0
1.26253,0.435673,0
1.27255,0.501994,0
1.28257,0.663461,0
1.29259,0.571782,0
1.30261,0.341835,0
1.31263,0.350306,0
1.32265,0.638398,0
1.33267,0.835098,0
1.34269,0.702738,0
1.35271,0.471786,0
1.36273,0.474069,0
1.37275,0.649513,0
1.38277,0.660152,0
1.39279,0.412905,0
1.40281,0.194747,0
1.41283,0.239091,0
1.42285,0.39683,0
1.43287,0.394,0
1.44289,0.256498,0
1.45291,0.251966,0
1.46293,0.456569,0
1.47295,0.61948,0
1.48297,0.527604,0
1.49299,0.312246,0
1.50301,0.243439,0
1.51303,0.337314,0
1.52305,0.364501,0
1.53307,0.220947,0
1.54309,0.0850033,0
1.55311,0.136086,0
1.56313,0.282214,0
1.57315,0.309796,0
1.58317,0.211175,0
1.59319,0.184037,0
1.60321,0.313538,0
1.61323,0.431072,0
1.62325,0.363031,0
1.63327,0.18623,0
1.64329,0.108633,0
1.65331,0.168317,0
1.66333,0.20504,0
1.67335,0.1273,0
1.68337,0.0530235,0
1.69339,0.115725,0
1.70341,0.248089,0
1.71343,0.278698,0
1.72345,0.188022,0
1.73347,0.12995,0
1.74349,0.192367,0
1.75351,0.266519,0
1.76353,0.218056,0
1.77355,0.0908973,0
1.78357,0.0363954,0
1.79359,0.088442,0
1.80361,0.129977,0
1.81363,0.0888893,0
1.82365,0.0500446,0
1.83367,0.112873,0
1.84369,0.223319,0
1.85371,0.244376,0
1.86373,0.156861,0
1.87375,0.0837575,0
1.88377,0.105809,0
1.89379,0.151288,0
1.90381,0.11947,0
1.91383,0.0384208,0
1.92385,0.0167605,0
1.93387,0.0741864,0
1.94389,0.116382,0
1.95391,0.0865901,0
1.96393,0.0524667,0
1.97395,0.0943961,0
1.98397,0.172762,0
1.99399,0.181382,0
2.00401,0.104423,0
2.01403,0.0370921,0
2.02405,0.0445103,0
2.03407,0.0757755,0
2.04409,0.0580994,0
2.05411,0.0147218,0
