# 20241209_161146
# initdata:	data/init_real_sigma_constfield/init0.csv
# particle mass:	0.3597
# NpT:	500
# pTmax:	5
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,8238.14,0
0.01002,8073.24,0
0.0200401,7606.16,0
0.0300601,6910.82,0
0.0400802,6084.22,0
0.0501002,5218.15,0
0.0601202,4377.4,0
0.0701403,3593.28,0
0.0801603,2874.02,0
0.0901804,2224.25,0
0.1002,1660.28,0
0.11022,1209.87,0
0.12024,895.72,0
0.130261,714.515,0
0.140281,628.781,0
0.150301,581.215,0
0.160321,524.144,0
0.170341,443.368,0
0.180361,358.072,0
0.190381,296.942,0
0.200401,270.336,0
0.210421,261.928,0
0.220441,245.546,0
0.230461,209.992,0
0.240481,167.734,0
0.250501,140.006,0
0.260521,134.446,0
0.270541,138.252,0
0.280561,132.806,0
0.290581,113.047,0
0.300601,90.845,0
0.310621,80.0657,0
0.320641,81.0461,0
0.330661,81.5998,0
0.340681,71.9526,0
0.350701,55.499,0
0.360721,43.4905,0
0.370741,41.2859,0
0.380762,42.9743,0
0.390782,39.8386,0
0.400802,31.165,0
0.410822,24.1329,0
0.420842,24.0015,0
0.430862,27.6258,0
0.440882,28.0457,0
0.450902,23.4024,0
0.460922,18.5722,0
0.470942,18.1369,0
0.480962,20.454,0
0.490982,20.3269,0
0.501002,16.0504,0
0.511022,11.3161,0
0.521042,9.97942,0
0.531062,11.174,0
0.541082,11.1185,0
0.551102,8.5433,0
0.561122,6.15384,0
0.571142,6.53968,0
0.581162,8.56409,0
0.591182,9.1094,0
0.601202,7.38269,0
0.611222,5.71015,0
0.621242,6.02668,0
0.631263,7.21988,0
0.641283,6.90651,0
0.651303,4.83789,0
0.661323,3.1094,0
0.671343,3.14917,0
0.681363,3.91131,0
0.691383,3.65456,0
0.701403,2.48951,0
0.711423,2.04529,0
0.721443,2.9638,0
0.731463,3.95874,0
0.741483,3.68851,0
0.751503,2.60302,0
0.761523,2.15149,0
0.771543,2.6614,0
0.781563,2.98725,0
0.791583,2.2864,0
0.801603,1.2258,0
0.811623,0.946351,0
0.821643,1.43942,0
0.831663,1.70019,0
0.841683,1.28526,0
0.851703,0.904694,0
0.861723,1.25803,0
0.871743,1.94017,0
0.881764,2.02885,0
0.891784,1.41309,0
0.901804,0.893713,0
0.911824,0.988225,0
0.921844,1.25114,0
0.931864,1.04138,0
0.941884,0.503978,0
0.951904,0.312364,0
0.961924,0.642143,0
0.971944,0.944441,0
0.981964,0.802823,0
0.991984,0.534591,0
1.002,0.655197,0
1.01202,1.06441,0
1.02204,1.18527,0
1.03206,0.813019,0
1.04208,0.392841,0
1.0521,0.353233,0
1.06212,0.526065,0
1.07214,0.484561,0
1.08216,0.221956,0
1.09218,0.13457,0
1.1022,0.383608,0
1.11222,0.638065,0
1.12224,0.574552,0
1.13226,0.350116,0
1.14228,0.337955,0
1.1523,0.554075,0
1.16232,0.64436,0
1.17234,0.424923,0
1.18236,0.146477,0
1.19238,0.109791,0
1.2024,0.242428,0
1.21242,0.261846,0
1.22244,0.132703,0
1.23246,0.105066,0
1.24248,0.298742,0
1.25251,0.493827,0
1.26253,0.447798,0
1.27255,0.247066,0
1.28257,0.165079,0
1.29259,0.259046,0
1.30261,0.314642,0
1.31263,0.193579,0
1.32265,0.0394872,0
1.33267,0.0441234,0
1.34269,0.158387,0
1.35271,0.189293,0
1.36273,0.109942,0
1.37275,0.0932004,0
1.38277,0.225896,0
1.39279,0.356392,0
1.40281,0.31142,0
1.41283,0.147942,0
1.42285,0.0621192,0
1.43287,0.106429,0
1.44289,0.142464,0
1.45291,0.0780837,0
1.46293,0.00863765,0
1.47295,0.0541299,0
1.48297,0.16216,0
1.49299,0.186202,0
1.50301,0.110962,0
1.51303,0.0715535,0
1.52305,0.14157,0
1.53307,0.219071,0
1.54309,0.181498,0
1.55311,0.0666712,0
1.56313,0.00906714,0
1.57315,0.0418746,0
1.58317,0.0692213,0
1.59319,0.0347029,0
1.60321,0.0112607,0
1.61323,0.0751658,0
1.62325,0.170438,0
1.63327,0.181397,0
1.64329,0.102704,0
1.65331,0.0455731,0
1.66333,0.0732549,0
1.67335,0.116807,0
1.68337,0.0906875,0
1.69339,0.0225443,0
1.70341,0.00225971,0
1.71343,0.041503,0
1.72345,0.0646674,0
1.73347,0.0365289,0
1.74349,0.0191714,0
1.75351,0.0689874,0
1.76353,0.138596,0
1.77355,0.139462,0
1.78357,0.0700912,0
1.79359,0.0154264,0
1.80361,0.0231329,0
1.81363,0.0463253,0
1.82365,0.0307537,0
1.83367,0.00168508,0
1.84369,0.0167178,0
1.85371,0.0667539,0
1.86373,0.0853628,0
1.87375,0.05156,0
1.88377,0.0234669,0
1.89379,0.0494986,0
1.90381,0.0941565,0
1.91383,0.0910927,0
1.92385,0.0401057,0
1.93387,0.00230554,0
1.94389,0.00818624,0
1.95391,0.0223657,0
1.96393,0.0116575,0
1.97395,0.00123737,0
1.98397,0.029594,0
1.99399,0.0777236,0
2.00401,0.0888847,0
2.01403,0.0512266,0
2.02405,0.0159262,0
2.03407,0.0228577,0
2.04409,0.0468836,0
2.05411,0.0425878,0
2.06413,0.0138404,0
2.07415,0.00231769,0
2.08417,0.0194686,0
2.09419,0.0314713,0
2.10421,0.0177566,0
2.11423,0.00659252,0
2.12425,0.0298203,0
2.13427,0.0682156,0
2.14429,0.0745353,0
2.15431,0.0405277,0
2.16433,0.00697043,0
2.17435,0.00433332,0
2.18437,0.0154652,0
2.19439,0.0121417,0
2.20441,0.00195042,0
2.21443,0.0116323,0
2.22445,0.0377824,0
2.23447,0.0471562,0
2.24449,0.0277585,0
2.25451,0.00971221,0
2.26453,0.021273,0
2.27455,0.0465763,0
2.28457,0.0491364,0
2.29459,0.0244437,0
2.30461,0.00294337,0
2.31463,0.00328303,0
2.32465,0.00974805,0
2.33467,0.00484577,0
2.34469,0.000460144,0
2.35471,0.0167774,0
2.36473,0.0441737,0
2.37475,0.0513166,0
2.38477,0.0299011,0
2.39479,0.00699808,0
2.40481,0.00700821,0
2.41483,0.0196219,0
2.42485,0.0205127,0
2.43487,0.00906889,0
2.44489,0.00523775,0
2.45491,0.0146177,0
2.46493,0.0196646,0
2.47495,0.0103341,0
2.48497,0.00324116,0
2.49499,0.0167341,0
2.50501,0.0400172,0
2.51503,0.0453129,0
2.52505,0.0261413,0
2.53507,0.00493368,0
2.54509,0.000579691,0
2.55511,0.00580161,0
2.56513,0.0054247,0
2.57515,0.00241603,0
2.58517,0.010041,0
2.59519,0.0254301,0
2.60521,0.0297871,0
2.61523,0.0167797,0
2.62525,0.00425618,0
2.63527,0.00933989,0
2.64529,0.0239106,0
2.65531,0.0271149,0
2.66533,0.0151691,0
2.67535,0.00397935,0
2.68537,0.00365225,0
2.69539,0.00597471,0
2.70541,0.0023656,0
2.71543,0.000596192,0
2.72545,0.0119889,0
2.73547,0.0296992,0
2.74549,0.0342972,0
2.75551,0.020372,0
2.76553,0.00439268,0
2.77555,0.00203425,0
2.78557,0.00880505,0
2.79559,0.0109752,0
2.80561,0.00711822,0
2.81563,0.00698338,0
2.82565,0.0125637,0
2.83567,0.0139034,0
2.84569,0.00659752,0
2.85571,0.00166086,0
2.86573,0.0100061,0
2.87575,0.0245701,0
2.88577,0.0282894,0
2.89579,0.0170099,0
2.90581,0.00388972,0
2.91583,0.00024274,0
2.92585,0.00239811,0
2.93587,0.00229961,0
2.94589,0.0020836,0
2.95591,0.0088187,0
2.96593,0.0193252,0
2.97595,0.021519,0
2.98597,0.0119563,0
2.99599,0.00237765,0
3.00601,0.0040551,0
3.01603,0.0127309,0
3.02605,0.0159504,0
3.03607,0.0107192,0
3.04609,0.0052778,0
3.05611,0.0047463,0
3.06613,0.00462827,0
3.07615,0.00134321,0
3.08617,0.000755863,0
3.09619,0.00928747,0
3.10621,0.0213232,0
3.11623,0.0240783,0
3.12625,0.0144248,0
3.13627,0.00314459,0
3.14629,0.000454665,0
3.15631,0.00412998,0
3.16633,0.00617114,0
3.17635,0.00552295,0
3.18637,0.0071289,0
3.19639,0.0110306,0
3.20641,0.0108886,0
3.21643,0.00488198,0
3.22645,0.000815361,0
3.23647,0.00572487,0
3.24649,0.0150279,0
3.25651,0.0179665,0
3.26653,0.0117187,0
3.27655,0.00386533,0
3.28657,0.00095121,0
3.29659,0.00115277,0
3.30661,0.00073914,0
3.31663,0.00181769,0
3.32665,0.00805692,0
3.33667,0.0158782,0
3.34669,0.0168541,0
3.35671,0.00931712,0
3.36673,0.00170231,0
3.37675,0.00182016,0
3.38677,0.00726535,0
3.39679,0.010202,0
3.40681,0.00831528,0
3.41683,0.00585671,0
3.42685,0.00528725,0
3.43687,0.00403384,0
3.44689,0.000982055,0
3.45691,0.000657079,0
3.46693,0.00681902,0
3.47695,0.0150374,0
3.48697,0.0167856,0
3.49699,0.0102635,0
3.50701,0.00250453,0
3.51703,1.47588e-05,0
3.52705,0.00169465,0
3.53707,0.00316997,0
3.54709,0.0040853,0
3.55711,0.00682859,0
3.56713,0.010145,0
3.57715,0.00945267,0
3.58717,0.00423668,0
3.59719,0.000520263,0
3.60721,0.00332098,0
3.61723,0.00964198,0
3.62725,0.01232,0
3.63727,0.0091315,0
3.64729,0.00433646,0
3.65731,0.00179646,0
3.66733,0.000850386,0
3.67735,0.000189166,0
3.68737,0.00170506,0
3.69739,0.00708765,0
3.70741,0.0128524,0
3.71743,0.0130816,0
3.72745,0.00717296,0
3.73747,0.00125717,0
3.74749,0.000696125,0
3.75752,0.00406098,0
3.76754,0.00646012,0
3.77756,0.00632002,0
3.78758,0.00572978,0
3.7976,0.00550485,0
3.80762,0.00391297,0
3.81764,0.000980913,0
3.82766,0.0003989,0
3.83768,0.0046758,0
3.8477,0.0105198,0
3.85772,0.0120543,0
3.86774,0.00795338,0
3.87776,0.00260817,0
3.88778,0.000207408,0
3.8978,0.000530948,0
3.90782,0.00156417,0
3.91784,0.00334485,0
3.92786,0.00662744,0
3.93788,0.00941774,0
3.9479,0.00833982,0
3.95792,0.00371981,0
3.96794,0.000385196,0
3.97796,0.00197259,0
3.98798,0.00639396,0
3.998,0.00874453,0
4.00802,0.00730265,0
4.01804,0.00443018,0
4.02806,0.00235519,0
4.03808,0.000933036,0
4.0481,4.98137e-05,0
4.05812,0.001378,0
4.06814,0.00567757,0
4.07816,0.00996513,0
4.08818,0.0100359,0
4.0982,0.00566749,0
4.10822,0.00113901,0
4.11824,0.000129407,0
4.12826,0.00198843,0
4.13828,0.0039149,0
4.1483,0.00489462,0
4.15832,0.00562248,0
4.16834,0.00577239,0
4.17836,0.00403691,0
4.18838,0.00111487,0
4.1984,0.000231269,0
4.20842,0.00325074,0
4.21844,0.0076759,0
4.22846,0.00921793,0
4.23848,0.00671508,0
4.2485,0.00289187,0
4.25852,0.000588705,0
4.26854,0.000151818,0
4.27856,0.000870261,0
4.28858,0.00286914,0
4.2986,0.00600834,0
4.30862,0.00819047,0
4.31864,0.00700801,0
4.32866,0.00313524,0
4.33868,0.000274744,0
4.3487,0.00101894,0
4.35872,0.0040059,0
4.36874,0.00601892,0
4.37876,0.0057738,0
4.38878,0.00436627,0
4.3988,0.00283619,0
4.40882,0.00120784,0
4.41884,4.00382e-05,0
4.42886,0.000946339,0
4.43888,0.00433715,0
4.4489,0.00775261,0
4.45892,0.00803027,0
4.46894,0.00493072,0
4.47896,0.00136599,0
4.48898,4.73425e-06,0
4.499,0.000863361,0
4.50902,0.00250398,0
4.51904,0.00415202,0
4.52906,0.00555234,0
4.53908,0.00577383,0
4.5491,0.00393137,0
4.55912,0.00113088,0
4.56914,0.000131738,0
4.57916,0.00227291,0
4.58918,0.0056227,0
4.5992,0.00705628,0
4.60922,0.00561804,0
4.61924,0.00295759,0
4.62926,0.00094253,0
4.63928,0.000110126,0
4.6493,0.000458989,0
4.65932,0.00223792,0
4.66934,0.00500422,0
4.67936,0.00684024,0
4.68938,0.00591835,0
4.6994,0.00283683,0
4.70942,0.000332025,0
4.71944,0.000380159,0
4.72946,0.00232742,0
4.73948,0.00417609,0
4.7495,0.00484082,0
4.75952,0.00446501,0
4.76954,0.0032914,0
4.77956,0.00149879,0
4.78958,9.68656e-05,0
4.7996,0.000649881,0
4.80962,0.00337285,0
4.81964,0.00620601,0
4.82966,0.00667167,0
4.83968,0.00447158,0
4.8497,0.00160513,0
4.85972,9.86119e-05,0
4.86974,0.000363782,0
4.87976,0.0017335,0
4.88978,0.00354469,0
4.8998,0.00508643,0
4.90982,0.00528511,0
4.91984,0.00357842,0
4.92986,0.00109888,0
4.93988,3.24132e-05,0
4.9499,0.0013774,0
4.95992,0.0038272,0
4.96994,0.00523168,0
4.97996,0.00473195,0
4.98998,0.00308225,0
5,0.00136368,0
