# 20241209_164644
# initdata:	data/init_real_sigma_constfield/init0.csv
# particle mass:	1.4142
# NpT:	500
# pTmax:	5
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,7133.54,0
0.01002,7064.31,0
0.0200401,6862.03,0
0.0300601,6542.26,0
0.0400802,6128.76,0
0.0501002,5650.44,0
0.0601202,5137.76,0
0.0701403,4619.04,0
0.0801603,4117.24,0
0.0901804,3647.99,0
0.1002,3219.08,0
0.11022,2831.67,0
0.12024,2482.79,0
0.130261,2168.39,0
0.140281,1885.98,0
0.150301,1635.95,0
0.160321,1421.13,0
0.170341,1244.74,0
0.180361,1107.78,0
0.190381,1006.97,0
0.200401,934.335,0
0.210421,878.962,0
0.220441,830.097,0
0.230461,780.442,0
0.240481,728.033,0
0.250501,675.799,0
0.260521,628.981,0
0.270541,591.667,0
0.280561,564.23,0
0.290581,542.976,0
0.300601,522.171,0
0.310621,497.262,0
0.320641,467.409,0
0.330661,435.83,0
0.340681,407.714,0
0.350701,386.956,0
0.360721,373.707,0
0.370741,364.289,0
0.380762,353.527,0
0.390782,338.035,0
0.400802,318.297,0
0.410822,298.18,0
0.420842,282.189,0
0.430862,272.334,0
0.440882,266.768,0
0.450902,261.143,0
0.460922,251.72,0
0.470942,238.011,0
0.480962,223.032,0
0.490982,210.972,0
0.501002,204.036,0
0.511022,200.807,0
0.521042,197.39,0
0.531062,190.443,0
0.541082,179.737,0
0.551102,168.247,0
0.561122,159.703,0
0.571142,155.58,0
0.581162,153.958,0
0.591182,151.167,0
0.601202,144.852,0
0.611222,135.892,0
0.621242,127.584,0
0.631263,122.783,0
0.641283,121.465,0
0.651303,120.814,0
0.661323,117.731,0
0.671343,111.544,0
0.681363,104.542,0
0.691383,99.8464,0
0.701403,98.5833,0
0.711423,98.8946,0
0.721443,97.6888,0
0.731463,93.4949,0
0.741483,87.7728,0
0.751503,83.4741,0
0.761523,82.2282,0
0.771543,82.8175,0
0.781563,82.3833,0
0.791583,79.1825,0
0.801603,74.2229,0
0.811623,70.2158,0
0.821643,68.89,0
0.831663,69.3182,0
0.841683,68.889,0
0.851703,65.9312,0
0.861723,61.3565,0
0.871743,57.6846,0
0.881764,56.4744,0
0.891784,56.7821,0
0.901804,56.2036,0
0.911824,53.3826,0
0.921844,49.3933,0
0.931864,46.5729,0
0.941884,46.0639,0
0.951904,46.6597,0
0.961924,46.1411,0
0.971944,43.6514,0
0.981964,40.5672,0
0.991984,38.9639,0
1.002,39.3598,0
1.01202,40.1808,0
1.02204,39.4973,0
1.03206,37.1145,0
1.04208,34.7234,0
1.0521,33.9874,0
1.06212,34.6987,0
1.07214,35.0426,0
1.08216,33.6385,0
1.09218,31.06,0
1.1022,29.1464,0
1.11222,28.9173,0
1.12224,29.4631,0
1.13226,29.0396,0
1.14228,27.0826,0
1.1523,24.83,0
1.16232,23.8725,0
1.17234,24.3316,0
1.18236,24.7714,0
1.19238,23.9037,0
1.2024,22.0761,0
1.21242,20.8145,0
1.22244,20.999,0
1.23246,21.8321,0
1.24248,21.801,0
1.25251,20.4597,0
1.26253,18.9121,0
1.27255,18.4534,0
1.28257,19.0196,0
1.29259,19.2989,0
1.30261,18.3319,0
1.31263,16.6575,0
1.32265,15.6342,0
1.33267,15.7985,0
1.34269,16.2593,0
1.35271,15.8349,0
1.36273,14.5093,0
1.37275,13.4245,0
1.38277,13.453,0
1.39279,14.1311,0
1.40281,14.2574,0
1.41283,13.3792,0
1.42285,12.3177,0
1.43287,12.1012,0
1.44289,12.6698,0
1.45291,12.9659,0
1.46293,12.2695,0
1.47295,11.0847,0
1.48297,10.4798,0
1.49299,10.7444,0
1.50301,11.0634,0
1.51303,10.5935,0
1.52305,9.53932,0
1.53307,8.87849,0
1.54309,9.10517,0
1.55311,9.61839,0
1.56313,9.51634,0
1.57315,8.75096,0
1.58317,8.15193,0
1.59319,8.32683,0
1.60321,8.86798,0
1.61323,8.88768,0
1.62325,8.16248,0
1.63327,7.3995,0
1.64329,7.29785,0
1.65331,7.65516,0
1.66333,7.66762,0
1.67335,7.00596,0
1.68337,6.24452,0
1.69339,6.09857,0
1.70341,6.49503,0
1.71343,6.69664,0
1.72345,6.28912,0
1.73347,5.71214,0
1.74349,5.64613,0
1.75351,6.09157,0
1.76353,6.36751,0
1.77355,6.01367,0
1.78357,5.3836,0
1.79359,5.15129,0
1.80361,5.4112,0
1.81363,5.57658,0
1.82365,5.18974,0
1.83367,4.54169,0
