# 20241119_232009
# initdata:	data/init_real_sigmamasses_consteps_20241119_171318/init21.csv
# particle mass:	0.68
# NpT:	300
# pTmax:	3
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,3254.32,0
0.0100334,3196.85,0
0.0200669,3029.87,0
0.0301003,2768.78,0
0.0401338,2436.78,0
0.0501672,2061.68,0
0.0602007,1672.73,0
0.0702341,1297.5,0
0.0802676,959.451,0
0.090301,675.394,0
0.100334,454.205,0
0.110368,295.971,0
0.120401,192.837,0
0.130435,131.487,0
0.140468,96.8845,0
0.150502,76.082,0
0.160535,60.7483,0
0.170569,47.5119,0
0.180602,36.3106,0
0.190635,27.9446,0
0.200669,22.3174,0
0.210702,18.2002,0
0.220736,14.2304,0
0.230769,9.99908,0
0.240803,6.24085,0
0.250836,3.99534,0
0.26087,3.55238,0
0.270903,4.14393,0
0.280936,4.62825,0
0.29097,4.48338,0
0.301003,4.15612,0
0.311037,4.45682,0
0.32107,5.62873,0
0.331104,7.03825,0
0.341137,7.798,0
0.351171,7.67538,0
0.361204,7.33295,0
0.371237,7.62798,0
0.381271,8.69283,0
0.391304,9.76978,0
0.401338,9.99722,0
0.411371,9.32527,0
0.421405,8.57757,0
0.431438,8.57743,0
0.441472,9.2739,0
0.451505,9.82037,0
0.461538,9.52483,0
0.471572,8.6184,0
0.481605,8.00416,0
0.491639,8.24097,0
0.501672,8.93412,0
0.511706,9.19776,0
0.521739,8.67039,0
0.531773,7.90987,0
0.541806,7.7275,0
0.551839,8.2238,0
0.561873,8.69824,0
0.571906,8.45421,0
0.58194,7.61661,0
0.591973,6.95439,0
0.602007,6.95675,0
0.61204,7.272,0
0.622074,7.16714,0
0.632107,6.42852,0
0.64214,5.60784,0
0.652174,5.33608,0
0.662207,5.56872,0
0.672241,5.68272,0
0.682274,5.27446,0
0.692308,4.64848,0
0.702341,4.40317,0
0.712375,4.66295,0
0.722408,4.93164,0
0.732441,4.72964,0
0.742475,4.18554,0
0.752508,3.83774,0
0.762542,3.92836,0
0.772575,4.10824,0
0.782609,3.91272,0
0.792642,3.36727,0
0.802676,2.93917,0
0.812709,2.92432,0
0.822742,3.08541,0
0.832776,2.99789,0
0.842809,2.61943,0
0.852843,2.32737,0
0.862876,2.39768,0
0.87291,2.63689,0
0.882943,2.64905,0
0.892977,2.35905,0
0.90301,2.08838,0
0.913043,2.10233,0
0.923077,2.2557,0
0.93311,2.20671,0
0.943144,1.88762,0
0.953177,1.58844,0
0.963211,1.55752,0
0.973244,1.67831,0
0.983278,1.65435,0
0.993311,1.42656,0
1.00334,1.24345,0
1.01338,1.30342,0
1.02341,1.47789,0
1.03344,1.49329,0
1.04348,1.30453,0
1.05351,1.1399,0
1.06355,1.17052,0
1.07358,1.27621,0
1.08361,1.22666,0
1.09365,1.00879,0
1.10368,0.839906,0
1.11371,0.862099,0
1.12375,0.955885,0
1.13378,0.925574,0
1.14381,0.778955,0
1.15385,0.704867,0
1.16388,0.793989,0
1.17391,0.907867,0
1.18395,0.876181,0
1.19398,0.732072,0
1.20401,0.653023,0
1.21405,0.703667,0
1.22408,0.751881,0
1.23411,0.668743,0
1.24415,0.515653,0
1.25418,0.453464,0
1.26421,0.514603,0
1.27425,0.567741,0
1.28428,0.515449,0
1.29431,0.431035,0
1.30435,0.441233,0
1.31438,0.534913,0
1.32441,0.577588,0
1.33445,0.504396,0
1.34448,0.407798,0
1.35452,0.398379,0
1.36455,0.44769,0
1.37458,0.439698,0
1.38462,0.346641,0
1.39465,0.269209,0
1.40468,0.288659,0
1.41472,0.351516,0
1.42475,0.354295,0
1.43478,0.294826,0
1.44482,0.268271,0
1.45485,0.319609,0
1.46488,0.374473,0
1.47492,0.347857,0
1.48495,0.266613,0
1.49498,0.226833,0
1.50502,0.254322,0
1.51505,0.274718,0
1.52508,0.231292,0
1.53512,0.170674,0
1.54515,0.17145,0
1.55518,0.226549,0
1.56522,0.254862,0
1.57525,0.220977,0
1.58528,0.183201,0
1.59532,0.201644,0
1.60535,0.246864,0
1.61538,0.24417,0
1.62542,0.184248,0
1.63545,0.135402,0
1.64548,0.143193,0
1.65552,0.169031,0
1.66555,0.155282,0
1.67559,0.114128,0
1.68562,0.106785,0
1.69565,0.148361,0
1.70569,0.183487,0
1.71572,0.167706,0
1.72575,0.130815,0
1.73579,0.128625,0
1.74582,0.158487,0
1.75585,0.165299,0
1.76589,0.125952,0
1.77592,0.0840198,0
1.78595,0.0848789,0
1.79599,0.111077,0
1.80602,0.11342,0
1.81605,0.0869445,0
1.82609,0.076153,0
1.83612,0.104274,0
1.84615,0.135843,0
1.85619,0.128547,0
1.86622,0.0946695,0
1.87625,0.0802878,0
1.88629,0.0961287,0
1.89632,0.10479,0
1.90635,0.0807911,0
1.91639,0.05026,0
1.92642,0.0511731,0
1.93645,0.0766403,0
1.94649,0.0871571,0
1.95652,0.0709544,0
1.96656,0.0597741,0
1.97659,0.0776754,0
1.98662,0.102487,0
1.99666,0.0983274,0
2.00669,0.0687609,0
2.01672,0.0504118,0
2.02676,0.0585752,0
2.03679,0.0677395,0
2.04682,0.0541825,0
2.05686,0.0333358,0
2.06689,0.0353617,0
2.07692,0.0581667,0
2.08696,0.0703531,0
2.09699,0.0585116,0
2.10702,0.0459391,0
2.11706,0.0551353,0
2.12709,0.0725777,0
2.13712,0.0693524,0
2.14716,0.0451543,0
2.15719,0.0286376,0
2.16722,0.0349256,0
2.17726,0.0455206,0
2.18729,0.0395268,0
2.19732,0.0263638,0
2.20736,0.029901,0
2.21739,0.0499046,0
2.22742,0.0609109,0
2.23746,0.0499518,0
2.24749,0.0350787,0
2.25753,0.0370287,0
2.26756,0.0482196,0
2.27759,0.0458195,0
2.28763,0.027687,0
2.29766,0.0156625,0
2.30769,0.022476,0
2.31773,0.0337354,0
2.32776,0.0316896,0
2.33779,0.0227313,0
2.34783,0.0261355,0
2.35786,0.0424198,0
2.36789,0.0508765,0
2.37793,0.0401262,0
2.38796,0.0247546,0
2.39799,0.0230923,0
2.40803,0.0307208,0
2.41806,0.0295902,0
2.42809,0.0172178,0
2.43813,0.010503,0
2.44816,0.0191781,0
2.45819,0.0306892,0
2.46823,0.0295946,0
2.47826,0.0208741,0
2.48829,0.0212054,0
2.49833,0.0323222,0
2.50836,0.0378309,0
2.51839,0.0280681,0
