# 20241119_232347
# initdata:	data/init_real_sigmamasses_consteps_20241119_171318/init28.csv
# particle mass:	0.8
# NpT:	300
# pTmax:	3
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,2417.78,0
0.0100334,2373.76,0
0.0200669,2246.71,0
0.0301003,2050.74,0
0.0401338,1805.78,0
0.0501672,1534.61,0
0.0602007,1258.49,0
0.0702341,994.978,0
0.0802676,756.83,0
0.090301,552.056,0
0.100334,384.827,0
0.110368,256.071,0
0.120401,163.89,0
0.130435,103.781,0
0.140468,68.9073,0
0.150502,51.0648,0
0.160535,42.2584,0
0.170569,36.3788,0
0.180602,30.2408,0
0.190635,23.4517,0
0.200669,17.2049,0
0.210702,12.71,0
0.220736,10.1607,0
0.230769,8.73994,0
0.240803,7.43387,0
0.250836,5.88367,0
0.26087,4.57015,0
0.270903,4.22897,0
0.280936,5.05595,0
0.29097,6.4298,0
0.301003,7.40686,0
0.311037,7.53671,0
0.32107,7.2422,0
0.331104,7.39353,0
0.341137,8.4572,0
0.351171,10.0187,0
0.361204,11.151,0
0.371237,11.2979,0
0.381271,10.8259,0
0.391304,10.6857,0
0.401338,11.4838,0
0.411371,12.866,0
0.421405,13.8421,0
0.431438,13.7558,0
0.441472,12.9441,0
0.451505,12.4052,0
0.461538,12.7936,0
0.471572,13.7528,0
0.481605,14.2803,0
0.491639,13.7595,0
0.501672,12.5936,0
0.511706,11.7776,0
0.521739,11.8557,0
0.531773,12.3677,0
0.541806,12.3684,0
0.551839,11.4569,0
0.561873,10.2024,0
0.571906,9.51251,0
0.58194,9.65057,0
0.591973,9.98193,0
0.602007,9.71422,0
0.61204,8.78718,0
0.622074,7.91528,0
0.632107,7.75586,0
0.64214,8.16557,0
0.652174,8.38717,0
0.662207,7.92905,0
0.672241,7.10827,0
0.682274,6.64257,0
0.692308,6.79397,0
0.702341,7.07695,0
0.712375,6.85448,0
0.722408,6.09145,0
0.732441,5.37117,0
0.742475,5.18209,0
0.752508,5.35119,0
0.762542,5.2946,0
0.772575,4.75018,0
0.782609,4.08601,0
0.792642,3.82816,0
0.802676,4.01429,0
0.812709,4.17186,0
0.822742,3.92395,0
0.832776,3.44169,0
0.842809,3.20082,0
0.852843,3.36219,0
0.862876,3.57622,0
0.87291,3.4355,0
0.882943,2.98308,0
0.892977,2.63412,0
0.90301,2.63555,0
0.913043,2.76771,0
0.923077,2.65522,0
0.93311,2.26152,0
0.943144,1.92458,0
0.953177,1.90863,0
0.963211,2.07153,0
0.973244,2.07229,0
0.983278,1.82437,0
0.993311,1.59285,0
1.00334,1.62406,0
1.01338,1.81426,0
1.02341,1.85234,0
1.03344,1.63123,0
1.04348,1.37531,0
1.05351,1.32874,0
1.06355,1.43523,0
1.07358,1.43307,0
1.08361,1.21901,0
1.09365,0.983239,0
1.10368,0.945444,0
1.11371,1.06331,0
1.12375,1.10549,0
1.13378,0.97355,0
1.14381,0.826703,0
1.15385,0.849024,0
1.16388,0.991029,0
1.17391,1.0391,0
1.18395,0.906554,0
1.19398,0.742194,0
1.20401,0.716945,0
1.21405,0.79331,0
1.22408,0.791932,0
1.23411,0.649211,0
1.24415,0.503144,0
1.25418,0.497229,0
1.26421,0.585863,0
1.27425,0.609229,0
1.28428,0.520922,0
1.29431,0.444804,0
1.30435,0.48949,0
1.31438,0.590474,0
1.32441,0.600976,0
1.33445,0.496203,0
1.34448,0.401705,0
1.35452,0.413151,0
1.36455,0.467525,0
1.37458,0.442845,0
1.38462,0.335809,0
1.39465,0.26406,0
1.40468,0.297455,0
1.41472,0.363546,0
1.42475,0.35714,0
1.43478,0.289697,0
1.44482,0.264878,0
1.45485,0.322552,0
1.46488,0.379477,0
1.47492,0.348706,0
1.48495,0.261808,0
1.49498,0.220023,0
1.50502,0.250439,0
1.51505,0.27508,0
1.52508,0.231153,0
1.53512,0.163108,0
1.54515,0.155505,0
1.55518,0.209586,0
1.56522,0.24388,0
1.57525,0.213397,0
1.58528,0.171149,0
1.59532,0.185229,0
1.60535,0.236609,0
1.61538,0.246725,0
1.62542,0.191304,0
1.63545,0.133696,0
1.64548,0.132657,0
1.65552,0.162002,0
1.66555,0.156478,0
1.67559,0.111081,0
1.68562,0.086806,0
1.69565,0.118272,0
1.70569,0.162076,0
1.71572,0.16052,0
1.72575,0.124013,0
1.73579,0.111528,0
1.74582,0.14116,0
1.75585,0.164061,0
1.76589,0.137798,0
1.77592,0.0886429,0
1.78595,0.0723026,0
1.79599,0.094152,0
1.80602,0.106557,0
1.81605,0.0833818,0
1.82609,0.0585353,0
1.83612,0.072838,0
1.84615,0.111092,0
1.85619,0.123274,0
1.86622,0.0968528,0
1.87625,0.072546,0
1.88629,0.0823165,0
1.89632,0.103289,0
1.90635,0.0944616,0
1.91639,0.0588597,0
1.92642,0.0385642,0
1.93645,0.0526023,0
