# 20241120_120010
# initdata:	data/init_real_sigmamasses_consteps_20241119_171318/init5.csv
# particle mass:	0.4
# NpT:	500
# pTmax:	5
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,9834.52,0
0.01002,9588.24,0
0.0200401,8885.82,0
0.0300601,7827.1,0
0.0400802,6553.62,0
0.0501002,5214.12,0
0.0601202,3941.31,0
0.0701403,2831.83,0
0.0801603,1939.48,0
0.0901804,1277.39,0
0.1002,825.983,0
0.11022,544.105,0
0.12024,381.291,0
0.130261,289.66,0
0.140281,232.818,0
0.150301,189.79,0
0.160321,153.049,0
0.170341,122.511,0
0.180361,99.2001,0
0.190381,81.8557,0
0.200401,67.463,0
0.210421,53.7028,0
0.220441,40.5904,0
0.230461,29.792,0
0.240481,22.5805,0
0.250501,18.4814,0
0.260521,15.7349,0
0.270541,12.858,0
0.280561,9.65984,0
0.290581,6.89666,0
0.300601,5.15636,0
0.310621,4.23942,0
0.320641,3.49805,0
0.330661,2.57093,0
0.340681,1.63904,0
0.350701,1.04559,0
0.360721,0.840479,0
0.370741,0.769951,0
0.380762,0.617074,0
0.390782,0.41771,0
0.400802,0.325443,0
0.410822,0.366615,0
0.420842,0.412024,0
0.430862,0.359397,0
0.440882,0.254362,0
0.450902,0.202379,0
0.460922,0.219533,0
0.470942,0.228131,0
0.480962,0.180816,0
0.490982,0.126182,0
0.501002,0.131871,0
0.511022,0.186961,0
0.521042,0.222195,0
0.531062,0.209693,0
0.541082,0.195802,0
0.551102,0.225821,0
0.561122,0.274765,0
0.571142,0.282423,0
0.581162,0.237981,0
0.591182,0.192767,0
0.601202,0.187599,0
0.611222,0.201205,0
0.621242,0.189419,0
0.631263,0.152721,0
0.641283,0.134392,0
0.651303,0.156467,0
0.661323,0.18854,0
0.671343,0.192147,0
0.681363,0.173417,0
0.691383,0.168943,0
0.701403,0.189267,0
0.711423,0.203306,0
0.721443,0.183995,0
0.731463,0.146893,0
0.741483,0.127314,0
0.751503,0.131921,0
0.761523,0.134344,0
0.771543,0.117373,0
0.781563,0.0979692,0
0.791583,0.100544,0
0.801603,0.120395,0
0.811623,0.130654,0
0.821643,0.120229,0
0.831663,0.106828,0
0.841683,0.108466,0
0.851703,0.117279,0
0.861723,0.11292,0
0.871743,0.093246,0
0.881764,0.0769601,0
0.891784,0.0765232,0
0.901804,0.0823156,0
0.911824,0.0794757,0
0.921844,0.0700577,0
0.931864,0.0679967,0
0.941884,0.0766383,0
0.951904,0.0833577,0
0.961924,0.0780975,0
0.971944,0.0670905,0
0.981964,0.062182,0
0.991984,0.063338,0
1.002,0.0604788,0
1.01202,0.0502255,0
1.02204,0.0413882,0
1.03206,0.0416693,0
1.04208,0.0466102,0
1.0521,0.0471696,0
1.06212,0.0433924,0
1.07214,0.0432248,0
1.08216,0.0491001,0
1.09218,0.0533652,0
1.1022,0.0493988,0
1.11222,0.0412602,0
1.12224,0.0374542,0
1.13226,0.03866,0
1.14228,0.0378094,0
1.1523,0.0316496,0
1.16232,0.0258803,0
1.17234,0.0264758,0
1.18236,0.0307893,0
1.19238,0.0317174,0
1.2024,0.0281091,0
1.21242,0.0256849,0
1.22244,0.0277094,0
1.23246,0.0299506,0
1.24248,0.0272746,0
1.25251,0.0214566,0
1.26253,0.0184974,0
1.27255,0.0199447,0
1.28257,0.0213297,0
1.29259,0.0194802,0
1.30261,0.0172114,0
1.31263,0.0185715,0
1.32265,0.0223668,0
1.33267,0.0238141,0
1.34269,0.0214548,0
1.35271,0.0188026,0
1.36273,0.0186802,0
1.37275,0.0191783,0
1.38277,0.0170951,0
1.39279,0.013123,0
1.40281,0.0108547,0
1.41283,0.0114953,0
1.42285,0.012474,0
1.43287,0.0117002,0
1.44289,0.0106075,0
1.45291,0.0114761,0
1.46293,0.0135577,0
1.47295,0.0140901,0
1.48297,0.0124373,0
1.49299,0.010874,0
1.50301,0.0109977,0
1.51303,0.0114517,0
1.52305,0.0103698,0
1.53307,0.00849383,0
1.54309,0.0080802,0
1.55311,0.00941377,0
1.56313,0.0103817,0
1.57315,0.0096709,0
1.58317,0.00858063,0
1.59319,0.00877081,0
1.60321,0.00959544,0
1.61323,0.00914101,0
1.62325,0.00723118,0
1.63327,0.00571272,0
1.64329,0.00569338,0
1.65331,0.00607311,0
1.66333,0.0055195,0
1.67335,0.00464864,0
1.68337,0.00499829,0
1.69339,0.00649073,0
1.70341,0.00739828,0
1.71343,0.00685668,0
1.72345,0.00603539,0
1.73347,0.00622601,0
1.74349,0.0068644,0
1.75351,0.00649325,0
1.76353,0.00507806,0
1.77355,0.00409134,0
1.78357,0.00432046,0
1.79359,0.00480922,0
1.80361,0.00446154,0
1.81363,0.00372003,0
1.82365,0.00375812,0
1.83367,0.00455444,0
1.84369,0.00487464,0
1.85371,0.0041341,0
1.86373,0.00323219,0
1.87375,0.00314437,0
1.88377,0.00351135,0
1.89379,0.00335861,0
1.90381,0.00270258,0
1.91383,0.00251469,0
1.92385,0.0031685,0
1.93387,0.00383908,0
1.94389,0.00375979,0
1.95391,0.00333949,0
1.96393,0.00342869,0
1.97395,0.00393699,0
1.98397,0.00395986,0
1.99399,0.00317849,0
2.00401,0.00235252,0
2.01403,0.00219277,0
2.02405,0.00238974,0
2.03407,0.00223587,0
2.04409,0.00177581,0
2.05411,0.00168476,0
2.06413,0.00214363,0
2.07415,0.00251992,0
2.08417,0.00233493,0
2.09419,0.001965,0
2.10421,0.00200294,0
2.11423,0.00231703,0
2.12425,0.00228552,0
2.13427,0.00180481,0
2.14429,0.0014766,0
2.15431,0.00169697,0
2.16433,0.00207784,0
2.17435,0.00207242,0
2.18437,0.00179827,0
2.19439,0.00178882,0
2.20441,0.00211068,0
2.21443,0.00224219,0
2.22445,0.00187878,0
2.23447,0.00139272,0
2.24449,0.00125638,0
2.25451,0.00135781,0
2.26453,0.00125666,0
2.27455,0.000926542,0
2.28457,0.000801795,0
2.29459,0.0010813,0
2.30461,0.0014065,0
2.31463,0.00140807,0
2.32465,0.00124564,0
2.33467,0.00130669,0
2.34469,0.00156051,0
2.35471,0.00160197,0
2.36473,0.00129327,0
2.37475,0.000992969,0
2.38477,0.0010177,0
2.39479,0.00118465,0
2.40481,0.00113321,0
2.41483,0.000898737,0
2.42485,0.000841373,0
2.43487,0.00106342,0
2.44489,0.00123686,0
2.45491,0.00109842,0
2.46493,0.000830978,0
2.47495,0.000755367,0
2.48497,0.000842509,0
2.49499,0.00080373,0
2.50501,0.000584792,0
2.51503,0.000465861,0
2.52505,0.000619704,0
2.53507,0.000837549,0
2.54509,0.00085385,0
2.55511,0.000750133,0
2.56513,0.000803894,0
2.57515,0.00102895,0
2.58517,0.0011327,0
2.59519,0.000954181,0
2.60521,0.000701083,0
2.61523,0.000631983,0
2.62525,0.0006888,0
2.63527,0.000636484,0
2.64529,0.000460015,0
2.65531,0.000386826,0
2.66533,0.000516529,0
2.67535,0.00065501,0
2.68537,0.000610913,0
2.69539,0.000480224,0
2.70541,0.000476985,0
2.71543,0.000590107,0
2.72545,0.000607934,0
2.73547,0.000460618,0
2.74549,0.000334567,0
2.75551,0.000384764,0
2.76553,0.00050516,0
2.77555,0.000511675,0
2.78557,0.000437287,0
2.79559,0.000469156,0
2.80561,0.000633669,0
