# 20241120_125229
# initdata:	data/init_real_sigmamasses_consteps_20241119_171318/init35.csv
# particle mass:	0.92
# NpT:	500
# pTmax:	5
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,1944.91,0
0.01002,1908.36,0
0.0200401,1802.78,0
0.0300601,1639.64,0
0.0400802,1435.83,0
0.0501002,1210.81,0
0.0601202,983.559,0
0.0701403,769.995,0
0.0801603,581.273,0
0.0901804,423.321,0
0.1002,297.447,0
0.11022,201.63,0
0.12024,131.994,0
0.130261,83.9863,0
0.140281,53.0543,0
0.150301,34.8695,0
0.160321,25.368,0
0.170341,20.8725,0
0.180361,18.4028,0
0.190381,16.044,0
0.200401,13.1164,0
0.210421,9.95425,0
0.220441,7.33326,0
0.230461,5.82638,0
0.240481,5.43522,0
0.250501,5.67738,0
0.260521,6.00539,0
0.270541,6.21468,0
0.280561,6.52516,0
0.290581,7.2924,0
0.300601,8.60558,0
0.310621,10.1246,0
0.320641,11.3079,0
0.330661,11.8515,0
0.340681,11.9413,0
0.350701,12.1089,0
0.360721,12.7662,0
0.370741,13.8366,0
0.380762,14.807,0
0.390782,15.175,0
0.400802,14.9002,0
0.410822,14.4493,0
0.420842,14.381,0
0.430862,14.8362,0
0.440882,15.4154,0
0.450902,15.5504,0
0.460922,15.045,0
0.470942,14.2652,0
0.480962,13.7958,0
0.490982,13.8869,0
0.501002,14.2235,0
0.511022,14.2439,0
0.521042,13.695,0
0.531062,12.8764,0
0.541082,12.3327,0
0.551102,12.3048,0
0.561122,12.4958,0
0.571142,12.384,0
0.581162,11.7584,0
0.591182,10.924,0
0.601202,10.3712,0
0.611222,10.2626,0
0.621242,10.2777,0
0.631263,9.9684,0
0.641283,9.23838,0
0.651303,8.4327,0
0.661323,7.95561,0
0.671343,7.84054,0
0.681363,7.7387,0
0.691383,7.32263,0
0.701403,6.64703,0
0.711423,6.07224,0
0.721443,5.8519,0
0.731463,5.85746,0
0.741483,5.74263,0
0.751503,5.34427,0
0.761523,4.85605,0
0.771543,4.5862,0
0.781563,4.59357,0
0.791583,4.62604,0
0.801603,4.42093,0
0.811623,4.00552,0
0.821643,3.64839,0
0.831663,3.53312,0
0.841683,3.54855,0
0.851703,3.43625,0
0.861723,3.10507,0
0.871743,2.73236,0
0.881764,2.54145,0
0.891784,2.53713,0
0.901804,2.5169,0
0.911824,2.33014,0
0.921844,2.05848,0
0.931864,1.90207,0
0.941884,1.92577,0
0.951904,1.98341,0
0.961924,1.90548,0
0.971944,1.70597,0
0.981964,1.55175,0
0.991984,1.54356,0
1.002,1.59106,0
1.01202,1.53373,0
1.02204,1.34531,0
1.03206,1.16144,0
1.04208,1.10364,0
1.0521,1.13111,0
1.06212,1.10501,0
1.07214,0.972682,0
1.08216,0.831358,0
1.09218,0.796118,0
1.1022,0.851179,0
1.11222,0.875963,0
1.12224,0.803782,0
1.13226,0.702132,0
1.14228,0.675068,0
1.1523,0.723286,0
1.16232,0.745953,0
1.17234,0.675306,0
1.18236,0.562511,0
1.19238,0.505583,0
1.2024,0.521488,0
1.21242,0.532062,0
1.22244,0.475175,0
1.23246,0.38748,0
1.24248,0.35106,0
1.25251,0.382144,0
1.26253,0.412878,0
1.27255,0.385595,0
1.28257,0.327891,0
1.29259,0.309147,0
1.30261,0.342873,0
1.31263,0.369023,0
1.32265,0.33669,0
1.33267,0.271459,0
1.34269,0.237691,0
1.35271,0.25159,0
1.36273,0.264323,0
1.37275,0.233707,0
1.38277,0.182337,0
1.39279,0.163929,0
1.40281,0.188622,0
1.41283,0.211327,0
1.42285,0.195767,0
1.43287,0.16258,0
1.44289,0.156343,0
1.45291,0.181119,0
1.46293,0.19526,0
1.47295,0.170242,0
1.48297,0.129519,0
1.49299,0.114572,0
1.50301,0.128247,0
1.51303,0.134468,0
1.52305,0.111633,0
1.53307,0.0827736,0
1.54309,0.081552,0
1.55311,0.104608,0
1.56313,0.117406,0
1.57315,0.103114,0
1.58317,0.0842328,0
1.59319,0.0881832,0
1.60321,0.107378,0
1.61323,0.110709,0
1.62325,0.0877438,0
1.63327,0.0626155,0
1.64329,0.059469,0
1.65331,0.0701343,0
1.66333,0.068977,0
1.67335,0.0511752,0
1.68337,0.0388725,0
1.69339,0.0480221,0
1.70341,0.0650958,0
1.71343,0.0667391,0
1.72345,0.0527785,0
1.73347,0.0449734,0
1.74349,0.0545303,0
1.75351,0.0659389,0
1.76353,0.0596935,0
1.77355,0.0401851,0
1.78357,0.0289834,0
1.79359,0.0344512,0
1.80361,0.0417317,0
1.81363,0.0360458,0
1.82365,0.0242012,0
1.83367,0.0235575,0
1.84369,0.0359142,0
1.85371,0.0447637,0
1.86373,0.0390908,0
1.87375,0.0284583,0
1.88377,0.0280246,0
1.89379,0.0363113,0
1.90381,0.0380699,0
1.91383,0.0270897,0
1.92385,0.0152147,0
1.93387,0.015096,0
1.94389,0.0226062,0
1.95391,0.0241841,0
1.96393,0.0172381,0
1.97395,0.0133225,0
1.98397,0.0202034,0
1.99399,0.02986,0
2.00401,0.029903,0
2.01403,0.0211515,0
2.02405,0.0157232,0
2.03407,0.0191842,0
2.04409,0.0231924,0
2.05411,0.0187188,0
2.06413,0.00958395,0
2.07415,0.00657612,0
2.08417,0.0116343,0
2.09419,0.0156856,0
2.10421,0.0126791,0
2.11423,0.0084215,0
2.12425,0.0112826,0
2.13427,0.0190908,0
2.14429,0.0218325,0
2.15431,0.0159722,0
2.16433,0.0092256,0
2.17435,0.00918237,0
2.18437,0.0128771,0
2.19439,0.0122512,0
2.20441,0.00660169,0
2.21443,0.00338891,0
2.22445,0.00680739,0
2.23447,0.0116136,0
2.24449,0.0111886,0
2.25451,0.00733003,0
2.26453,0.0071131,0
2.27455,0.0118814,0
2.28457,0.0150114,0
2.29459,0.0116306,0
2.30461,0.00565785,0
2.31463,0.00392245,0
2.32465,0.00647089,0
2.33467,0.00736583,0
2.34469,0.00419121,0
2.35471,0.00167176,0
2.36473,0.00422012,0
2.37475,0.00899147,0
2.38477,0.00995259,0
2.39479,0.00669546,0
2.40481,0.00476207,0
2.41483,0.00719901,0
2.42485,0.0100921,0
2.43487,0.00854428,0
2.44489,0.00391143,0
2.45491,0.00161817,0
2.46493,0.00322824,0
2.47495,0.00474207,0
2.48497,0.00324011,0
2.49499,0.00142102,0
2.50501,0.00318742,0
2.51503,0.00725299,0
2.52505,0.00865045,0
2.53507,0.00590584,0
2.54509,0.00309195,0
2.55511,0.00378005,0
2.56513,0.00600503,0
2.57515,0.00557216,0
2.58517,0.00243767,0
2.59519,0.000595436,0
2.60521,0.00198789,0
2.61523,0.00383472,0
2.62525,0.00321557,0
2.63527,0.00163277,0
2.64529,0.00254419,0
2.65531,0.00575653,0
2.66533,0.00733542,0
2.67535,0.0052324,0
2.68537,0.00219289,0
2.69539,0.00169683,0
2.70541,0.00312294,0
2.71543,0.00321687,0
2.72545,0.00128853,0
2.73547,0.000157535,0
2.74549,0.00164167,0
2.75551,0.00369288,0
2.76553,0.00354292,0
2.77555,0.0019281,0
2.78557,0.00189615,0
