# 20241023_171739
# initdata:	data/init_compl_taudep_20241023_171719/init.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,4077.57,0
0.0100503,4031.59,0
0.0201005,3878.61,0
0.0301508,3585.5,0
0.040201,3132.47,0
0.0502513,2549.25,0
0.0603015,1928.81,0
0.0703518,1397.48,0
0.080402,1046.21,0
0.0904523,874.446,0
0.100503,794.114,0
0.110553,701.725,0
0.120603,558.305,0
0.130653,406.327,0
0.140704,309.654,0
0.150754,282.844,0
0.160804,280.936,0
0.170854,252.908,0
0.180905,193.241,0
0.190955,136.151,0
0.201005,108.466,0
0.211055,101.353,0
0.221106,89.5107,0
0.231156,65.7092,0
0.241206,45.8339,0
0.251256,43.6768,0
0.261307,52.6698,0
0.271357,56.766,0
0.281407,51.6068,0
0.291457,46.7768,0
0.301508,49.3302,0
0.311558,53.5688,0
0.321608,49.9726,0
0.331658,38.563,0
0.341709,28.0124,0
0.351759,23.6584,0
0.361809,22.063,0
0.371859,18.2123,0
0.38191,13.3068,0
0.39196,12.185,0
0.40201,15.567,0
0.41206,18.928,0
0.422111,18.8831,0
0.432161,17.1894,0
0.442211,17.0472,0
0.452261,17.9941,0
0.462312,16.9055,0
0.472362,12.95,0
0.482412,8.89178,0
0.492462,7.22544,0
0.502513,7.18901,0
0.512563,6.70902,0
0.522613,5.75734,0
0.532663,6.03596,0
0.542714,7.92223,0
0.552764,9.57511,0
0.562814,9.43143,0
0.572864,8.17957,0
0.582915,7.40622,0
0.592965,7.2271,0
0.603015,6.4459,0
0.613065,4.69692,0
0.623116,3.16242,0
0.633166,2.90259,0
0.643216,3.46313,0
0.653266,3.76232,0
0.663317,3.69899,0
0.673367,4.03386,0
0.683417,4.92184,0
0.693467,5.4788,0
0.703518,5.00875,0
0.713568,3.96238,0
0.723618,3.23013,0
0.733668,2.94249,0
0.743719,2.55417,0
0.753769,1.90697,0
0.763819,1.54645,0
0.773869,1.86656,0
0.78392,2.48151,0
0.79397,2.77535,0
0.80402,2.72878,0
0.81407,2.7754,0
0.824121,3.00388,0
0.834171,2.985,0
0.844221,2.45219,0
0.854271,1.74572,0
0.864322,1.35668,0
0.874372,1.30408,0
0.884422,1.2631,0
0.894472,1.15462,0
0.904523,1.24482,0
0.914573,1.6452,0
0.924623,2.04634,0
0.934673,2.11065,0
0.944724,1.9084,0
0.954774,1.74373,0
0.964824,1.67943,0
0.974874,1.4989,0
0.984925,1.12074,0
0.994975,0.786862,0
1.00503,0.736693,0
1.01508,0.88659,0
1.02513,0.99539,0
1.03518,1.02657,0
1.04523,1.14215,0
1.05528,1.3721,0
1.06533,1.50509,0
1.07538,1.3753,0
1.08543,1.0968,0
1.09548,0.893926,0
1.10553,0.804066,0
1.11558,0.698839,0
1.12563,0.550611,0
1.13568,0.503922,0
1.14573,0.647089,0
1.15578,0.856356,0
1.16583,0.958056,0
1.17588,0.952642,0
1.18593,0.962425,0
1.19598,1.00684,0
1.20603,0.965871,0
1.21608,0.779441,0
1.22613,0.561533,0
1.23618,0.453282,0
1.24623,0.447452,0
1.25628,0.444895,0
1.26633,0.431957,0
1.27638,0.492006,0
1.28643,0.643788,0
1.29648,0.774622,0
1.30653,0.779771,0
1.31658,0.694277,0
1.32663,0.621459,0
1.33668,0.579934,0
1.34673,0.50422,0
1.35678,0.381053,0
1.36683,0.295155,0
1.37688,0.312971,0
1.38693,0.390337,0
1.39698,0.444778,0
1.40704,0.472051,0
1.41709,0.525595,0
1.42714,0.602238,0
1.43719,0.623615,0
1.44724,0.545593,0
1.45729,0.425279,0
1.46734,0.344037,0
1.47739,0.307641,0
1.48744,0.270464,0
1.49749,0.230726,0
1.50754,0.239809,0
1.51759,0.314751,0
1.52764,0.39857,0
1.53769,0.433197,0
1.54774,0.430615,0
1.55779,0.434572,0
1.56784,0.439979,0
1.57789,0.400225,0
1.58794,0.308836,0
1.59799,0.224257,0
1.60804,0.1974,0
1.61809,0.212618,0
1.62814,0.227197,0
1.63819,0.239821,0
1.64824,0.280285,0
1.65829,0.343834,0
1.66834,0.380803,0
1.67839,0.360912,0
1.68844,0.312254,0
1.69849,0.276122,0
1.70854,0.250605,0
1.71859,0.209028,0
1.72864,0.15795,0
1.73869,0.138671,0
1.74874,0.168919,0
1.75879,0.216579,0
1.76884,0.24566,0
1.77889,0.261683,0
1.78894,0.288117,0
1.79899,0.316095,0
1.80905,0.309895,0
1.8191,0.260084,0
1.82915,0.201073,0
1.8392,0.166591,0
1.84925,0.152273,0
1.8593,0.138819,0
1.86935,0.132155,0
1.8794,0.153986,0
1.88945,0.199651,0
1.8995,0.234088,0
1.90955,0.235714,0
1.9196,0.221405,0
1.92965,0.215119,0
1.9397,0.210312,0
1.94975,0.184105,0
1.9598,0.13893,0
1.96985,0.105692,0
1.9799,0.104009,0
1.98995,0.120692,0
2,0.135988,0
