# 20241009_163646
q,primespecRe,primespecIm
0,3553.3,0
0.000991983,3546.61,0
0.00198397,3540.43,0
0.00297595,3534.53,0
0.00396793,3528.71,0
0.00495991,3522.78,0
0.0059519,3516.52,0
0.00694388,3509.74,0
0.00793586,3502.23,0
0.00892785,3493.81,0
0.00991983,3484.26,0
0.0109118,3472.77,0
0.0119038,3458.57,0
0.0128958,3441.98,0
0.0138878,3423.34,0
0.0148797,3402.99,0
0.0158717,3381.24,0
0.0168637,3358.43,0
0.0178557,3334.86,0
0.0188477,3310.84,0
0.0198397,3286.68,0
0.0208316,3261.94,0
0.0218236,3235.48,0
0.0228156,3207.46,0
0.0238076,3178.09,0
0.0247996,3147.55,0
0.0257916,3116.04,0
0.0267835,3083.74,0
0.0277755,3050.83,0
0.0287675,3017.49,0
0.0297595,2983.88,0
0.0307515,2949.85,0
0.0317435,2914.73,0
0.0327354,2878.61,0
0.0337274,2841.64,0
0.0347194,2803.97,0
0.0357114,2765.71,0
0.0367034,2727.01,0
0.0376954,2687.99,0
0.0386873,2648.76,0
0.0396793,2609.43,0
0.0406713,2569.97,0
0.0416633,2529.95,0
0.0426553,2489.42,0
0.0436473,2448.5,0
0.0446392,2407.28,0
0.0456312,2365.85,0
0.0466232,2324.32,0
0.0476152,2282.76,0
0.0486072,2241.26,0
0.0495991,2199.89,0
0.0505911,2158.66,0
0.0515831,2117.31,0
0.0525751,2075.86,0
0.0535671,2034.38,0
0.0545591,1992.95,0
0.055551,1951.62,0
0.056543,1910.46,0
0.057535,1869.54,0
0.058527,1828.89,0
0.059519,1788.59,0
0.060511,1748.64,0
0.0615029,1708.88,0
0.0624949,1669.32,0
0.0634869,1630.01,0
0.0644789,1591,0
0.0654709,1552.32,0
0.0664629,1514.01,0
0.0674548,1476.12,0
0.0684468,1438.66,0
0.0694388,1401.68,0
0.0704308,1365.2,0
0.0714228,1329.1,0
0.0724148,1293.41,0
0.0734067,1258.13,0
0.0743987,1223.31,0
0.0753907,1188.97,0
0.0763827,1155.12,0
0.0773747,1121.8,0
0.0783667,1089.02,0
0.0793586,1056.8,0
0.0803506,1025.14,0
0.0813426,993.992,0
0.0823346,963.338,0
0.0833266,933.202,0
0.0843186,903.601,0
0.0853105,874.554,0
0.0863025,846.074,0
0.0872945,818.176,0
0.0882865,790.87,0
0.0892785,764.166,0
0.0902705,738.068,0
0.0912624,712.512,0
0.0922544,687.48,0
0.0932464,662.994,0
0.0942384,639.072,0
0.0952304,615.731,0
0.0962223,592.983,0
0.0972143,570.839,0
0.0982063,549.304,0
0.0991983,528.386,0
0.10019,508.086,0
0.101182,488.318,0
0.102174,469.046,0
0.103166,450.298,0
0.104158,432.098,0
0.10515,414.464,0
0.106142,397.411,0
0.107134,380.949,0
0.108126,365.084,0
0.109118,349.818,0
0.11011,335.152,0
0.111102,320.98,0
0.112094,307.226,0
0.113086,293.929,0
0.114078,281.117,0
0.11507,268.814,0
0.116062,257.036,0
0.117054,245.796,0
0.118046,235.098,0
0.119038,224.946,0
0.12003,215.337,0
0.121022,206.164,0
0.122014,197.308,0
0.123006,188.803,0
0.123998,180.677,0
0.12499,172.953,0
0.125982,165.646,0
0.126974,158.768,0
0.127966,152.324,0
0.128958,146.319,0
0.12995,140.752,0
0.130942,135.548,0
0.131934,130.57,0
0.132926,125.829,0
0.133918,121.337,0
0.13491,117.105,0
0.135902,113.139,0
0.136894,109.445,0
0.137886,106.025,0
0.138878,102.884,0
0.13987,100.022,0
0.140862,97.4119,0
0.141854,94.9671,0
0.142846,92.6732,0
0.143838,90.5202,0
0.14483,88.4989,0
0.145821,86.601,0
0.146813,84.8185,0
0.147805,83.1443,0
0.148797,81.5717,0
0.149789,80.0943,0
0.150781,78.7133,0
0.151773,77.4407,0
0.152765,76.2592,0
0.153757,75.15,0
0.154749,74.0955,0
0.155741,73.0792,0
0.156733,72.0854,0
0.157725,71.0992,0
0.158717,70.1065,0
0.159709,69.0941,0
0.160701,68.0608,0
0.161693,67.0523,0
0.162685,66.0668,0
0.163677,65.0956,0
0.164669,64.1302,0
0.165661,63.1627,0
0.166653,62.1857,0
0.167645,61.1924,0
0.168637,60.1763,0
0.169629,59.1315,0
0.170621,58.0533,0
0.171613,56.9447,0
0.172605,55.8105,0
0.173597,54.6554,0
0.174589,53.4836,0
0.175581,52.2993,0
0.176573,51.1064,0
0.177565,49.9087,0
0.178557,48.7096,0
0.179549,47.5126,0
0.180541,46.318,0
0.181533,45.1023,0
0.182525,43.8677,0
0.183517,42.6243,0
0.184509,41.3812,0
0.185501,40.147,0
0.186493,38.9291,0
0.187485,37.7341,0
0.188477,36.5682,0
0.189469,35.4363,0
0.190461,34.3413,0
0.191453,33.2562,0
0.192445,32.178,0
0.193437,31.1158,0
0.194429,30.0776,0
0.195421,29.0703,0
0.196413,28.0999,0
0.197405,27.1715,0
0.198397,26.2894,0
0.199389,25.4572,0
0.200381,24.6772,0
0.201373,23.93,0
0.202365,23.2071,0
0.203357,22.511,0
0.204348,21.8439,0
0.20534,21.2077,0
0.206332,20.6041,0
0.207324,20.0342,0
0.208316,19.4994,0
0.209308,19.0004,0
0.2103,18.538,0
0.211292,18.1094,0
0.212284,17.7091,0
0.213276,17.3327,0
0.214268,16.9763,0
0.21526,16.6362,0
0.216252,16.309,0
0.217244,15.9918,0
0.218236,15.6814,0
0.219228,15.3753,0
0.22022,15.071,0
0.221212,14.7765,0
0.222204,14.4982,0
0.223196,14.2316,0
0.224188,13.9728,0
0.22518,13.7178,0
0.226172,13.463,0
0.227164,13.2053,0
0.228156,12.9415,0
0.229148,12.6689,0
0.23014,12.3851,0
0.231132,12.0909,0
0.232124,11.7905,0
0.233116,11.4844,0
0.234108,11.1734,0
0.2351,10.858,0
0.236092,10.5391,0
0.237084,10.2172,0
0.238076,9.89314,0
0.239068,9.56757,0
0.24006,9.2412,0
0.241052,8.90907,0
0.242044,8.56405,0
0.243036,8.21181,0
0.244028,7.85769,0
0.24502,7.50639,0
0.246012,7.16196,0
0.247004,6.82781,0
0.247996,6.50675,0
0.248988,6.20102,0
0.24998,5.91239,0
0.250972,5.63189,0
0.251964,5.33957,0
0.252956,5.04594,0
0.253948,4.76105,0
0.25494,4.49295,0
0.255932,4.24786,0
0.256924,4.0305,0
0.257916,3.8445,0
0.258908,3.69281,0
0.2599,3.57807,0
