# 20241009_170755
# primespec:	data/decay_convtest/spec_20241009_154507_10GeV/spectr.txt
# qmax:	10
# ma:	0.656
# mb:	0.14
# mc:	0.14
# B:	1
# Q:	1
# [DEBUG] pabc:	0.296621
# [DEBUG] Eabc:	0.328
p,finalspecRe,finalspecIm
0,146.168,0
0.0100503,146.081,0
0.0201005,146.414,0
0.0301508,146.84,0
0.040201,147.35,0
0.0502513,148.173,0
0.0603015,148.885,0
0.0703518,149.883,0
0.080402,150.668,0
0.0904523,151.535,0
0.100503,152.458,0
0.110553,153.172,0
0.120603,153.915,0
0.130653,154.83,0
0.140704,155.799,0
0.150754,156.978,0
0.160804,158.626,0
0.170854,160.878,0
0.180905,164.262,0
0.190955,168.919,0
0.201005,175.277,0
0.211055,183.357,0
0.221106,193.556,0
0.231156,206.019,0
0.241206,223.382,0
0.251256,246.586,0
0.261307,270.053,0
0.271357,284.186,0
0.281407,279.405,0
0.291457,251.791,0
0.301508,206.106,0
0.311558,153.067,0
0.321608,104.512,0
0.331658,67.1823,0
0.341709,42.1757,0
0.351759,27.6452,0
0.361809,20.1097,0
0.371859,16.2918,0
0.38191,13.9189,0
0.39196,12.0912,0
0.40201,10.7157,0
0.41206,9.78903,0
0.422111,9.14407,0
0.432161,8.63696,0
0.442211,8.25323,0
0.452261,7.97548,0
0.462312,7.72974,0
0.472362,7.47359,0
0.482412,7.22612,0
0.492462,6.99753,0
0.502513,6.75464,0
0.512563,6.47864,0
0.522613,6.20549,0
0.532663,5.95372,0
0.542714,5.69113,0
0.552764,5.40573,0
0.562814,5.12301,0
0.572864,4.87428,0
0.582915,4.63832,0
0.592965,4.39251,0
0.603015,4.14935,0
0.613065,3.93977,0
0.623116,3.74766,0
0.633166,3.55534,0
0.643216,3.3573,0
0.653266,3.17884,0
0.663317,3.02071,0
0.673367,2.86016,0
0.683417,2.69052,0
0.693467,2.53333,0
0.703518,2.3955,0
0.713568,2.26456,0
0.723618,2.12924,0
0.733668,2.00149,0
0.743719,1.8931,0
0.753769,1.79685,0
0.763819,1.70042,0
0.773869,1.60428,0
0.78392,1.52151,0
0.79397,1.44866,0
0.80402,1.37502,0
0.81407,1.29676,0
0.824121,1.22507,0
0.834171,1.1627,0
0.844221,1.10246,0
0.854271,1.03921,0
0.864322,0.979991,0
0.874372,0.930875,0
0.884422,0.887069,0
0.894472,0.842538,0
0.904523,0.798902,0
0.914573,0.761531,0
0.924623,0.729245,0
0.934673,0.694751,0
0.944724,0.65855,0
0.954774,0.625047,0
0.964824,0.596036,0
0.974874,0.567788,0
0.984925,0.536959,0
0.994975,0.508455,0
1.00503,0.485632,0
1.01508,0.465056,0
1.02513,0.443786,0
1.03518,0.423072,0
1.04523,0.405531,0
1.05528,0.390402,0
1.06533,0.373708,0
1.07538,0.355975,0
1.08543,0.339165,0
1.09548,0.325345,0
1.10553,0.311301,0
1.11558,0.295612,0
1.12563,0.281039,0
1.13568,0.269691,0
1.14573,0.25994,0
1.15578,0.249634,0
1.16583,0.239133,0
1.17588,0.230231,0
1.18593,0.222738,0
1.19598,0.213508,0
1.20603,0.20357,0
1.21608,0.19477,0
1.22613,0.187324,0
1.23618,0.180032,0
1.24623,0.172161,0
1.25628,0.164516,0
1.26633,0.158632,0
1.27638,0.153904,0
1.28643,0.148657,0
1.29648,0.142982,0
1.30653,0.138169,0
1.31658,0.133861,0
1.32663,0.12902,0
1.33668,0.123191,0
1.34673,0.117998,0
1.35678,0.113995,0
1.36683,0.109964,0
1.37688,0.10525,0
1.38693,0.101407,0
1.39698,0.0980918,0
1.40704,0.0956407,0
1.41709,0.0928636,0
1.42714,0.0894368,0
1.43719,0.0867386,0
1.44724,0.0843041,0
1.45729,0.0812198,0
1.46734,0.0778355,0
1.47739,0.074579,0
1.48744,0.0721787,0
1.49749,0.0700813,0
1.50754,0.0675797,0
1.51759,0.065,0
1.52764,0.0638081,0
1.53769,0.0623098,0
1.54774,0.060423,0
1.55779,0.0586343,0
1.56784,0.0566234,0
1.57789,0.0550382,0
1.58794,0.0534811,0
1.59799,0.0512125,0
1.60804,0.0490966,0
1.61809,0.0479152,0
1.62814,0.0467973,0
1.63819,0.045,0
1.64824,0.0438975,0
1.65829,0.0430138,0
1.66834,0.0420739,0
1.67839,0.0407462,0
1.68844,0.0395484,0
1.69849,0.0382402,0
1.70854,0.0371926,0
1.71859,0.0359801,0
1.72864,0.034925,0
1.73869,0.0336176,0
1.74874,0.0328822,0
1.75879,0.0323031,0
1.76884,0.0314311,0
1.77889,0.0306793,0
1.78894,0.0300204,0
1.79899,0.0293072,0
1.80905,0.0286742,0
1.8191,0.0275979,0
1.82915,0.0267282,0
1.8392,0.0260151,0
1.84925,0.0254172,0
1.8593,0.0246145,0
1.86935,0.023875,0
1.8794,0.0233264,0
1.88945,0.0232365,0
1.8995,0.0226858,0
1.90955,0.0220942,0
1.9196,0.0216699,0
1.92965,0.0212107,0
1.9397,0.0205026,0
1.94975,0.0197553,0
1.9598,0.0192057,0
1.96985,0.0187354,0
1.9799,0.0182906,0
1.98995,0.0177484,0
2,0.0172258,0
