# 20241010_155139
q,primespecRe,primespecIm
0,3677.06,0
0.003003,3657.78,0
0.00600601,3639.25,0
0.00900901,3615.77,0
0.012012,3579.1,0
0.015015,3521.54,0
0.018018,3451.38,0
0.021021,3376.45,0
0.024024,3290.02,0
0.027027,3193.22,0
0.03003,3091.25,0
0.033033,2983.53,0
0.036036,2868.48,0
0.039039,2749.85,0
0.042042,2629.59,0
0.045045,2505.71,0
0.048048,2380.59,0
0.0510511,2256.45,0
0.0540541,2132.34,0
0.0570571,2009.2,0
0.0600601,1888.73,0
0.0630631,1771.11,0
0.0660661,1656.18,0
0.0690691,1545.06,0
0.0720721,1438.33,0
0.0750751,1335.49,0
0.0780781,1237.17,0
0.0810811,1143.89,0
0.0840841,1055.16,0
0.0870871,971.228,0
0.0900901,892.541,0
0.0930931,818.76,0
0.0960961,749.638,0
0.0990991,685.73,0
0.102102,627.003,0
0.105105,572.54,0
0.108108,522.962,0
0.111111,478.655,0
0.114114,438.315,0
0.117117,402.113,0
0.12012,370.694,0
0.123123,343.339,0
0.126126,319.065,0
0.129129,298.446,0
0.132132,281.542,0
0.135135,266.972,0
0.138138,254.654,0
0.141141,244.671,0
0.144144,236.544,0
0.147147,229.619,0
0.15015,223.422,0
0.153153,217.892,0
0.156156,213.021,0
0.159159,208.168,0
0.162162,202.879,0
0.165165,197.426,0
0.168168,191.683,0
0.171171,185.464,0
0.174174,178.593,0
0.177177,171.236,0
0.18018,163.642,0
0.183183,155.778,0
0.186186,147.581,0
0.189189,139.462,0
0.192192,131.657,0
0.195195,123.933,0
0.198198,116.581,0
0.201201,109.896,0
0.204204,103.72,0
0.207207,98.0265,0
0.21021,92.9519,0
0.213213,88.5252,0
0.216216,84.5681,0
0.219219,80.954,0
0.222222,77.6149,0
0.225225,74.6205,0
0.228228,71.7633,0
0.231231,68.8284,0
0.234234,65.8635,0
0.237237,62.8772,0
0.24024,59.7781,0
0.243243,56.4934,0
0.246246,53.0609,0
0.249249,49.5944,0
0.252252,46.1534,0
0.255255,42.645,0
0.258258,39.2516,0
0.261261,36.1449,0
0.264264,33.2126,0
0.267267,30.5055,0
0.27027,28.1937,0
0.273273,26.2809,0
0.276276,24.6042,0
0.279279,23.2087,0
0.282282,22.1273,0
0.285285,21.2806,0
0.288288,20.5475,0
0.291291,19.8283,0
0.294294,19.1586,0
0.297297,18.5189,0
0.3003,17.8114,0
0.303303,16.9662,0
0.306306,16.0007,0
0.309309,14.9567,0
0.312312,13.856,0
0.315315,12.6368,0
0.318318,11.3983,0
0.321321,10.2399,0
0.324324,9.1072,0
0.327327,8.04445,0
0.33033,7.16402,0
0.333333,6.46324,0
0.336336,5.84808,0
0.339339,5.38687,0
0.342342,5.12076,0
0.345345,4.95126,0
0.348348,4.8222,0
0.351351,4.70573,0
0.354354,4.61009,0
0.357357,4.52769,0
0.36036,4.42246,0
0.363363,4.24972,0
0.366366,3.98543,0
0.369369,3.67338,0
0.372372,3.34329,0
0.375375,2.94765,0
0.378378,2.545,0
0.381381,2.19454,0
0.384384,1.85068,0
0.387387,1.5462,0
0.39039,1.36028,0
0.393393,1.29537,0
0.396396,1.25198,0
0.399399,1.22654,0
0.402402,1.22892,0
0.405405,1.30919,0
0.408408,1.42358,0
0.411411,1.48657,0
0.414414,1.49181,0
0.417417,1.49531,0
0.42042,1.49694,0
0.423423,1.46562,0
0.426426,1.33732,0
0.429429,1.17658,0
0.432432,1.03071,0
0.435435,0.856875,0
0.438438,0.707779,0
0.441441,0.629084,0
0.444444,0.599011,0
0.447447,0.577309,0
0.45045,0.566316,0
0.453453,0.582763,0
0.456456,0.661292,0
0.459459,0.767651,0
0.462462,0.843384,0
0.465465,0.903987,0
0.468468,0.954688,0
0.471471,0.976897,0
0.474474,0.950382,0
0.477477,0.884255,0
0.48048,0.804566,0
0.483483,0.713249,0
0.486486,0.588666,0
0.489489,0.489534,0
0.492492,0.445839,0
0.495495,0.423778,0
0.498498,0.40876,0
0.501502,0.40283,0
0.504505,0.435571,0
0.507508,0.525932,0
0.510511,0.639569,0
0.513514,0.729692,0
0.516517,0.827233,0
0.51952,0.907671,0
0.522523,0.929964,0
0.525526,0.920289,0
0.528529,0.900939,0
0.531532,0.875652,0
0.534535,0.814431,0
0.537538,0.72111,0
0.540541,0.657191,0
0.543544,0.649792,0
0.546547,0.650492,0
0.54955,0.651828,0
0.552553,0.656708,0
0.555556,0.725862,0
0.558559,0.857952,0
0.561562,1.00194,0
0.564565,1.13159,0
0.567568,1.27625,0
0.570571,1.38803,0
0.573574,1.42448,0
0.576577,1.4442,0
0.57958,1.45633,0
0.582583,1.45697,0
