# 20241010_150128
# initdata:	data/init_real_m656_consteps_20240826_143237/init7.csv
# particle mass:	0.656
# NpT:	300
# pTmax:	3
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,3677.06,0
0.0100334,3605.64,0
0.0200669,3400.84,0
0.0301003,3088.84,0
0.0401338,2706.38,0
0.0501672,2292.87,0
0.0602007,1883.18,0
0.0702341,1503.18,0
0.0802676,1168.67,0
0.090301,887.22,0
0.100334,661.041,0
0.110368,489.167,0
0.120401,368.015,0
0.130435,290.728,0
0.140468,246.711,0
0.150502,222.723,0
0.160535,205.787,0
0.170569,186.76,0
0.180602,162.569,0
0.190635,135.684,0
0.200669,111.028,0
0.210702,92.1875,0
0.220736,79.2247,0
0.230769,69.2897,0
0.240803,59.1788,0
0.250836,47.7823,0
0.26087,36.5317,0
0.270903,27.7687,0
0.280936,22.5743,0
0.29097,19.9063,0
0.301003,17.6268,0
0.311037,14.3356,0
0.32107,10.3328,0
0.331104,6.97523,0
0.341137,5.20723,0
0.351171,4.71273,0
0.361204,4.38422,0
0.371237,3.47312,0
0.381271,2.2062,0
0.391304,1.33409,0
0.401338,1.22154,0
0.411371,1.48649,0
0.421405,1.49705,0
0.431438,1.07932,0
0.441472,0.628739,0
0.451505,0.565458,0
0.461538,0.825236,0
0.471572,0.976924,0
0.481605,0.775675,0
0.491639,0.453101,0
0.501672,0.402811,0
0.511706,0.67696,0
0.521739,0.930439,0
0.531773,0.87347,0
0.541806,0.649683,0
0.551839,0.653267,0
0.561873,1.01427,0
0.571906,1.41089,0
0.58194,1.45945,0
0.591973,1.19564,0
0.602007,1.03229,0
0.61204,1.237,0
0.622074,1.58857,0
0.632107,1.653,0
0.64214,1.33355,0
0.652174,0.995441,0
0.662207,1.00592,0
0.672241,1.27875,0
0.682274,1.4043,0
0.692308,1.19111,0
0.702341,0.913817,0
0.712375,0.948954,0
0.722408,1.27844,0
0.732441,1.51087,0
0.742475,1.38904,0
0.752508,1.11585,0
0.762542,1.0745,0
0.772575,1.31842,0
0.782609,1.50456,0
0.792642,1.3501,0
0.802676,1.0022,0
0.812709,0.836447,0
0.822742,0.965211,0
0.832776,1.11276,0
0.842809,1.00842,0
0.852843,0.754508,0
0.862876,0.675946,0
0.87291,0.87247,0
0.882943,1.08256,0
0.892977,1.04319,0
0.90301,0.837439,0
0.913043,0.764051,0
0.923077,0.918461,0
0.93311,1.06478,0
0.943144,0.965189,0
0.953177,0.704129,0
0.963211,0.565688,0
0.973244,0.647314,0
0.983278,0.746674,0
0.993311,0.663653,0
1.00334,0.482534,0
1.01338,0.443802,0
1.02341,0.599093,0
1.03344,0.738788,0
1.04348,0.685962,0
1.05351,0.535565,0
1.06355,0.506895,0
1.07358,0.628576,0
1.08361,0.70273,0
1.09365,0.58949,0
1.10368,0.40253,0
1.11371,0.345034,0
1.12375,0.429702,0
1.13378,0.479094,0
1.14381,0.392007,0
1.15385,0.286259,0
1.16388,0.319705,0
1.17391,0.456795,0
1.18395,0.517591,0
1.19398,0.431996,0
1.20401,0.331045,0
1.21405,0.350788,0
1.22408,0.438097,0
1.23411,0.434857,0
1.24415,0.309847,0
1.25418,0.201643,0
1.26421,0.218915,0
1.27425,0.293286,0
1.28428,0.291916,0
1.29431,0.214972,0
1.30435,0.188362,0
1.31438,0.270328,0
1.32441,0.360803,0
1.33445,0.344016,0
1.34448,0.251767,0
1.35452,0.210747,0
1.36455,0.257401,0
1.37458,0.292265,0
1.38462,0.23343,0
1.39465,0.138119,0
1.40468,0.117021,0
1.41472,0.174521,0
1.42475,0.210243,0
1.43478,0.172157,0
1.44482,0.130133,0
1.45485,0.164536,0
1.46488,0.240922,0
1.47492,0.257476,0
1.48495,0.192023,0
1.49498,0.130786,0
