# 20241010_150909
alpha,f0Re,f0Im
0,0.0192854,0
0.00157237,0.0192893,0
0.00314474,0.0192929,0
0.00471711,0.0192965,0
0.00628947,0.0193003,0
0.00786184,0.0193044,0
0.00943421,0.019309,0
0.0110066,0.0193144,0
0.0125789,0.0193207,0
0.0141513,0.0193278,0
0.0157237,0.0193356,0
0.0172961,0.0193439,0
0.0188684,0.0193526,0
0.0204408,0.0193615,0
0.0220132,0.0193711,0
0.0235855,0.0193813,0
0.0251579,0.0193921,0
0.0267303,0.0194034,0
0.0283026,0.0194152,0
0.029875,0.0194273,0
0.0314474,0.0194399,0
0.0330197,0.0194531,0
0.0345921,0.0194669,0
0.0361645,0.0194812,0
0.0377368,0.0194959,0
0.0393092,0.0195111,0
0.0408816,0.0195266,0
0.042454,0.0195427,0
0.0440263,0.0195594,0
0.0455987,0.0195766,0
0.0471711,0.0195943,0
0.0487434,0.0196124,0
0.0503158,0.0196309,0
0.0518882,0.0196499,0
0.0534605,0.0196695,0
0.0550329,0.0196896,0
0.0566053,0.0197102,0
0.0581776,0.0197312,0
0.05975,0.0197527,0
0.0613224,0.0197746,0
0.0628947,0.019797,0
0.0644671,0.01982,0
0.0660395,0.0198435,0
0.0676119,0.0198674,0
0.0691842,0.0198918,0
0.0707566,0.0199166,0
0.072329,0.0199419,0
0.0739013,0.0199677,0
0.0754737,0.0199941,0
0.0770461,0.0200209,0
0.0786184,0.0200481,0
0.0801908,0.0200758,0
0.0817632,0.0201039,0
0.0833355,0.0201326,0
0.0849079,0.0201618,0
0.0864803,0.0201914,0
0.0880526,0.0202215,0
0.089625,0.020252,0
0.0911974,0.0202829,0
0.0927698,0.0203144,0
0.0943421,0.0203463,0
0.0959145,0.0203787,0
0.0974869,0.0204116,0
0.0990592,0.0204448,0
0.100632,0.0204785,0
0.102204,0.0205127,0
0.103776,0.0205473,0
0.105349,0.0205825,0
0.106921,0.020618,0
0.108493,0.020654,0
0.110066,0.0206904,0
0.111638,0.0207272,0
0.113211,0.0207645,0
0.114783,0.0208022,0
0.116355,0.0208404,0
0.117928,0.020879,0
0.1195,0.0209179,0
0.121072,0.0209573,0
0.122645,0.0209971,0
0.124217,0.0210374,0
0.125789,0.021078,0
0.127362,0.0211191,0
0.128934,0.0211606,0
0.130507,0.0212024,0
0.132079,0.0212446,0
0.133651,0.0212873,0
0.135224,0.0213304,0
0.136796,0.0213738,0
0.138368,0.0214176,0
0.139941,0.0214618,0
0.141513,0.0215063,0
0.143086,0.0215512,0
0.144658,0.0215966,0
0.14623,0.0216423,0
0.147803,0.0216883,0
0.149375,0.0217347,0
0.150947,0.0217813,0
0.15252,0.0218284,0
0.154092,0.0218758,0
0.155665,0.0219236,0
0.157237,0.0219717,0
0.158809,0.0220201,0
0.160382,0.0220688,0
0.161954,0.0221179,0
0.163526,0.0221673,0
0.165099,0.022217,0
0.166671,0.022267,0
0.168243,0.0223172,0
0.169816,0.0223678,0
0.171388,0.0224186,0
0.172961,0.0224697,0
0.174533,0.0225212,0
0.176105,0.0225729,0
0.177678,0.0226248,0
0.17925,0.022677,0
0.180822,0.0227294,0
0.182395,0.0227821,0
0.183967,0.0228351,0
0.18554,0.0228883,0
0.187112,0.0229417,0
0.188684,0.0229953,0
0.190257,0.0230491,0
0.191829,0.0231031,0
0.193401,0.0231574,0
0.194974,0.0232118,0
0.196546,0.0232664,0
0.198118,0.0233212,0
0.199691,0.0233761,0
0.201263,0.0234312,0
0.202836,0.0234864,0
0.204408,0.0235418,0
0.20598,0.0235974,0
0.207553,0.0236531,0
0.209125,0.0237088,0
0.210697,0.0237646,0
0.21227,0.0238206,0
0.213842,0.0238766,0
0.215415,0.0239328,0
0.216987,0.023989,0
0.218559,0.0240452,0
0.220132,0.0241015,0
0.221704,0.0241577,0
0.223276,0.0242141,0
0.224849,0.0242705,0
0.226421,0.0243269,0
0.227993,0.0243832,0
0.229566,0.0244395,0
0.231138,0.0244957,0
0.232711,0.024552,0
0.234283,0.0246082,0
0.235855,0.0246643,0
0.237428,0.0247204,0
0.239,0.0247762,0
0.240572,0.024832,0
0.242145,0.0248876,0
0.243717,0.0249431,0
0.24529,0.0249986,0
0.246862,0.0250538,0
0.248434,0.0251088,0
0.250007,0.0251635,0
0.251579,0.025218,0
0.253151,0.0252724,0
0.254724,0.0253265,0
0.256296,0.0253804,0
0.257868,0.0254339,0
0.259441,0.0254871,0
0.261013,0.0255399,0
0.262586,0.0255924,0
0.264158,0.0256447,0
0.26573,0.0256966,0
0.267303,0.025748,0
0.268875,0.025799,0
0.270447,0.0258494,0
0.27202,0.0258994,0
0.273592,0.0259491,0
0.275165,0.0259983,0
0.276737,0.026047,0
0.278309,0.0260951,0
0.279882,0.0261424,0
0.281454,0.0261892,0
0.283026,0.0262355,0
0.284599,0.0262813,0
0.286171,0.0263264,0
0.287743,0.0263708,0
0.289316,0.0264143,0
0.290888,0.0264569,0
0.292461,0.026499,0
0.294033,0.0265405,0
0.295605,0.0265811,0
0.297178,0.0266209,0
0.29875,0.0266597,0
0.300322,0.0266973,0
0.301895,0.0267342,0
0.303467,0.0267704,0
0.30504,0.0268058,0
0.306612,0.02684,0
0.308184,0.0268731,0
0.309757,0.0269048,0
0.311329,0.0269353,0
0.312901,0.0269652,0
0.314474,0.0269941,0
0.316046,0.0270219,0
0.317618,0.0270483,0
0.319191,0.027073,0
0.320763,0.0270959,0
0.322336,0.0271183,0
0.323908,0.0271398,0
0.32548,0.0271601,0
0.327053,0.0271788,0
0.328625,0.0271953,0
0.330197,0.0272092,0
0.33177,0.0272224,0
0.333342,0.0272355,0
0.334915,0.0272477,0
0.336487,0.0272578,0
0.338059,0.0272651,0
0.339632,0.0272685,0
0.341204,0.0272684,0
0.342776,0.0272677,0
0.344349,0.0272665,0
0.345921,0.0272648,0
0.347493,0.0272627,0
0.349066,0.0272602,0
0.350638,0.0272569,0
0.352211,0.0272493,0
0.353783,0.0272374,0
0.355355,0.0272221,0
0.356928,0.0272045,0
0.3585,0.0271855,0
0.360072,0.0271662,0
0.361645,0.0271449,0
0.363217,0.02712,0
0.36479,0.027092,0
0.366362,0.0270615,0
0.367934,0.0270289,0
0.369507,0.0269946,0
0.371079,0.0269586,0
0.372651,0.0269191,0
0.374224,0.0268764,0
0.375796,0.0268307,0
0.377368,0.0267825,0
0.378941,0.0267321,0
0.380513,0.0266797,0
0.382086,0.026624,0
0.383658,0.0265647,0
0.38523,0.0265023,0
0.386803,0.0264368,0
0.388375,0.0263687,0
0.389947,0.0262982,0
0.39152,0.0262247,0
0.393092,0.0261473,0
0.394665,0.0260664,0
0.396237,0.0259821,0
0.397809,0.0258948,0
0.399382,0.0258046,0
0.400954,0.0257115,0
0.402526,0.0256144,0
0.404099,0.0255134,0
0.405671,0.0254087,0
0.407243,0.0253005,0
0.408816,0.0251892,0
0.410388,0.0250747,0
0.411961,0.0249563,0
0.413533,0.0248337,0
0.415105,0.024707,0
0.416678,0.0245766,0
0.41825,0.0244425,0
0.419822,0.0243051,0
0.421395,0.0241639,0
0.422967,0.0240182,0
0.42454,0.0238681,0
0.426112,0.0237139,0
0.427684,0.0235558,0
0.429257,0.023394,0
0.430829,0.0232285,0
0.432401,0.0230583,0
0.433974,0.0228835,0
0.435546,0.0227042,0
0.437118,0.0225208,0
0.438691,0.0223333,0
0.440263,0.0221421,0
0.441836,0.0219463,0
0.443408,0.0217456,0
0.44498,0.0215402,0
0.446553,0.0213304,0
0.448125,0.0211163,0
0.449697,0.0208982,0
0.45127,0.0206757,0
0.452842,0.0204482,0
0.454415,0.0202159,0
0.455987,0.0199788,0
0.457559,0.0197373,0
0.459132,0.0194916,0
0.460704,0.0192417,0
0.462276,0.0189868,0
0.463849,0.0187268,0
0.465421,0.018462,0
0.466994,0.0181926,0
0.468566,0.0179189,0
0.470138,0.017641,0
0.471711,0.0173583,0
0.473283,0.0170705,0
0.474855,0.0167778,0
0.476428,0.0164804,0
0.478,0.0161786,0
0.479572,0.0158726,0
0.481145,0.0155623,0
0.482717,0.0152469,0
0.48429,0.0149265,0
0.485862,0.0146015,0
0.487434,0.0142721,0
0.489007,0.0139385,0
0.490579,0.0136009,0
0.492151,0.0132585,0
0.493724,0.0129112,0
0.495296,0.0125594,0
0.496869,0.0122032,0
0.498441,0.011843,0
0.500013,0.0114791,0
0.501586,0.0111109,0
0.503158,0.010738,0
0.50473,0.0103606,0
0.506303,0.00997918,0
0.507875,0.00959391,0
0.509447,0.00920512,0
0.51102,0.00881278,0
0.512592,0.00841607,0
0.514165,0.00801521,0
0.515737,0.00761053,0
0.517309,0.00720235,0
0.518882,0.00679099,0
0.520454,0.00637671,0
0.522026,0.00595871,0
0.523599,0.00553693,0
0.525171,0.00511172,0
0.526744,0.00468343,0
0.528316,0.00425241,0
0.529888,0.00381901,0
0.531461,0.00338287,0
0.533033,0.00294341,0
0.534605,0.00250101,0
0.536178,0.00205606,0
0.53775,0.00160894,0
0.539322,0.00116003,0
0.540895,0.000709437,0
0.542467,0.00025624,0
0.54404,-0.000199303,0
0.545612,-0.000656769,0
0.547184,-0.00111574,0
0.548757,-0.00157579,0
0.550329,-0.00203654,0
0.551901,-0.00249883,0
0.553474,-0.00296278,0
0.555046,-0.00342793,0
0.556619,-0.00389382,0
0.558191,-0.00435998,0
0.559763,-0.00482595,0
0.561336,-0.005292,0
0.562908,-0.00575894,0
0.56448,-0.00622629,0
0.566053,-0.00669351,0
0.567625,-0.0071601,0
0.569197,-0.00762555,0
0.57077,-0.00808961,0
0.572342,-0.00855349,0
0.573915,-0.0090169,0
0.575487,-0.00947927,0
0.577059,-0.00994004,0
0.578632,-0.0103986,0
0.580204,-0.0108545,0
0.581776,-0.0113086,0
0.583349,-0.0117614,0
0.584921,-0.0122122,0
0.586494,-0.0126604,0
0.588066,-0.0131052,0
0.589638,-0.0135462,0
0.591211,-0.0139835,0
0.592783,-0.0144185,0
0.594355,-0.0148505,0
0.595928,-0.0152789,0
0.5975,-0.0157028,0
0.599072,-0.0161216,0
0.600645,-0.0165349,0
0.602217,-0.0169445,0
0.60379,-0.0173502,0
0.605362,-0.0177513,0
0.606934,-0.0181469,0
0.608507,-0.0185361,0
0.610079,-0.018918,0
0.611651,-0.0192943,0
0.613224,-0.0196661,0
0.614796,-0.0200323,0
0.616369,-0.0203919,0
0.617941,-0.0207439,0
0.619513,-0.0210873,0
0.621086,-0.0214224,0
0.622658,-0.0217523,0
0.62423,-0.0220759,0
0.625803,-0.0223921,0
0.627375,-0.0226995,0
0.628947,-0.022997,0
0.63052,-0.0232838,0
0.632092,-0.0235639,0
0.633665,-0.0238375,0
0.635237,-0.024103,0
0.636809,-0.0243588,0
0.638382,-0.0246035,0
0.639954,-0.0248353,0
0.641526,-0.0250577,0
0.643099,-0.0252741,0
0.644671,-0.0254825,0
0.646244,-0.0256806,0
0.647816,-0.0258661,0
0.649388,-0.0260369,0
0.650961,-0.026194,0
0.652533,-0.0263468,0
0.654105,-0.026493,0
0.655678,-0.0266289,0
0.65725,-0.0267506,0
0.658822,-0.0268544,0
0.660395,-0.0269376,0
0.661967,-0.0270149,0
0.66354,-0.0270894,0
0.665112,-0.0271564,0
0.666684,-0.0272109,0
0.668257,-0.0272484,0
0.669829,-0.0272639,0
0.671401,-0.02726,0
0.672974,-0.0272468,0
0.674546,-0.0272255,0
0.676119,-0.0271977,0
0.677691,-0.0271646,0
0.679263,-0.0271276,0
0.680836,-0.0270839,0
0.682408,-0.0270142,0
0.68398,-0.0269205,0
0.685553,-0.0268082,0
0.687125,-0.0266829,0
0.688697,-0.0265498,0
0.69027,-0.026414,0
0.691842,-0.0262645,0
0.693415,-0.0260957,0
0.694987,-0.0259106,0
0.696559,-0.0257119,0
0.698132,-0.0255026,0
0.699704,-0.0252855,0
0.701276,-0.0250585,0
0.702849,-0.0248142,0
0.704421,-0.0245542,0
0.705994,-0.0242807,0
0.707566,-0.0239957,0
0.709138,-0.0237012,0
0.710711,-0.0233982,0
0.712283,-0.0230803,0
0.713855,-0.0227476,0
0.715428,-0.0224017,0
0.717,-0.0220443,0
0.718572,-0.021677,0
0.720145,-0.0213013,0
0.721717,-0.0209139,0
0.72329,-0.0205127,0
0.724862,-0.020099,0
0.726434,-0.0196743,0
0.728007,-0.01924,0
0.729579,-0.0187974,0
0.731151,-0.0183461,0
0.732724,-0.0178825,0
0.734296,-0.0174074,0
0.735869,-0.0169223,0
0.737441,-0.0164283,0
0.739013,-0.0159267,0
0.740586,-0.0154184,0
0.742158,-0.0149001,0
0.74373,-0.0143718,0
0.745303,-0.0138346,0
0.746875,-0.0132898,0
0.748447,-0.0127385,0
0.75002,-0.0121819,0
0.751592,-0.0116183,0
0.753165,-0.0110463,0
0.754737,-0.010467,0
0.756309,-0.00988155,0
0.757882,-0.009291,0
0.759454,-0.0086965,0
0.761026,-0.00809812,0
0.762599,-0.00749337,0
0.764171,-0.00688303,0
0.765744,-0.0062682,0
0.767316,-0.00564998,0
0.768888,-0.00502945,0
0.770461,-0.00440751,0
0.772033,-0.00378193,0
0.773605,-0.00315261,0
0.775178,-0.00252065,0
0.77675,-0.00188713,0
0.778323,-0.00125312,0
0.779895,-0.000619716,0
0.781467,1.40082e-05,0
0.78304,0.000649557,0
0.784612,0.00128585,0
0.786184,0.0019218,0
0.787757,0.00255631,0
0.789329,0.0031883,0
0.790901,0.00381745,0
0.792474,0.00444616,0
0.794046,0.00507374,0
0.795619,0.00569907,0
0.797191,0.00632105,0
0.798763,0.00693855,0
0.800336,0.00755058,0
0.801908,0.00815934,0
0.80348,0.00876522,0
0.805053,0.00936705,0
0.806625,0.00996369,0
0.808198,0.010554,0
0.80977,0.0111367,0
0.811342,0.0117128,0
0.812915,0.0122844,0
0.814487,0.0128504,0
0.816059,0.0134095,0
0.817632,0.0139605,0
0.819204,0.0145022,0
0.820776,0.0150341,0
0.822349,0.0155596,0
0.823921,0.0160781,0
0.825494,0.0165884,0
0.827066,0.0170891,0
0.828638,0.0175789,0
0.830211,0.0180564,0
0.831783,0.0185249,0
0.833355,0.0189856,0
0.834928,0.0194371,0
0.8365,0.0198777,0
0.838073,0.0203061,0
0.839645,0.0207207,0
0.841217,0.0211227,0
0.84279,0.0215164,0
0.844362,0.0219004,0
0.845934,0.0222728,0
0.847507,0.0226319,0
0.849079,0.0229761,0
0.850651,0.0233044,0
0.852224,0.0236235,0
0.853796,0.023933,0
0.855369,0.0242309,0
0.856941,0.0245149,0
0.858513,0.0247829,0
0.860086,0.0250326,0
0.861658,0.0252705,0
0.86323,0.0255005,0
0.864803,0.0257197,0
0.866375,0.0259249,0
0.867948,0.0261132,0
0.86952,0.0262814,0
0.871092,0.0264326,0
0.872665,0.0265807,0
0.874237,0.0267212,0
0.875809,0.0268483,0
0.877382,0.0269563,0
0.878954,0.0270395,0
0.880526,0.027094,0
0.882099,0.027139,0
