# 20240927_192133
alpha,tauRe,tauIm
0,39.03,0
0.00314989,39.0322,0
0.00629978,39.0338,0
0.00944968,39.0349,0
0.0125996,39.0356,0
0.0157495,39.0359,0
0.0188994,39.036,0
0.0220492,39.0358,0
0.0251991,39.0354,0
0.028349,39.0348,0
0.0314989,39.0342,0
0.0346488,39.0334,0
0.0377987,39.0325,0
0.0409486,39.0316,0
0.0440985,39.0306,0
0.0472484,39.0296,0
0.0503983,39.0285,0
0.0535482,39.0273,0
0.0566981,39.0262,0
0.059848,39.0249,0
0.0629978,39.0237,0
0.0661477,39.0224,0
0.0692976,39.021,0
0.0724475,39.0196,0
0.0755974,39.0181,0
0.0787473,39.0166,0
0.0818972,39.015,0
0.0850471,39.0133,0
0.088197,39.0116,0
0.0913469,39.0098,0
0.0944968,39.0079,0
0.0976467,39.0059,0
0.100797,39.0039,0
0.103946,39.0017,0
0.107096,38.9995,0
0.110246,38.9972,0
0.113396,38.9947,0
0.116546,38.9922,0
0.119696,38.9896,0
0.122846,38.9869,0
0.125996,38.984,0
0.129146,38.9811,0
0.132295,38.978,0
0.135445,38.9749,0
0.138595,38.9716,0
0.141745,38.9682,0
0.144895,38.9647,0
0.148045,38.9611,0
0.151195,38.9574,0
0.154345,38.9535,0
0.157495,38.9495,0
0.160645,38.9454,0
0.163794,38.9411,0
0.166944,38.9367,0
0.170094,38.9322,0
0.173244,38.9275,0
0.176394,38.9227,0
0.179544,38.9178,0
0.182694,38.9127,0
0.185844,38.9074,0
0.188994,38.9019,0
0.192143,38.8964,0
0.195293,38.8906,0
0.198443,38.8846,0
0.201593,38.8785,0
0.204743,38.8722,0
0.207893,38.8657,0
0.211043,38.859,0
0.214193,38.8521,0
0.217343,38.845,0
0.220492,38.8377,0
0.223642,38.8302,0
0.226792,38.8224,0
0.229942,38.8144,0
0.233092,38.8062,0
0.236242,38.7977,0
0.239392,38.789,0
0.242542,38.78,0
0.245692,38.7708,0
0.248842,38.7612,0
0.251991,38.7514,0
0.255141,38.7414,0
0.258291,38.731,0
0.261441,38.7203,0
0.264591,38.7093,0
0.267741,38.698,0
0.270891,38.6864,0
0.274041,38.6744,0
0.277191,38.6622,0
0.28034,38.6495,0
0.28349,38.6365,0
0.28664,38.6232,0
0.28979,38.6095,0
0.29294,38.5954,0
0.29609,38.5809,0
0.29924,38.566,0
0.30239,38.5507,0
0.30554,38.535,0
0.308689,38.5189,0
0.311839,38.5024,0
0.314989,38.4854,0
0.318139,38.468,0
0.321289,38.4502,0
0.324439,38.4318,0
0.327589,38.4131,0
0.330739,38.3938,0
0.333889,38.3741,0
0.337038,38.3538,0
0.340188,38.3331,0
0.343338,38.3118,0
0.346488,38.29,0
0.349638,38.2677,0
0.352788,38.2449,0
0.355938,38.2215,0
0.359088,38.1976,0
0.362238,38.1731,0
0.365388,38.148,0
0.368537,38.1224,0
0.371687,38.0961,0
0.374837,38.0693,0
0.377987,38.0419,0
0.381137,38.0138,0
0.384287,37.9851,0
0.387437,37.9558,0
0.390587,37.9259,0
0.393737,37.8953,0
0.396886,37.8641,0
0.400036,37.8322,0
0.403186,37.7996,0
0.406336,37.7664,0
0.409486,37.7324,0
0.412636,37.6978,0
0.415786,37.6625,0
0.418936,37.6264,0
0.422086,37.5897,0
0.425235,37.5522,0
0.428385,37.514,0
0.431535,37.4751,0
0.434685,37.4354,0
0.437835,37.395,0
0.440985,37.3538,0
0.444135,37.3119,0
0.447285,37.2692,0
0.450435,37.2257,0
0.453585,37.1815,0
0.456734,37.1365,0
0.459884,37.0906,0
0.463034,37.044,0
0.466184,36.9966,0
0.469334,36.9484,0
0.472484,36.8994,0
0.475634,36.8496,0
0.478784,36.7989,0
0.481934,36.7474,0
0.485083,36.6952,0
0.488233,36.642,0
0.491383,36.5881,0
0.494533,36.5333,0
0.497683,36.4777,0
0.500833,36.4212,0
0.503983,36.3639,0
0.507133,36.3058,0
0.510283,36.2468,0
0.513432,36.1869,0
0.516582,36.1262,0
0.519732,36.0647,0
0.522882,36.0023,0
0.526032,35.939,0
0.529182,35.8749,0
0.532332,35.8099,0
0.535482,35.744,0
0.538632,35.6773,0
0.541781,35.6097,0
0.544931,35.5413,0
0.548081,35.4719,0
0.551231,35.4017,0
0.554381,35.3307,0
0.557531,35.2587,0
0.560681,35.1859,0
0.563831,35.1123,0
0.566981,35.0377,0
0.570131,34.9623,0
0.57328,34.886,0
0.57643,34.8088,0
0.57958,34.7308,0
0.58273,34.6519,0
0.58588,34.5721,0
0.58903,34.4915,0
0.59218,34.4099,0
0.59533,34.3276,0
0.59848,34.2443,0
0.601629,34.1602,0
0.604779,34.0752,0
0.607929,33.9893,0
0.611079,33.9026,0
0.614229,33.815,0
0.617379,33.7266,0
0.620529,33.6372,0
0.623679,33.5471,0
0.626829,33.4561,0
0.629978,33.3642,0
0.633128,33.2714,0
0.636278,33.1779,0
0.639428,33.0834,0
0.642578,32.9882,0
0.645728,32.892,0
0.648878,32.7951,0
0.652028,32.6973,0
0.655178,32.5987,0
0.658328,32.4992,0
0.661477,32.3989,0
0.664627,32.2978,0
0.667777,32.1959,0
0.670927,32.0932,0
0.674077,31.9896,0
0.677227,31.8853,0
0.680377,31.7801,0
0.683527,31.6742,0
0.686677,31.5675,0
0.689826,31.4599,0
0.692976,31.3516,0
0.696126,31.2426,0
0.699276,31.1327,0
0.702426,31.0221,0
0.705576,30.9108,0
0.708726,30.7987,0
0.711876,30.6858,0
0.715026,30.5722,0
0.718175,30.4579,0
0.721325,30.3429,0
0.724475,30.2272,0
0.727625,30.1107,0
0.730775,29.9935,0
0.733925,29.8757,0
0.737075,29.7572,0
0.740225,29.638,0
0.743375,29.5181,0
0.746525,29.3976,0
0.749674,29.2764,0
0.752824,29.1546,0
0.755974,29.0322,0
0.759124,28.9091,0
0.762274,28.7855,0
0.765424,28.6612,0
0.768574,28.5363,0
0.771724,28.4109,0
0.774874,28.2848,0
0.778023,28.1583,0
0.781173,28.0311,0
0.784323,27.9034,0
0.787473,27.7752,0
0.790623,27.6465,0
0.793773,27.5173,0
0.796923,27.3875,0
0.800073,27.2573,0
0.803223,27.1266,0
0.806372,26.9954,0
0.809522,26.8638,0
0.812672,26.7317,0
0.815822,26.5992,0
0.818972,26.4663,0
0.822122,26.333,0
0.825272,26.1992,0
0.828422,26.0651,0
0.831572,25.9306,0
0.834722,25.7958,0
0.837871,25.6606,0
0.841021,25.5251,0
0.844171,25.3892,0
0.847321,25.2531,0
0.850471,25.1166,0
0.853621,24.9799,0
0.856771,24.8429,0
0.859921,24.7056,0
0.863071,24.5681,0
0.86622,24.4303,0
0.86937,24.2924,0
0.87252,24.1542,0
0.87567,24.0159,0
0.87882,23.8773,0
0.88197,23.7387,0
0.88512,23.5998,0
0.88827,23.4609,0
0.89142,23.3218,0
0.894569,23.1826,0
0.897719,23.0433,0
0.900869,22.9039,0
0.904019,22.7645,0
0.907169,22.625,0
0.910319,22.4855,0
0.913469,22.346,0
0.916619,22.2065,0
0.919769,22.067,0
0.922918,21.9275,0
0.926068,21.7881,0
0.929218,21.6487,0
0.932368,21.5094,0
0.935518,21.3701,0
0.938668,21.231,0
0.941818,21.092,0
0.944968,20.9531,0
0.948118,20.8144,0
0.951268,20.6758,0
0.954417,20.5374,0
0.957567,20.3992,0
0.960717,20.2611,0
0.963867,20.1233,0
