# 20240927_193022
alpha,DtauRe,DtauIm
0,0,0
0.00157237,-0.0254868,0
0.00314474,-0.0504556,0
0.00471711,-0.0741536,0
0.00628947,-0.0969108,0
0.00786184,-0.118778,0
0.00943421,-0.139816,0
0.0110066,-0.160076,0
0.0125789,-0.179617,0
0.0141513,-0.198487,0
0.0157237,-0.216743,0
0.0172961,-0.234434,0
0.0188684,-0.251611,0
0.0204408,-0.268321,0
0.0220132,-0.284612,0
0.0235855,-0.300529,0
0.0251579,-0.316115,0
0.0267303,-0.331413,0
0.0283026,-0.346462,0
0.029875,-0.361303,0
0.0314474,-0.375968,0
0.0330197,-0.390498,0
0.0345921,-0.404919,0
0.0361645,-0.41927,0
0.0377368,-0.433574,0
0.0393092,-0.447865,0
0.0408816,-0.462163,0
0.042454,-0.476499,0
0.0440263,-0.490889,0
0.0455987,-0.505362,0
0.0471711,-0.519931,0
0.0487434,-0.53462,0
0.0503158,-0.549441,0
0.0518882,-0.564415,0
0.0534605,-0.579551,0
0.0550329,-0.594866,0
0.0566053,-0.610368,0
0.0581776,-0.626073,0
0.05975,-0.641985,0
0.0613224,-0.658116,0
0.0628947,-0.674472,0
0.0644671,-0.69106,0
0.0660395,-0.707886,0
0.0676119,-0.724955,0
0.0691842,-0.742271,0
0.0707566,-0.759838,0
0.072329,-0.777659,0
0.0739013,-0.795735,0
0.0754737,-0.814069,0
0.0770461,-0.832661,0
0.0786184,-0.851515,0
0.0801908,-0.870628,0
0.0817632,-0.890003,0
0.0833355,-0.909638,0
0.0849079,-0.929534,0
0.0864803,-0.949689,0
0.0880526,-0.970105,0
0.089625,-0.990779,0
0.0911974,-1.01171,0
0.0927698,-1.0329,0
0.0943421,-1.05435,0
0.0959145,-1.07605,0
0.0974869,-1.09801,0
0.0990592,-1.12022,0
0.100632,-1.14268,0
0.102204,-1.1654,0
0.103776,-1.18837,0
0.105349,-1.2116,0
0.106921,-1.23508,0
0.108493,-1.25881,0
0.110066,-1.28279,0
0.111638,-1.30704,0
0.113211,-1.33154,0
0.114783,-1.35629,0
0.116355,-1.38131,0
0.117928,-1.40659,0
0.1195,-1.43213,0
0.121072,-1.45794,0
0.122645,-1.48402,0
0.124217,-1.51037,0
0.125789,-1.537,0
0.127362,-1.56391,0
0.128934,-1.59111,0
0.130507,-1.61859,0
0.132079,-1.64637,0
0.133651,-1.67445,0
0.135224,-1.70283,0
0.136796,-1.73153,0
0.138368,-1.76054,0
0.139941,-1.78987,0
0.141513,-1.81953,0
0.143086,-1.84953,0
0.144658,-1.87988,0
0.14623,-1.91057,0
0.147803,-1.94163,0
0.149375,-1.97305,0
0.150947,-2.00485,0
