# 20240927_193022
# initdata:	data/init_real_pi_constfield_20240822_161734/init5.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,4.92954e+08,0
0.0100503,3.65681e+08,0
0.0201005,1.49288e+08,0
0.0301508,6.38987e+07,0
0.040201,3.70431e+07,0
0.0502513,2.39147e+07,0
0.0603015,1.73425e+07,0
0.0703518,1.28622e+07,0
0.080402,9.23081e+06,0
0.0904523,6.53286e+06,0
0.100503,4.57105e+06,0
0.110553,3.30139e+06,0
0.120603,2.66357e+06,0
0.130653,2.21412e+06,0
0.140704,1.66468e+06,0
0.150754,1.2843e+06,0
0.160804,1.12172e+06,0
0.170854,872888,0
0.180905,651539,0
0.190955,590369,0
0.201005,467006,0
0.211055,349429,0
0.221106,332609,0
0.231156,251451,0
0.241206,192454,0
0.251256,192174,0
0.261307,131818,0
0.271357,108421,0
0.281407,103651,0
0.291457,63400.4,0
0.301508,64302.9,0
0.311558,50400.8,0
0.321608,32495,0
0.331658,41668.3,0
0.341709,25665.8,0
0.351759,28009.1,0
0.361809,30323.2,0
0.371859,20589.1,0
0.38191,31559.6,0
0.39196,22842.2,0
0.40201,21791.7,0
0.41206,26799.3,0
0.422111,14847.4,0
0.432161,18855.9,0
0.442211,13616.1,0
0.452261,7892.64,0
0.462312,10834.4,0
0.472362,3701.5,0
0.482412,5720.79,0
0.492462,4206.31,0
0.502513,3480.8,0
0.512563,6804.52,0
0.522613,3264.47,0
0.532663,7695.53,0
0.542714,6272.22,0
0.552764,4746.93,0
0.562814,7597.98,0
0.572864,2992.84,0
0.582915,4295.95,0
0.592965,3124.72,0
0.603015,924.753,0
0.613065,2148.41,0
0.623116,303.963,0
0.633166,1915.48,0
0.643216,1072.82,0
0.653266,1776.14,0
0.663317,3194.89,0
0.673367,1312.79,0
0.683417,3433.09,0
0.693467,2071.05,0
0.703518,1362.9,0
0.713568,2261.52,0
0.723618,319.06,0
0.733668,887.359,0
0.743719,270.017,0
0.753769,446.465,0
0.763819,635.975,0
0.773869,354.611,0
0.78392,1673.62,0
0.79397,624.512,0
0.80402,1441.52,0
0.81407,1556.7,0
0.824121,426.039,0
0.834171,1310.4,0
0.844221,368.256,0
0.854271,259.765,0
0.864322,281.631,0
0.874372,92.3079,0
0.884422,402.609,0
0.894472,60.8045,0
0.904523,909.308,0
0.914573,480.402,0
0.924623,580.403,0
0.934673,1125.7,0
0.944724,204.21,0
0.954774,652.363,0
0.964824,394.472,0
0.974874,37.9316,0
0.984925,196.591,0
0.994975,41.5517,0
1.00503,272.181,0
1.01508,15.7095,0
1.02513,515.173,0
1.03518,432.989,0
1.04523,219.586,0
1.05528,774.267,0
1.06533,191.835,0
1.07538,272.732,0
1.08543,342.567,0
1.09548,0.682006,0
1.10553,104.091,0
1.11558,43.7871,0
1.12563,210.701,0
1.13568,23.9892,0
1.14573,294.977,0
1.15578,393.812,0
1.16583,80.7509,0
1.17588,501.487,0
1.18593,217.105,0
1.19598,84.7108,0
1.20603,252.011,0
1.21608,25.4481,0
1.22613,46.8784,0
1.23618,38.4648,0
1.24623,182.118,0
1.25628,46.9354,0
1.26633,161.737,0
1.27638,349.901,0
1.28643,43.1975,0
1.29648,298.206,0
1.30653,227.438,0
1.31658,12.7982,0
1.32663,159.043,0
1.33668,55.8269,0
1.34673,27.5246,0
1.35678,23.4,0
1.36683,159.802,0
1.37688,74.1442,0
1.38693,78.0771,0
1.39698,297.015,0
1.40704,52.1605,0
1.41709,153.039,0
1.42714,212.048,0
1.43719,3.75784,0
1.44724,82.6722,0
1.45729,71.7689,0
1.46734,34.4021,0
1.47739,8.1002,0
1.48744,131.263,0
1.49749,100.067,0
1.50754,29.7955,0
1.51759,233.599,0
1.52764,77.2516,0
1.53769,61.7142,0
1.54774,173.332,0
1.55779,21.7685,0
1.56784,32.7967,0
1.57789,69.0322,0
1.58794,52.6498,0
1.59799,1.42178,0
1.60804,97.9962,0
1.61809,118.584,0
1.62814,8.63864,0
1.63819,169.401,0
1.64824,101.291,0
1.65829,15.0793,0
1.66834,127.395,0
1.67839,45.0121,0
1.68844,8.07515,0
1.69849,53.8698,0
1.70854,69.6385,0
1.71859,6.04874,0
1.72864,63.2056,0
1.73869,125.938,0
1.74874,7.87762,0
1.75879,108.341,0
1.76884,113.977,0
1.77889,1.24772,0
1.78894,79.6537,0
1.79899,61.5754,0
1.80905,3.50036,0
1.8191,32.632,0
1.82915,76.8228,0
1.8392,19.3736,0
1.84925,32.4676,0
1.8593,120.827,0
1.86935,20.5099,0
1.8794,57.7594,0
1.88945,112.486,0
1.8995,8.09706,0
1.90955,41.5517,0
1.9196,66.3306,0
1.92965,12.7487,0
1.9397,13.8895,0
1.94975,73.0184,0
1.9598,36.7622,0
1.96985,11.2289,0
1.9799,105.247,0
1.98995,39.5258,0
2,22.4015,0
