# 20240927_194640
alpha,DrRe,DrIm
0,88.0628,0
0.00314989,88.1408,0
0.00629978,88.1989,0
0.00944968,88.2417,0
0.0125996,88.2729,0
0.0157495,88.2957,0
0.0188994,88.3127,0
0.0220492,88.3258,0
0.0251991,88.3366,0
0.028349,88.3465,0
0.0314989,88.3564,0
0.0346488,88.3671,0
0.0377987,88.3791,0
0.0409486,88.3927,0
0.0440985,88.4082,0
0.0472484,88.4256,0
0.0503983,88.4451,0
0.0535482,88.4666,0
0.0566981,88.49,0
0.059848,88.5153,0
0.0629978,88.5423,0
0.0661477,88.5709,0
0.0692976,88.601,0
0.0724475,88.6324,0
0.0755974,88.665,0
0.0787473,88.6987,0
0.0818972,88.7335,0
0.0850471,88.7692,0
0.088197,88.8058,0
0.0913469,88.8433,0
0.0944968,88.8815,0
0.0976467,88.9205,0
0.100797,88.9602,0
0.103946,89.0007,0
0.107096,89.0419,0
0.110246,89.0839,0
0.113396,89.1267,0
0.116546,89.1703,0
0.119696,89.2147,0
0.122846,89.26,0
0.125996,89.3062,0
0.129146,89.3532,0
0.132295,89.4012,0
0.135445,89.4501,0
0.138595,89.4999,0
0.141745,89.5506,0
0.144895,89.6024,0
0.148045,89.655,0
0.151195,89.7086,0
0.154345,89.763,0
0.157495,89.8183,0
0.160645,89.8745,0
0.163794,89.9314,0
0.166944,89.9891,0
0.170094,90.0474,0
0.173244,90.1064,0
0.176394,90.1659,0
0.179544,90.226,0
0.182694,90.2864,0
0.185844,90.3471,0
0.188994,90.4081,0
0.192143,90.4692,0
0.195293,90.5304,0
0.198443,90.5916,0
0.201593,90.6526,0
0.204743,90.7134,0
0.207893,90.774,0
0.211043,90.8341,0
0.214193,90.8937,0
0.217343,90.9528,0
0.220492,91.0111,0
0.223642,91.0687,0
0.226792,91.1254,0
0.229942,91.1812,0
0.233092,91.2359,0
0.236242,91.2895,0
0.239392,91.342,0
0.242542,91.3931,0
0.245692,91.4428,0
0.248842,91.4911,0
0.251991,91.5379,0
0.255141,91.5831,0
0.258291,91.6266,0
0.261441,91.6684,0
0.264591,91.7083,0
0.267741,91.7464,0
0.270891,91.7825,0
0.274041,91.8166,0
0.277191,91.8485,0
0.28034,91.8783,0
0.28349,91.9059,0
0.28664,91.9311,0
0.28979,91.9539,0
0.29294,91.9743,0
0.29609,91.9921,0
0.29924,92.0073,0
0.30239,92.0199,0
0.30554,92.0296,0
0.308689,92.0365,0
0.311839,92.0405,0
0.314989,92.0415,0
0.318139,92.0393,0
0.321289,92.034,0
0.324439,92.0253,0
0.327589,92.0134,0
0.330739,91.9979,0
0.333889,91.9789,0
0.337038,91.9562,0
0.340188,91.9298,0
0.343338,91.8996,0
0.346488,91.8653,0
0.349638,91.8271,0
0.352788,91.7847,0
0.355938,91.7381,0
0.359088,91.6871,0
0.362238,91.6317,0
0.365388,91.5717,0
0.368537,91.5071,0
0.371687,91.4378,0
0.374837,91.3637,0
0.377987,91.2846,0
0.381137,91.2005,0
0.384287,91.1113,0
0.387437,91.0169,0
0.390587,90.9172,0
0.393737,90.8121,0
0.396886,90.7017,0
0.400036,90.5856,0
0.403186,90.464,0
0.406336,90.3367,0
0.409486,90.2037,0
0.412636,90.0649,0
0.415786,89.9202,0
0.418936,89.7696,0
0.422086,89.613,0
0.425235,89.4505,0
0.428385,89.2818,0
0.431535,89.107,0
0.434685,88.9261,0
0.437835,88.739,0
0.440985,88.5457,0
0.444135,88.3461,0
0.447285,88.1403,0
0.450435,87.9281,0
0.453585,87.7096,0
0.456734,87.4848,0
0.459884,87.2537,0
0.463034,87.0162,0
0.466184,86.7723,0
0.469334,86.522,0
0.472484,86.2653,0
0.475634,86.0022,0
0.478784,85.7327,0
0.481934,85.4567,0
0.485083,85.1744,0
0.488233,84.8856,0
0.491383,84.5903,0
0.494533,84.2886,0
0.497683,83.9805,0
0.500833,83.6659,0
0.503983,83.3448,0
0.507133,83.0172,0
0.510283,82.6832,0
0.513432,82.3427,0
0.516582,81.9956,0
0.519732,81.642,0
0.522882,81.2819,0
0.526032,80.9152,0
0.529182,80.542,0
0.532332,80.1622,0
0.535482,79.7757,0
0.538632,79.3826,0
0.541781,78.9829,0
0.544931,78.5765,0
0.548081,78.1634,0
0.551231,77.7435,0
0.554381,77.3169,0
0.557531,76.8836,0
0.560681,76.4434,0
0.563831,75.9964,0
0.566981,75.5426,0
0.570131,75.0818,0
0.57328,74.6142,0
0.57643,74.1397,0
0.57958,73.6583,0
0.58273,73.1699,0
0.58588,72.6745,0
0.58903,72.1722,0
0.59218,71.6628,0
0.59533,71.1465,0
0.59848,70.6232,0
0.601629,70.0929,0
0.604779,69.5557,0
0.607929,69.0114,0
0.611079,68.4602,0
0.614229,67.9021,0
0.617379,67.337,0
0.620529,66.765,0
0.623679,66.1862,0
0.626829,65.6006,0
0.629978,65.0082,0
0.633128,64.4091,0
0.636278,63.8034,0
0.639428,63.191,0
0.642578,62.5721,0
0.645728,61.9468,0
0.648878,61.315,0
0.652028,60.677,0
0.655178,60.0328,0
0.658328,59.3824,0
0.661477,58.726,0
0.664627,58.0637,0
0.667777,57.3956,0
0.670927,56.7218,0
0.674077,56.0424,0
0.677227,55.3575,0
0.680377,54.6673,0
0.683527,53.9718,0
0.686677,53.2713,0
0.689826,52.5657,0
0.692976,51.8554,0
0.696126,51.1403,0
0.699276,50.4206,0
0.702426,49.6964,0
0.705576,48.968,0
0.708726,48.2353,0
0.711876,47.4986,0
0.715026,46.758,0
0.718175,46.0136,0
0.721325,45.2655,0
0.724475,44.5139,0
0.727625,43.7589,0
0.730775,43.0006,0
0.733925,42.2391,0
0.737075,41.4746,0
0.740225,40.7072,0
0.743375,39.937,0
0.746525,39.1642,0
0.749674,38.3887,0
0.752824,37.6109,0
0.755974,36.8307,0
0.759124,36.0483,0
0.762274,35.2638,0
0.765424,34.4773,0
0.768574,33.689,0
0.771724,32.8989,0
0.774874,32.1071,0
0.778023,31.3138,0
0.781173,30.5192,0
0.784323,29.7232,0
0.787473,28.926,0
0.790623,28.1279,0
0.793773,27.3288,0
0.796923,26.5289,0
0.800073,25.7284,0
0.803223,24.9274,0
0.806372,24.126,0
0.809522,23.3245,0
0.812672,22.5229,0
0.815822,21.7214,0
0.818972,20.9203,0
0.822122,20.1197,0
0.825272,19.3197,0
0.828422,18.5207,0
0.831572,17.7227,0
0.834722,16.9261,0
0.837871,16.131,0
0.841021,15.3377,0
0.844171,14.5465,0
0.847321,13.7575,0
0.850471,12.971,0
0.853621,12.1874,0
0.856771,11.4068,0
0.859921,10.6296,0
0.863071,9.85612,0
0.86622,9.08657,0
0.86937,8.32128,0
0.87252,7.56058,0
0.87567,6.80477,0
0.87882,6.05418,0
0.88197,5.30912,0
0.88512,4.56991,0
0.88827,3.83688,0
0.89142,3.11035,0
0.894569,2.39065,0
0.897719,1.67808,0
0.900869,0.972982,0
0.904019,0.275651,0
0.907169,-0.413603,0
0.910319,-1.09448,0
0.913469,-1.76669,0
0.916619,-2.42995,0
0.919769,-3.08399,0
0.922918,-3.72854,0
0.926068,-4.36336,0
0.929218,-4.9882,0
0.932368,-5.60286,0
0.935518,-6.20711,0
0.938668,-6.80076,0
0.941818,-7.38364,0
0.944968,-7.95559,0
0.948118,-8.51645,0
0.951268,-9.06611,0
0.954417,-9.60445,0
0.957567,-10.1314,0
0.960717,-10.6468,0
0.963867,-11.1507,0
0.967017,-11.643,0
0.970167,-12.1237,0
0.973317,-12.5927,0
0.976467,-13.0501,0
0.979617,-13.496,0
0.982766,-13.9302,0
0.985916,-14.3529,0
0.989066,-14.7642,0
0.992216,-15.1641,0
0.995366,-15.5527,0
0.998516,-15.93,0
1.00167,-16.2963,0
1.00482,-16.6515,0
1.00797,-16.9958,0
1.01112,-17.3294,0
1.01427,-17.6523,0
