# 20240927_195706
alpha,tauRe,tauIm
0,104.08,0
0.00157237,104.083,0
0.00314474,104.086,0
0.00471711,104.088,0
0.00628947,104.09,0
0.00786184,104.092,0
0.00943421,104.093,0
0.0110066,104.094,0
0.0125789,104.095,0
0.0141513,104.096,0
0.0157237,104.096,0
0.0172961,104.096,0
0.0188684,104.096,0
0.0204408,104.096,0
0.0220132,104.095,0
0.0235855,104.095,0
0.0251579,104.094,0
0.0267303,104.094,0
0.0283026,104.093,0
0.029875,104.092,0
0.0314474,104.091,0
0.0330197,104.09,0
0.0345921,104.089,0
0.0361645,104.088,0
0.0377368,104.087,0
0.0393092,104.086,0
0.0408816,104.084,0
0.042454,104.083,0
0.0440263,104.082,0
0.0455987,104.08,0
0.0471711,104.079,0
0.0487434,104.077,0
0.0503158,104.076,0
0.0518882,104.075,0
0.0534605,104.073,0
0.0550329,104.071,0
0.0566053,104.07,0
0.0581776,104.068,0
0.05975,104.067,0
0.0613224,104.065,0
0.0628947,104.063,0
0.0644671,104.062,0
0.0660395,104.06,0
0.0676119,104.058,0
0.0691842,104.056,0
0.0707566,104.054,0
0.072329,104.052,0
0.0739013,104.05,0
0.0754737,104.048,0
0.0770461,104.046,0
0.0786184,104.044,0
0.0801908,104.042,0
0.0817632,104.04,0
0.0833355,104.038,0
0.0849079,104.036,0
0.0864803,104.033,0
0.0880526,104.031,0
0.089625,104.029,0
0.0911974,104.026,0
0.0927698,104.024,0
0.0943421,104.021,0
0.0959145,104.019,0
0.0974869,104.016,0
0.0990592,104.013,0
0.100632,104.011,0
0.102204,104.008,0
0.103776,104.005,0
0.105349,104.002,0
0.106921,103.999,0
0.108493,103.996,0
0.110066,103.993,0
0.111638,103.99,0
0.113211,103.986,0
0.114783,103.983,0
0.116355,103.98,0
0.117928,103.976,0
0.1195,103.973,0
0.121072,103.969,0
0.122645,103.965,0
0.124217,103.962,0
0.125789,103.958,0
0.127362,103.954,0
0.128934,103.95,0
0.130507,103.946,0
0.132079,103.942,0
0.133651,103.938,0
0.135224,103.934,0
0.136796,103.929,0
0.138368,103.925,0
0.139941,103.92,0
0.141513,103.916,0
0.143086,103.911,0
0.144658,103.907,0
0.14623,103.902,0
0.147803,103.897,0
0.149375,103.892,0
0.150947,103.887,0
0.15252,103.882,0
0.154092,103.877,0
0.155665,103.872,0
