# 20240927_201024
alpha,rRe,rIm
0,0,0
0.00157237,0.184983,0
0.00314474,0.369596,0
0.00471711,0.553247,0
0.00628947,0.736224,0
0.00786184,0.918602,0
0.00943421,1.10043,0
0.0110066,1.28178,0
0.0125789,1.46269,0
0.0141513,1.64321,0
0.0157237,1.82339,0
0.0172961,2.00327,0
0.0188684,2.18289,0
0.0204408,2.36227,0
0.0220132,2.54145,0
0.0235855,2.72047,0
0.0251579,2.89933,0
0.0267303,3.07808,0
0.0283026,3.25672,0
0.029875,3.43528,0
0.0314474,3.61378,0
0.0330197,3.79223,0
0.0345921,3.97065,0
0.0361645,4.14904,0
0.0377368,4.32742,0
0.0393092,4.5058,0
0.0408816,4.68419,0
0.042454,4.8626,0
0.0440263,5.04102,0
0.0455987,5.21948,0
0.0471711,5.39796,0
0.0487434,5.57649,0
0.0503158,5.75505,0
0.0518882,5.93365,0
0.0534605,6.1123,0
0.0550329,6.29099,0
0.0566053,6.46974,0
0.0581776,6.64853,0
0.05975,6.82737,0
0.0613224,7.00626,0
0.0628947,7.1852,0
0.0644671,7.36419,0
0.0660395,7.54323,0
0.0676119,7.72231,0
0.0691842,7.90145,0
0.0707566,8.08063,0
0.072329,8.25986,0
0.0739013,8.43913,0
0.0754737,8.61845,0
0.0770461,8.79781,0
0.0786184,8.97722,0
0.0801908,9.15666,0
0.0817632,9.33615,0
0.0833355,9.51568,0
0.0849079,9.69524,0
0.0864803,9.87484,0
0.0880526,10.0545,0
0.089625,10.2342,0
0.0911974,10.4139,0
0.0927698,10.5936,0
0.0943421,10.7734,0
0.0959145,10.9532,0
0.0974869,11.1331,0
0.0990592,11.313,0
0.100632,11.4929,0
0.102204,11.6728,0
0.103776,11.8528,0
0.105349,12.0328,0
0.106921,12.2129,0
0.108493,12.393,0
0.110066,12.5731,0
0.111638,12.7533,0
0.113211,12.9335,0
0.114783,13.1137,0
0.116355,13.294,0
0.117928,13.4743,0
0.1195,13.6546,0
0.121072,13.835,0
0.122645,14.0154,0
0.124217,14.1958,0
0.125789,14.3763,0
0.127362,14.5568,0
0.128934,14.7374,0
0.130507,14.918,0
0.132079,15.0987,0
0.133651,15.2794,0
0.135224,15.4601,0
0.136796,15.6409,0
0.138368,15.8218,0
0.139941,16.0027,0
0.141513,16.1836,0
0.143086,16.3646,0
0.144658,16.5456,0
0.14623,16.7267,0
0.147803,16.9078,0
0.149375,17.089,0
0.150947,17.2703,0
0.15252,17.4516,0
0.154092,17.6329,0
0.155665,17.8143,0
0.157237,17.9958,0
0.158809,18.1773,0
0.160382,18.3589,0
0.161954,18.5405,0
0.163526,18.7222,0
0.165099,18.904,0
0.166671,19.0858,0
0.168243,19.2677,0
0.169816,19.4497,0
0.171388,19.6317,0
0.172961,19.8137,0
0.174533,19.9959,0
0.176105,20.1781,0
0.177678,20.3603,0
0.17925,20.5427,0
0.180822,20.7251,0
0.182395,20.9075,0
0.183967,21.09,0
0.18554,21.2726,0
0.187112,21.4553,0
0.188684,21.638,0
0.190257,21.8208,0
0.191829,22.0036,0
0.193401,22.1865,0
0.194974,22.3695,0
0.196546,22.5526,0
0.198118,22.7357,0
0.199691,22.9188,0
0.201263,23.1021,0
0.202836,23.2854,0
0.204408,23.4688,0
0.20598,23.6522,0
0.207553,23.8357,0
0.209125,24.0192,0
0.210697,24.2029,0
0.21227,24.3865,0
0.213842,24.5703,0
0.215415,24.7541,0
