# 20240927_202652
alpha,DtauRe,DtauIm
0,0,0
0.00314989,-0.10107,0
0.00629978,-0.194114,0
0.00944968,-0.280039,0
0.0125996,-0.359737,0
0.0157495,-0.434076,0
0.0188994,-0.503888,0
0.0220492,-0.569963,0
0.0251991,-0.63304,0
0.028349,-0.693807,0
0.0314989,-0.752894,0
0.0346488,-0.810877,0
0.0377987,-0.868274,0
0.0409486,-0.925547,0
0.0440985,-0.983104,0
0.0472484,-1.0413,0
0.0503983,-1.10045,0
0.0535482,-1.1608,0
0.0566981,-1.22258,0
0.059848,-1.28597,0
0.0629978,-1.3511,0
0.0661477,-1.41811,0
0.0692976,-1.48706,0
0.0724475,-1.55802,0
0.0755974,-1.63104,0
0.0787473,-1.70614,0
0.0818972,-1.78333,0
0.0850471,-1.86261,0
0.088197,-1.94398,0
0.0913469,-2.02743,0
0.0944968,-2.11294,0
0.0976467,-2.2005,0
0.100797,-2.29011,0
0.103946,-2.38174,0
0.107096,-2.47542,0
0.110246,-2.57113,0
0.113396,-2.66889,0
0.116546,-2.76873,0
0.119696,-2.87067,0
0.122846,-2.97475,0
0.125996,-3.08103,0
0.129146,-3.18957,0
0.132295,-3.30044,0
0.135445,-3.41372,0
0.138595,-3.5295,0
0.141745,-3.64788,0
0.144895,-3.76897,0
0.148045,-3.89289,0
0.151195,-4.01977,0
0.154345,-4.14974,0
0.157495,-4.28295,0
0.160645,-4.41953,0
0.163794,-4.55965,0
0.166944,-4.70346,0
0.170094,-4.85112,0
0.173244,-5.00279,0
0.176394,-5.15865,0
0.179544,-5.31885,0
0.182694,-5.48358,0
0.185844,-5.653,0
0.188994,-5.82728,0
0.192143,-6.0066,0
0.195293,-6.19111,0
0.198443,-6.38098,0
0.201593,-6.57639,0
0.204743,-6.77749,0
0.207893,-6.98444,0
0.211043,-7.19739,0
0.214193,-7.4165,0
0.217343,-7.64192,0
0.220492,-7.87379,0
0.223642,-8.11224,0
0.226792,-8.35742,0
0.229942,-8.60946,0
0.233092,-8.86847,0
0.236242,-9.13459,0
0.239392,-9.40793,0
0.242542,-9.68861,0
0.245692,-9.97672,0
0.248842,-10.2724,0
0.251991,-10.5757,0
0.255141,-10.8867,0
0.258291,-11.2056,0
0.261441,-11.5324,0
0.264591,-11.8672,0
0.267741,-12.2101,0
0.270891,-12.5611,0
0.274041,-12.9204,0
0.277191,-13.2879,0
0.28034,-13.6638,0
0.28349,-14.0482,0
0.28664,-14.441,0
0.28979,-14.8423,0
0.29294,-15.2523,0
0.29609,-15.6708,0
0.29924,-16.0981,0
0.30239,-16.534,0
0.30554,-16.9787,0
0.308689,-17.4322,0
0.311839,-17.8945,0
0.314989,-18.3657,0
0.318139,-18.8457,0
0.321289,-19.3346,0
0.324439,-19.8324,0
0.327589,-20.3392,0
0.330739,-20.8549,0
0.333889,-21.3795,0
0.337038,-21.9131,0
0.340188,-22.4556,0
0.343338,-23.007,0
0.346488,-23.5673,0
0.349638,-24.1366,0
0.352788,-24.7147,0
0.355938,-25.3017,0
0.359088,-25.8975,0
0.362238,-26.5021,0
0.365388,-27.1154,0
0.368537,-27.7375,0
0.371687,-28.3682,0
0.374837,-29.0074,0
0.377987,-29.6553,0
0.381137,-30.3116,0
0.384287,-30.9762,0
0.387437,-31.6492,0
0.390587,-32.3304,0
0.393737,-33.0198,0
0.396886,-33.7172,0
0.400036,-34.4225,0
0.403186,-35.1357,0
0.406336,-35.8566,0
