# 20240927_202652
alpha,rRe,rIm
0,0,0
0.00314989,0.411333,0
0.00629978,0.819358,0
0.00944968,1.22469,0
0.0125996,1.62784,0
0.0157495,2.02927,0
0.0188994,2.42935,0
0.0220492,2.8284,0
0.0251991,3.22669,0
0.028349,3.62443,0
0.0314989,4.02181,0
0.0346488,4.41898,0
0.0377987,4.81604,0
0.0409486,5.21311,0
0.0440985,5.61024,0
0.0472484,6.00749,0
0.0503983,6.40491,0
0.0535482,6.80251,0
0.0566981,7.20032,0
0.059848,7.59835,0
0.0629978,7.99659,0
0.0661477,8.39506,0
0.0692976,8.79375,0
0.0724475,9.19264,0
0.0755974,9.59174,0
0.0787473,9.99103,0
0.0818972,10.3905,0
0.0850471,10.7902,0
0.088197,11.19,0
0.0913469,11.59,0
0.0944968,11.9901,0
0.0976467,12.3904,0
0.100797,12.7908,0
0.103946,13.1914,0
0.107096,13.5922,0
0.110246,13.9931,0
0.113396,14.3941,0
0.116546,14.7954,0
0.119696,15.1967,0
0.122846,15.5983,0
0.125996,16,0
0.129146,16.4019,0
0.132295,16.804,0
0.135445,17.2062,0
0.138595,17.6087,0
0.141745,18.0114,0
0.144895,18.4144,0
0.148045,18.8175,0
0.151195,19.2209,0
0.154345,19.6245,0
0.157495,20.0284,0
0.160645,20.4325,0
0.163794,20.8369,0
0.166944,21.2416,0
0.170094,21.6465,0
0.173244,22.0518,0
0.176394,22.4573,0
0.179544,22.8631,0
0.182694,23.2691,0
0.185844,23.6755,0
0.188994,24.0822,0
0.192143,24.4891,0
0.195293,24.8964,0
0.198443,25.3039,0
0.201593,25.7117,0
0.204743,26.1198,0
0.207893,26.5282,0
0.211043,26.9369,0
0.214193,27.3458,0
0.217343,27.7551,0
0.220492,28.1646,0
0.223642,28.5743,0
0.226792,28.9844,0
0.229942,29.3946,0
0.233092,29.8052,0
0.236242,30.2159,0
0.239392,30.627,0
0.242542,31.0382,0
0.245692,31.4497,0
0.248842,31.8613,0
0.251991,32.2732,0
0.255141,32.6853,0
0.258291,33.0976,0
0.261441,33.5101,0
0.264591,33.9227,0
0.267741,34.3356,0
0.270891,34.7486,0
0.274041,35.1617,0
0.277191,35.575,0
0.28034,35.9884,0
0.28349,36.402,0
0.28664,36.8156,0
0.28979,37.2294,0
0.29294,37.6433,0
0.29609,38.0573,0
0.29924,38.4713,0
0.30239,38.8854,0
0.30554,39.2996,0
0.308689,39.7138,0
0.311839,40.128,0
0.314989,40.5423,0
0.318139,40.9565,0
0.321289,41.3708,0
0.324439,41.785,0
0.327589,42.1992,0
0.330739,42.6134,0
0.333889,43.0275,0
0.337038,43.4415,0
0.340188,43.8554,0
0.343338,44.2692,0
0.346488,44.6829,0
0.349638,45.0964,0
0.352788,45.5098,0
0.355938,45.9229,0
0.359088,46.3359,0
0.362238,46.7486,0
0.365388,47.1611,0
0.368537,47.5733,0
0.371687,47.9853,0
0.374837,48.3969,0
0.377987,48.8082,0
0.381137,49.2191,0
0.384287,49.6297,0
0.387437,50.0399,0
0.390587,50.4496,0
0.393737,50.8589,0
0.396886,51.2677,0
0.400036,51.676,0
0.403186,52.0837,0
0.406336,52.4909,0
0.409486,52.8976,0
0.412636,53.3036,0
0.415786,53.709,0
0.418936,54.1137,0
0.422086,54.5177,0
0.425235,54.921,0
0.428385,55.3236,0
0.431535,55.7254,0
0.434685,56.1264,0
0.437835,56.5266,0
0.440985,56.9259,0
0.444135,57.3243,0
0.447285,57.7218,0
0.450435,58.1183,0
0.453585,58.5139,0
0.456734,58.9085,0
0.459884,59.302,0
0.463034,59.6945,0
0.466184,60.0859,0
0.469334,60.4761,0
0.472484,60.8652,0
0.475634,61.2532,0
0.478784,61.6399,0
0.481934,62.0254,0
0.485083,62.4096,0
0.488233,62.7926,0
0.491383,63.1742,0
0.494533,63.5545,0
0.497683,63.9334,0
0.500833,64.3109,0
0.503983,64.6869,0
0.507133,65.0615,0
0.510283,65.4346,0
0.513432,65.8061,0
0.516582,66.1761,0
0.519732,66.5446,0
0.522882,66.9114,0
0.526032,67.2766,0
0.529182,67.6401,0
0.532332,68.0019,0
0.535482,68.362,0
0.538632,68.7203,0
0.541781,69.0768,0
0.544931,69.4316,0
0.548081,69.7844,0
0.551231,70.1355,0
0.554381,70.4846,0
0.557531,70.8317,0
0.560681,71.1769,0
0.563831,71.5202,0
0.566981,71.8614,0
0.570131,72.2005,0
0.57328,72.5375,0
0.57643,72.8725,0
0.57958,73.2053,0
0.58273,73.5359,0
0.58588,73.8643,0
0.58903,74.1905,0
0.59218,74.5144,0
0.59533,74.836,0
0.59848,75.1553,0
0.601629,75.4722,0
0.604779,75.7867,0
0.607929,76.0988,0
0.611079,76.4085,0
0.614229,76.7156,0
0.617379,77.0203,0
0.620529,77.3224,0
0.623679,77.6219,0
0.626829,77.9188,0
0.629978,78.2131,0
0.633128,78.5047,0
0.636278,78.7937,0
0.639428,79.0798,0
0.642578,79.3633,0
0.645728,79.6439,0
0.648878,79.9218,0
0.652028,80.1968,0
0.655178,80.4689,0
0.658328,80.7381,0
0.661477,81.0044,0
0.664627,81.2677,0
0.667777,81.5281,0
0.670927,81.7854,0
0.674077,82.0398,0
0.677227,82.291,0
0.680377,82.5392,0
0.683527,82.7842,0
0.686677,83.0262,0
0.689826,83.2649,0
0.692976,83.5005,0
0.696126,83.7329,0
0.699276,83.9621,0
0.702426,84.188,0
0.705576,84.4106,0
0.708726,84.63,0
0.711876,84.8461,0
0.715026,85.0588,0
0.718175,85.2682,0
0.721325,85.4742,0
