# epsilon:0.000160054
# mass:0.14
# sign:1
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.,-0.09036603570016372,-0.15901190224228748,0.15901190224228748
0.01,0.000025422365182134777,-0.09039144742848859,-0.15949838114088058,0.15945352223253237
0.02,0.0000737164123791088,-0.09043972065103364,-0.15972960446288795,0.15959930663896313
0.03,0.00014339833469837252,-0.09050932282135725,-0.1598874053217433,0.1596336808826634
0.04,0.00023381417773810046,-0.09059954898861633,-0.16006318272626094,0.15964902864499392
0.05,0.00034483727590660905,-0.09071021386013525,-0.16029531555779428,0.15968362502059869
0.06,0.0004766379054765539,-0.090841415056602,-0.160593845026185,0.15974677927036118
0.07,0.0006295425464396052,-0.09099338517105747,-0.16095586907489864,0.15983452910713583
0.08,0.0008039408958906763,-0.09116639820952765,-0.16137446015581283,0.1599387358838091
0.09,0.0010002282955829584,-0.0913607238743123,-0.1618432648281965,0.16005177029107617
0.1,0.0012187861817215416,-0.09157659580495306,-0.16235837473531928,0.1601684110551066
0.11,0.0014599822409782925,-0.09181421431733386,-0.1629186006358161,0.16028608903506214
0.12,0.0017241849033235203,-0.09207375783961838,-0.16352492241909855,0.16040429598566983
0.13,0.002011788029352093,-0.09235540017285312,-0.16417962097108704,0.16052366149833333
0.14,0.0023231849342666565,-0.09265932056054235,-0.16488545503045898,0.1606451022788049
0.15,0.0026588487426157633,-0.09298573282035073,-0.1656448959569036,0.16076898928482863
0.16,0.0030193171754623205,-0.0933348688544444,-0.16645967945965567,0.1608947912320025
0.17,0.0034051883412282513,-0.09370701914994707,-0.16733058034838727,0.16102066719562175
0.18,0.0038171399419309558,-0.09410249593571485,-0.16825736304565878,0.16114360043462014
0.19,0.004255921510692509,-0.09452165703708651,-0.16923889955453614,0.16125939758214244
0.2,0.0047223384084755194,-0.09496486618454864,-0.1702733825406822,0.16136301144205012
0.21,0.005217287959157044,-0.09543254079996162,-0.17135853234157158,0.16144854269514544
0.22,0.005741697893055583,-0.09592509450166518,-0.17249186468353522,0.161509781421765
0.23,0.006296548251161614,-0.0964429043137903,-0.17367085325824752,0.16154021633292862
0.24,0.0068828538454875215,-0.09698633839587477,-0.17489305430677002,0.16153321023922235
0.25,0.007501656015970056,-0.09755573061266794,-0.17615615938995033,0.16148199601244398
0.26,0.008154018274353905,-0.09815136653679847,-0.17745796641147887,0.16137970768530324
0.27,0.008841014937125578,-0.09877347272090933,-0.17879628057715014,0.16121925023913744
0.28,0.009563723948918915,-0.09942219587213169,-0.18016879203183647,0.16099319858382344
0.29,0.010323222219848298,-0.10009761065543564,-0.1815729101501971,0.16069364617880405
0.3,0.01112056652342117,-0.10079967537716795,-0.18300551782492464,0.16031203336359254
0.31,0.011956805124916736,-0.1015282666635774,-0.18446287766840666,0.1598390598203195
0.32,0.012832962061751343,-0.10228307637195914,-0.18594050398205936,0.15926449286620972
0.33,0.013749981582827855,-0.10306373725081604,-0.1874328126135582,0.15857720950296372
0.34,0.014708790186755676,-0.10386967066522522,-0.1889333322767274,0.15776512339521556
0.35000000000000003,0.015710230457690322,-0.10470010066480227,-0.1904344858126205,0.15681521862501308
0.36,0.01675504027629918,-0.10555415490646756,-0.191927559748433,0.15571368098422475
0.37,0.017843922174866314,-0.10643062700077859,-0.1934029778924595,0.1544459873694077
0.38,0.018977376671188928,-0.10732821589508271,-0.19485006989084927,0.15299706085805934
0.39,0.020155819216731822,-0.10824530742559824,-0.19625739555885807,0.1513515183783457
0.4,0.02137955069333983,-0.109180026381013,-0.19761287254022766,0.14949381665173786
0.41000000000000003,0.02264859724588859,-0.11013034861494586,-0.19890368994205937,0.14740840894197055
0.42,0.02396293265106154,-0.11109381235304532,-0.20011671644293502,0.14508011937875345
0.43,0.025322272302578646,-0.11206784691388857,-0.2012384281772418,0.14249403202180727
0.44,0.026726090049484334,-0.11304951187559241,-0.20225501080226693,0.13963591926635716
0.45,0.02817378452929433,-0.11403558526143354,-0.2031525740377434,0.13649225098051
0.46,0.02966437316033883,-0.11502268209898509,-0.20391701989980077,0.1330501621704694
0.47000000000000003,0.031196737499954903,-0.11600698730271786,-0.20453418370018328,0.12929796345207278
0.48,0.03276956824412044,-0.1169845849289538,-0.20498983763879144,0.12522465264793858
0.49,0.03438117965760055,-0.11795121952738132,-0.20526964477581056,0.12082051130920235
0.5,0.03602981876192927,-0.11890240809898782,-0.20535917748321894,0.11607693597254341
0.51,0.037713393670097864,-0.11983352513193807,-0.20524395897381678,0.11098637361894265
0.52,0.03942955925640751,-0.12073962211761034,-0.20490944926118737,0.10554302592679289
0.53,0.041175868010655946,-0.12161568033695805,-0.204341034912379,0.09974215251680495
0.54,0.042949459771434065,-0.12245644642778976,-0.20352431495335047,0.09358105140214043
0.55,0.04474736014094627,-0.12325653474728279,-0.20244495874273197,0.08705878399932719
0.56,0.04656636793313269,-0.124010478080371,-0.20108900623585216,0.08017627864694166
0.5700000000000001,0.04840293650445428,-0.1247126592815912,-0.1994432238635494,0.07293729165161296
0.58,0.05025345816013703,-0.1253574367762127,-0.19749487838839874,0.06534749182079615
0.59,0.05211399083836037,-0.12593912349560282,-0.19523257327156454,0.05741583612610718
0.6,0.05398039359610453,-0.12645202064731537,-0.19264619989487433,0.0491540336622747
0.61,0.05584842832035083,-0.12689046871618176,-0.18972698178801117,0.040576651440381264
0.62,0.057713532382403517,-0.12724891326830604,-0.1864685580580459,0.031702091331770016
0.63,0.059571066808021135,-0.12752184129445954,-0.18286627423981863,0.022551245985822397
0.64,0.06141623668552864,-0.1277039942704315,-0.17891794573260209,0.013148893967941158
0.65,0.06324410097409584,-0.12779025863327995,-0.17462403106541624,0.00352274710543789
0.66,0.0650496461082206,-0.1277757437305127,-0.16998746949398566,-0.006296668898900588
0.67,0.06682776915524295,-0.12765599828362917,-0.16501409026506028,-0.016275344932813
0.68,0.06857335187842818,-0.12742669552156613,-0.15971222704303745,-0.026377326884025862
0.6900000000000001,0.07028127089172699,-0.12708412715352085,-0.15409317186381352,-0.036563681182291294
0.7000000000000001,0.07194643688113045,-0.1266248947957003,-0.1481705479859333,-0.04679352976343801
0.71,0.07356385436574027,-0.12604602516506608,-0.1419608414435824,-0.05702426097187912
0.72,0.07512861072967787,-0.12534529587934978,-0.13548261579489138,-0.06721125459771615
0.73,0.07663599710957146,-0.12452068590280148,-0.12875711206453405,-0.07730895731251125
0.74,0.07808143146750042,-0.1235710950079239,-0.12180739979241567,-0.08727047197653566
0.75,0.07946064613605831,-0.12249584551445686,-0.11465900942943302,-0.09704821793984489
0.76,0.08076954226768061,-0.12129486222752213,-0.10733910283207432,-0.10659422265715199
0.77,0.08200443519945437,-0.11996883622926047,-0.09987705574313557,-0.11586041036284318
0.78,0.08316185300524871,-0.1185189793277802,-0.09230370359919535,-0.12479909816809184
0.79,0.08423882227043726,-0.11694729243742354,-0.0846517709469997,-0.13336350876421066
0.8,0.08523262141504154,-0.11525628124702758,-0.0769551760146053,-0.14150831782241458
0.81,0.08614109454234556,-0.11344924437240697,-0.06924922140010305,-0.14919047132895102
0.8200000000000001,0.08696237179099031,-0.11152994452663009,-0.06156992709670677,-0.15636969849284904
0.8300000000000001,0.08769519199825922,-0.10950290481706511,-0.053953910638379274,-0.16300962693919396
0.84,0.08833860788909696,-0.1073730507086167,-0.04643774161370246,-0.16907816025126743
0.85,0.08889229457457447,-0.10514599000140651,-0.03905750283461409,-0.17454876306010317
0.86,0.08935625961233302,-0.10282765598851626,-0.031848199719434436,-0.17940051814472152
