# epsilon:0.000160054
# mass:1.
# sign:-1
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.01385874453188311,0,0.14222456905812242,0
0.01,0.013835977830902707,0,0.14301049879151473,0
0.02,0.013792575008345617,0,0.1438836566373598,0
0.03,0.013729596741066996,0,0.1449838408661793,0
0.04,0.013647258943548806,0,0.14638127049471775,0
0.05,0.01354520148339587,0,0.14810593679148112,0
0.06,0.01342269012709679,0,0.15016599382304563,0
0.07,0.013278736431533145,0,0.15255907000550759,0
0.08,0.013112178424261716,0,0.15527861430709813,0
0.09,0.012921733051618116,0,0.1583170498788074,0
0.1,0.012706016327115493,0,0.16166708737789628,0
0.11,0.01246354778020421,0,0.1653219056872006,0
0.12,0.012192746309704449,0,0.1692747480091706,0
0.13,0.011891906961315138,0,0.17351791328120855,0
0.14,0.01155922094572672,0,0.17804223429987376,0
0.15,0.011192727712524712,0,0.1828357756531138,0
0.16,0.010790337328898062,0,0.18788329492163247,0
0.17,0.010349822163285028,0,0.19316498280992486,0
0.18,0.009868826550407519,0,0.19865602914492217,0
0.19,0.009344882166909272,0,0.20432518473879027,0
0.2,0.008775454349695734,0,0.21013484758346923,0
0.21,0.00815796815606959,0,0.21603939143522888,0
0.22,0.007489863631016842,0,0.2219845899299547,0
0.23,0.006768666660014789,0,0.22790656499098855,0
0.24,0.0059920627972732485,0,0.23373081395433734,0
0.25,0.005157984614913248,0,0.2393709802966984,0
0.26,0.004264735913800028,0,0.24472730700242035,0
0.27,0.0033111194794688535,0,0.2496855439871791,0
0.28,0.00229656111712055,0,0.2541159123048682,0
0.29,0.0012213166672849142,0,0.2578714659375429,0
0.3,0.0000866295266954292,0,0.2607874959690673,0
0.31,-0.0011050464246554722,0,0.26268091231945095,0
0.32,-0.002349819381414065,0,0.26335030691491873,0
0.33,-0.003642112288484856,0,0.2625768045426618,0
0.34,-0.004974407301189422,0,0.26012593916203886,0
0.35000000000000003,-0.006336985898182117,0,0.2557507061556285,0
0.36,-0.007717685635912371,0,0.249196411322087,0
0.37,-0.00910166511879682,0,0.24020680438393036,0
0.38,-0.010471226916442084,0,0.22853239563990324,0
0.39,-0.011805694097725002,0,0.21394075484359845,0
0.4,-0.013081380019135442,0,0.19622884090792703,0
0.41000000000000003,-0.014271674075186383,0,0.17523732602446104,0
0.42,-0.01534727153761446,0,0.15086667869765752,0
0.43,-0.0162765697476242,0,0.12309462994760038,0
0.44,-0.01702628463604033,0,0.09199425017775134,0
0.45,-0.01756226057614775,0,0.05775263973713912,0
0.46,-0.017850525795120767,0,0.02068817429074018,0
0.47000000000000003,-0.017858569045385565,0,-0.01873502931041634,0
0.48,-0.01755687216573999,0,-0.0598949696819975,0
0.49,-0.016920638074539453,0,-0.10200540185267351,0
0.5,-0.015931609588914847,0,-0.14411675820306546,0
0.51,-0.014580026261027713,0,-0.18512506822963556,0
0.52,-0.012866528369795911,0,-0.22379109310808976,0
0.53,-0.01080402098568772,0,-0.25877033798991234,0
0.54,-0.008419160910174344,0,-0.28865652053932905,0
0.55,-0.005753527198604898,0,-0.3120359964560358,0
0.56,-0.0028642036415473817,0,-0.32755469220272865,0
0.5700000000000001,0.00017635028405124935,0,-0.33399470620445615,0
