# epsilon:0.000160054
# mass:0.828
# sign:1
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.015279281398578409,0,-0.15901190224228748,0
0.01,0.015304680886329953,0,-0.15923279653020103,0
0.02,0.015352818950669547,0,-0.15895716607998045,0
0.03,0.015422004725009637,0,-0.15838000282854378,0
0.04,0.01551129725838676,0,-0.15759565591633817,0
0.05,0.015620198228464728,0,-0.15663822949535158,0
0.06,0.01574840944565835,0,-0.15550892540520495,0
0.07,0.01589568267354059,0,-0.1541930576840227,0
0.08,0.01606171485474336,0,-0.1526700219142046,0
0.09,0.016246085465177598,0,-0.15091843071457142,0
0.1,0.016448223374260065,0,-0.148918091058694,0
0.11,0.016667397675984182,0,-0.14665011952217488,0
0.12,0.016902717749676516,0,-0.1440961262311118,0
0.13,0.01715313689814621,0,-0.14123700332998482,0
0.14,0.01741743590633368,0,-0.13805188242302174,0
0.15,0.017694253494171586,0,-0.13451723030064014,0
0.16,0.017982033035714096,0,-0.13060607190657925,0
0.17,0.018279026349917245,0,-0.12628800506237856,0
0.18,0.018583257450928446,0,-0.1215288360723907,0
0.19,0.018892482469177168,0,-0.11629122041975552,0
0.2,0.019204146775787474,0,-0.11053473062929271,0
0.21,0.019515329389246952,0,-0.10421641027365997,0
0.22,0.01982271050830999,0,-0.09729142336431039,0
0.23,0.020122532889335007,0,-0.08971341254833606,0
0.24,0.020410500027787028,0,-0.0814352822800742,0
0.25,0.020681776038594068,0,-0.07240990403504752,0
0.26,0.020930944331861108,0,-0.062590547098619,0
0.27,0.021151913999777765,0,-0.05193241681787664,0
0.28,0.021337928790614778,0,-0.04039342548430931,0
0.29,0.021481532011418617,0,-0.027935757704096006,0
0.3,0.02157455337094157,0,-0.014527641619999304,0
0.31,0.021608106943901226,0,-0.00014552005551493816,0
0.32,0.021572606645561355,0,0.015223155008977663,0
0.33,0.02145782245257773,0,0.03157689369524745,0
0.34,0.02125295986253936,0,0.04889672875078733,0
0.35000000000000003,0.020946770196545585,0,0.0671426090494456,0
0.36,0.020527715276032105,0,0.08624846207095682,0
0.37,0.0199841709479089,0,0.10611846297056453,0
0.38,0.019304696168858465,0,0.12662237346122912,0
0.39,0.018478357017045408,0,0.14759133079115622,0
0.4,0.01749511424148252,0,0.1688140006927594,0
0.41000000000000003,0.01634627306209208,0,0.19003341340053717,0
0.42,0.015024978708219205,0,0.21094481280967456,0
0.43,0.01352681899064905,0,0.23119469934000506,0
0.44,0.011850382490631695,0,0.2503817674262219,0
0.45,0.00999789986234262,0,0.2680596903839732,0
0.46,0.007975860556585617,0,0.2837422384626646,0
0.47000000000000003,0.0057956453914194414,0,0.2969111158367517,0
0.48,0.003474074061629928,0,0.30702701884533756,0
0.49,0.0010338320604089193,0,0.31354312190967776,0
0.5,-0.0014961761413423227,0,0.31592235596546553,0
0.51,-0.004080677467315442,0,0.3136575926139548,0
0.52,-0.0066780975700420795,0,0.3062945729428452,0
0.53,-0.009240849426995342,0,0.2934577321509058,0
0.54,-0.011715990059244553,0,0.27487731548736694,0
0.55,-0.014046141776101785,0,0.250416993411481,0
0.56,-0.016170784850319465,0,0.22010101078914407,0
0.5700000000000001,-0.01802789264782761,0,0.18413895523268123,0
0.58,-0.01955590449318958,0,0.14294639432690004,0
0.59,-0.020696002157363533,0,0.09715938854673759,0
0.6,-0.02139464156613407,0,0.047640870816536736,0
0.61,-0.021606255912555473,0,-0.004523195589412664,0
0.62,-0.02129598416404207,0,-0.05804009136568817,0
0.63,-0.020442307171559353,0,-0.11143933029529113,0
0.64,-0.01903943491298824,0,-0.1631149165455415,0
0.65,-0.017099279785999268,0,-0.21138037955704006,0
0.66,-0.014652849354487086,0,-0.25453507873101033,0
0.67,-0.011750902415931633,0,-0.2909392447234593,0
0.68,-0.008463737738430498,0,-0.3190943609310955,0
0.6900000000000001,-0.004880024500740865,0,-0.3377249237433359,0
0.7000000000000001,-0.0011045616094444346,0,-0.3458555038177357,0
0.71,0.002744957733654798,0,-0.3428781977642991,0
0.72,0.006542071974605235,0,-0.32860555722067836,0
0.73,0.010156428375756593,0,-0.3033045085666626,0
0.74,0.013459194951770646,0,-0.26770771103005014,0
0.75,0.01632873847423714,0,-0.2230000471979379,0
0.76,0.01865626377549934,0,-0.17077944080790255,0
0.77,0.020351120357786284,0,-0.11299295502013959,0
0.78,0.021345395648026226,0,-0.051850230826629526,0
0.79,0.021597462184642865,0,0.010281262093011058,0
0.8,0.02109429435773032,0,0.07099198076303964,0
0.81,0.019852382294274176,0,0.12795043935585518,0
0.8200000000000001,0.01791716561798796,0,0.17902006122667366,0
0.8300000000000001,0.015361003691917039,0,0.22236499701159987,0
0.84,0.01227979378933242,0,0.2565377372072132,0
0.85,0.008788433871020058,0,0.2805427753286978,0
0.86,0.005015401415500604,0,0.29387219049006763,0
