# 20240823_135519
alpha,f0Re,f0Im
0,0,-0.127797
0.01,2.54224e-05,-0.127797
0.02,7.37164e-05,-0.127797
0.03,0.000143398,-0.127797
0.04,0.000233814,-0.127796
0.05,0.000344837,-0.127796
0.06,0.000476638,-0.127795
0.07,0.000629543,-0.127794
0.08,0.000803941,-0.127792
0.09,0.00100023,-0.127789
0.1,0.00121879,-0.127785
0.11,0.00145998,-0.12778
0.12,0.00172418,-0.127774
0.13,0.00201179,-0.127765
0.14,0.00232318,-0.127755
0.15,0.00265885,-0.127742
0.16,0.00301932,-0.127726
0.17,0.00340519,-0.127706
0.18,0.00381714,-0.127683
0.19,0.00425592,-0.127655
0.2,0.00472234,-0.127622
0.21,0.00521729,-0.127584
0.22,0.0057417,-0.127539
0.23,0.00629655,-0.127486
0.24,0.00688285,-0.127426
0.25,0.00750166,-0.127356
0.26,0.00815402,-0.127276
0.27,0.00884102,-0.127184
0.28,0.00956372,-0.127079
0.29,0.0103232,-0.12696
0.3,0.0111206,-0.126825
0.31,0.0119568,-0.126673
0.32,0.012833,-0.126502
0.33,0.01375,-0.126309
0.34,0.0147088,-0.126093
0.35,0.0157102,-0.125851
0.36,0.016755,-0.125581
0.37,0.0178439,-0.125281
0.38,0.0189774,-0.124947
0.39,0.0201558,-0.124577
0.4,0.0213796,-0.124169
0.41,0.0226486,-0.123718
0.42,0.0239629,-0.123222
0.43,0.0253223,-0.122677
0.44,0.0267261,-0.12208
0.45,0.0281738,-0.121427
0.46,0.0296644,-0.120715
0.47,0.0311967,-0.11994
0.48,0.0327696,-0.119098
0.49,0.0343812,-0.118186
0.5,0.0360298,-0.1172
0.51,0.0377134,-0.116135
0.52,0.0394296,-0.11499
0.53,0.0411759,-0.113759
0.54,0.0429495,-0.11244
0.55,0.0447474,-0.111029
0.56,0.0465664,-0.109523
0.57,0.0484029,-0.107918
0.58,0.0502535,-0.106213
0.59,0.052114,-0.104405
0.6,0.0539804,-0.10249
0.61,0.0558484,-0.100469
0.62,0.0577135,-0.0983379
0.63,0.0595711,-0.096097
0.64,0.0614162,-0.0937451
0.65,0.0632441,-0.0912821
0.66,0.0650496,-0.0887082
0.67,0.0668278,-0.0860241
0.68,0.0685733,-0.0832312
0.69,0.0702813,-0.0803315
0.7,0.0719464,-0.077327
0.71,0.0735639,-0.0742211
0.72,0.0751286,-0.0710172
0.73,0.076636,-0.0677193
0.74,0.0780814,-0.0643322
0.75,0.0794606,-0.0608611
0.76,0.0807695,-0.0573115
0.77,0.0820044,-0.0536899
0.78,0.0831619,-0.0500027
0.79,0.0842388,-0.0462569
0.8,0.0852326,-0.0424601
0.81,0.0861411,-0.0386197
0.82,0.0869624,-0.034744
0.83,0.0876952,-0.030841
0.84,0.0883386,-0.026919
0.85,0.0888923,-0.0229864
0.86,0.0893563,-0.0190517
0.87,0.0897311,-0.015123
0.88,0.0900178,-0.0112087
0.89,0.0902178,-0.00731657
0.9,0.090333,-0.00345438
0.91,0.0903657,0.000370567
0.92,0.0903183,0.00415138
0.93,0.090194,0.0078816
0.94,0.0899959,0.0115553
0.95,0.0897274,0.015167
0.96,0.0893921,0.018712
0.97,0.0889939,0.022186
0.98,0.0885365,0.0255852
0.99,0.0880239,0.0289068
1,0.0874601,0.0321481
1.01,0.0868488,0.0353072
1.02,0.0861939,0.0383828
1.03,0.0854992,0.0413739
1.04,0.0847682,0.0442803
1.05,0.0840043,0.0471019
1.06,0.0832108,0.0498392
1.07,0.0823909,0.052493
1.08,0.0815474,0.0550643
1.09,0.080683,0.0575547
1.1,0.0798002,0.0599657
1.11,0.0789014,0.062299
1.12,0.0779887,0.0645566
1.13,0.0770641,0.0667405
1.14,0.0761294,0.0688526
1.15,0.0751861,0.0708952
1.16,0.074236,0.0728703
1.17,0.0732803,0.07478
1.18,0.0723202,0.0766265
1.19,0.0713569,0.0784119
1.2,0.0703913,0.0801384
1.21,0.0694242,0.0818082
1.22,0.0684564,0.0834234
1.23,0.0674884,0.0849863
1.24,0.0665206,0.0864989
1.25,0.0655533,0.0879635
1.26,0.0645868,0.089382
1.27,0.0636212,0.0907564
1.28,0.0626568,0.0920885
1.29,0.0616936,0.0933801
1.3,0.0607318,0.0946326
1.31,0.0597715,0.0958477
1.32,0.0588128,0.0970265
1.33,0.0578559,0.0981704
1.34,0.0569006,0.0992808
1.35,0.055947,0.100359
1.36,0.0549949,0.101406
1.37,0.054044,0.102423
1.38,0.0530942,0.103412
1.39,0.052145,0.104373
1.4,0.0511963,0.105309
1.41,0.050248,0.106218
1.42,0.0492997,0.107103
1.43,0.0483516,0.107964
1.44,0.0474032,0.108802
1.45,0.0464544,0.109617
1.46,0.0455047,0.110411
1.47,0.0445534,0.111185
1.48,0.0436002,0.111938
1.49,0.0426449,0.112671
1.5,0.0416874,0.113386
1.51,0.0407275,0.114081
1.52,0.039765,0.114758
1.53,0.0387994,0.115418
1.54,0.0378307,0.116059
1.55,0.0368592,0.116683
1.56,0.0358858,0.117288
1.57,0.0349127,0.117874
1.58,0.0339599,0.11843
