# 20240822_171225
alpha,field0Re,field0Im
0,0.045183,-0.090366
0.00157237,0.0451863,-0.0903699
0.00314474,0.0451895,-0.0903735
0.00471711,0.0451926,-0.0903771
0.00628947,0.0451959,-0.0903809
0.00786184,0.0451994,-0.090385
0.00943421,0.0452034,-0.0903896
0.0110066,0.0452081,-0.090395
0.0125789,0.0452136,-0.0904013
0.0141513,0.0452198,-0.0904085
0.0157237,0.0452265,-0.0904163
0.0172961,0.0452338,-0.0904246
0.0188684,0.0452413,-0.0904333
0.0204408,0.045249,-0.0904423
0.0220132,0.0452573,-0.0904518
0.0235855,0.0452662,-0.0904621
0.0251579,0.0452756,-0.0904729
0.0267303,0.0452855,-0.0904843
0.0283026,0.0452957,-0.0904962
0.029875,0.0453063,-0.0905083
0.0314474,0.0453173,-0.090521
0.0330197,0.0453288,-0.0905343
0.0345921,0.0453408,-0.0905481
0.0361645,0.0453533,-0.0905626
0.0377368,0.0453662,-0.0905774
0.0393092,0.0453794,-0.0905927
0.0408816,0.045393,-0.0906084
0.042454,0.0454072,-0.0906247
0.0440263,0.0454218,-0.0906416
0.0455987,0.0454369,-0.090659
0.0471711,0.0454524,-0.0906769
0.0487434,0.0454683,-0.0906953
0.0503158,0.0454846,-0.090714
0.0518882,0.0455014,-0.0907333
0.0534605,0.0455186,-0.0907532
0.0550329,0.0455364,-0.0907737
0.0566053,0.0455545,-0.0907946
0.0581776,0.0455731,-0.090816
0.05975,0.0455921,-0.0908379
0.0613224,0.0456115,-0.0908602
0.0628947,0.0456314,-0.0908832
0.0644671,0.0456518,-0.0909067
0.0660395,0.0456727,-0.0909307
0.0676119,0.045694,-0.0909552
0.0691842,0.0457157,-0.0909802
0.0707566,0.0457378,-0.0910057
0.072329,0.0457604,-0.0910317
0.0739013,0.0457835,-0.0910583
0.0754737,0.0458071,-0.0910855
0.0770461,0.0458312,-0.0911131
0.0786184,0.0458556,-0.0911413
0.0801908,0.0458805,-0.0911699
0.0817632,0.0459059,-0.0911991
0.0833355,0.0459317,-0.0912288
0.0849079,0.0459581,-0.0912591
0.0864803,0.0459849,-0.0912899
0.0880526,0.0460121,-0.0913213
0.089625,0.0460398,-0.0913531
0.0911974,0.0460679,-0.0913854
0.0927698,0.0460966,-0.0914183
0.0943421,0.0461257,-0.0914518
0.0959145,0.0461553,-0.0914858
0.0974869,0.0461854,-0.0915204
0.0990592,0.0462159,-0.0915554
0.100632,0.0462469,-0.0915909
0.102204,0.0462784,-0.091627
0.103776,0.0463103,-0.0916637
0.105349,0.0463428,-0.091701
0.106921,0.0463757,-0.0917388
0.108493,0.0464091,-0.0917771
0.110066,0.0464429,-0.0918158
0.111638,0.0464772,-0.0918552
0.113211,0.0465121,-0.0918951
0.114783,0.0465474,-0.0919356
0.116355,0.0465832,-0.0919766
0.117928,0.0466195,-0.0920182
0.1195,0.0466562,-0.0920603
0.121072,0.0466934,-0.0921029
0.122645,0.0467311,-0.0921461
0.124217,0.0467693,-0.0921898
0.125789,0.0468081,-0.0922341
0.127362,0.0468473,-0.092279
0.128934,0.0468869,-0.0923244
0.130507,0.046927,-0.0923702
0.132079,0.0469677,-0.0924167
0.133651,0.0470088,-0.0924638
0.135224,0.0470505,-0.0925114
0.136796,0.0470927,-0.0925595
0.138368,0.0471353,-0.0926082
0.139941,0.0471784,-0.0926575
0.141513,0.047222,-0.0927072
0.143086,0.0472661,-0.0927576
0.144658,0.0473107,-0.0928085
0.14623,0.0473559,-0.09286
0.147803,0.0474015,-0.0929121
0.149375,0.0474476,-0.0929647
0.150947,0.0474942,-0.0930178
0.15252,0.0475413,-0.0930715
0.154092,0.047589,-0.0931258
0.155665,0.0476372,-0.0931807
0.157237,0.0476859,-0.0932361
0.158809,0.047735,-0.0932921
0.160382,0.0477847,-0.0933486
0.161954,0.0478349,-0.0934057
0.163526,0.0478856,-0.0934634
0.165099,0.0479368,-0.0935217
0.166671,0.0479886,-0.0935806
0.168243,0.0480409,-0.09364
0.169816,0.0480937,-0.0937
0.171388,0.048147,-0.0937605
0.172961,0.0482008,-0.0938216
0.174533,0.0482552,-0.0938834
0.176105,0.0483101,-0.0939457
0.177678,0.0483656,-0.0940086
0.17925,0.0484216,-0.094072
0.180822,0.048478,-0.094136
0.182395,0.0485351,-0.0942007
0.183967,0.0485926,-0.0942659
0.18554,0.0486508,-0.0943317
0.187112,0.0487095,-0.0943982
0.188684,0.0487687,-0.0944652
0.190257,0.0488284,-0.0945327
0.191829,0.0488887,-0.0946009
0.193401,0.0489495,-0.0946697
0.194974,0.0490109,-0.0947391
0.196546,0.0490729,-0.0948091
0.198118,0.0491354,-0.0948796
0.199691,0.0491985,-0.0949508
0.201263,0.0492621,-0.0950226
0.202836,0.0493263,-0.095095
0.204408,0.049391,-0.095168
0.20598,0.0494564,-0.0952416
0.207553,0.0495223,-0.0953158
0.209125,0.0495887,-0.0953907
0.210697,0.0496557,-0.0954661
0.21227,0.0497233,-0.0955421
0.213842,0.0497915,-0.0956188
0.215415,0.0498603,-0.0956961
0.216987,0.0499297,-0.0957741
0.218559,0.0499996,-0.0958526
0.220132,0.0500701,-0.0959317
0.221704,0.0501412,-0.0960115
0.223276,0.0502129,-0.0960919
0.224849,0.0502852,-0.096173
0.226421,0.0503581,-0.0962547
0.227993,0.0504315,-0.096337
0.229566,0.0505056,-0.0964199
0.231138,0.0505803,-0.0965034
0.232711,0.0506555,-0.0965876
0.234283,0.0507314,-0.0966725
0.235855,0.0508079,-0.096758
0.237428,0.050885,-0.0968441
0.239,0.0509628,-0.0969309
0.240572,0.0510411,-0.0970182
0.242145,0.05112,-0.0971062
0.243717,0.0511995,-0.0971949
0.24529,0.0512797,-0.0972843
0.246862,0.0513606,-0.0973743
0.248434,0.051442,-0.0974649
0.250007,0.051524,-0.0975561
0.251579,0.0516067,-0.097648
0.253151,0.05169,-0.0977406
0.254724,0.0517739,-0.0978338
0.256296,0.0518585,-0.0979277
0.257868,0.0519438,-0.0980222
0.259441,0.0520296,-0.0981174
0.261013,0.0521161,-0.0982132
0.262586,0.0522032,-0.0983096
0.264158,0.052291,-0.0984068
0.26573,0.0523794,-0.0985046
0.267303,0.0524685,-0.0986031
0.268875,0.0525582,-0.0987022
0.270447,0.0526486,-0.0988019
0.27202,0.0527396,-0.0989023
0.273592,0.0528312,-0.0990034
0.275165,0.0529236,-0.0991052
0.276737,0.0530166,-0.0992076
0.278309,0.0531103,-0.0993107
0.279882,0.0532045,-0.0994144
0.281454,0.0532995,-0.0995187
0.283026,0.0533951,-0.0996238
0.284599,0.0534915,-0.0997295
0.286171,0.0535885,-0.0998359
0.287743,0.0536861,-0.0999429
0.289316,0.0537844,-0.100051
0.290888,0.0538834,-0.100159
0.292461,0.053983,-0.100268
0.294033,0.0540833,-0.100378
0.295605,0.0541844,-0.100488
0.297178,0.0542861,-0.100599
0.29875,0.0543884,-0.10071
0.300322,0.0544914,-0.100823
0.301895,0.0545951,-0.100936
0.303467,0.0546995,-0.101049
0.30504,0.0548046,-0.101164
0.306612,0.0549104,-0.101278
