# 20240822_171240
# initdata:	data/init_comp_piplus_composed_consteps_20240822_145641/init8.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,157041,0
0.010101,146916,0
0.020202,120305,0
0.030303,86333.6,0
0.040404,54616.4,0
0.0505051,31054.8,0
0.0606061,16687.4,0
0.0707071,9328.11,0
0.0808081,6001.42,0
0.0909091,4463.04,0
0.10101,3497.46,0
0.111111,2629.89,0
0.121212,1816.43,0
0.131313,1202.97,0
0.141414,888.269,0
0.151515,783.521,0
0.161616,690.918,0
0.171717,507.435,0
0.181818,307.537,0
0.191919,215.289,0
0.20202,239.677,0
0.212121,274.395,0
0.222222,237.433,0
0.232323,158.081,0
0.242424,114.118,0
0.252525,123.83,0
0.262626,135.038,0
0.272727,105.708,0
0.282828,55.6781,0
0.292929,29.1023,0
0.30303,33.7365,0
0.313131,40.1843,0
0.323232,29.4209,0
0.333333,15.5191,0
0.343434,18.0879,0
0.353535,31.9026,0
0.363636,36.5246,0
0.373737,26.1126,0
0.383838,14.8374,0
0.393939,14.2713,0
0.40404,18.4941,0
0.414141,16.02,0
0.424242,7.23146,0
0.434343,1.97519,0
0.444444,4.14651,0
0.454545,7.34418,0
0.464646,5.95415,0
0.474747,3.15025,0
0.484848,4.58269,0
0.494949,9.04631,0
0.505051,10.4016,0
0.515152,6.74995,0
0.525253,2.67626,0
0.535354,2.14616,0
0.545455,3.41937,0
0.555556,2.87045,0
0.565657,0.766039,0
0.575758,0.246802,0
0.585859,2.0304,0
0.59596,3.39911,0
0.606061,2.56753,0
0.616162,1.27005,0
0.626263,1.79859,0
0.636364,3.43283,0
0.646465,3.66454,0
0.656566,1.96933,0
0.666667,0.348841,0
0.676768,0.241536,0
0.686869,0.752636,0
0.69697,0.552518,0
0.707071,0.0467107,0
0.717172,0.471029,0
0.727273,1.66461,0
0.737374,2.17022,0
0.747475,1.41669,0
0.757576,0.52509,0
0.767677,0.590666,0
0.777778,1.16877,0
0.787879,1.15048,0
0.79798,0.4672,0
0.808081,0.027143,0
0.818182,0.227183,0
0.828283,0.465965,0
0.838384,0.2681,0
0.848485,0.0778622,0
0.858586,0.47569,0
0.868687,1.14922,0
0.878788,1.27673,0
0.888889,0.708586,0
0.89899,0.138759,0
0.909091,0.0845915,0
0.919192,0.269744,0
0.929293,0.231925,0
0.939394,0.0666026,0
0.949495,0.162159,0
0.959596,0.474275,0
0.969697,0.560581,0
0.979798,0.297151,0
0.989899,0.101609,0
1,0.303915,0
