# 20240822_171358
alpha,f0Re,f0Im
0,0.0638984,-0.110675
0.01,0.0639164,-0.110693
0.02,0.0639505,-0.110727
0.03,0.0639998,-0.110777
0.04,0.0640636,-0.11084
0.05,0.0641418,-0.110918
0.06,0.0642346,-0.111011
0.07,0.064342,-0.111118
0.08,0.0644644,-0.111239
0.09,0.0646018,-0.111376
0.1,0.0647544,-0.111527
0.11,0.0649225,-0.111693
0.12,0.065106,-0.111874
0.13,0.0653051,-0.11207
0.14,0.06552,-0.112281
0.15,0.0657508,-0.112507
0.16,0.0659977,-0.112748
0.17,0.0662609,-0.113005
0.18,0.0665405,-0.113276
0.19,0.0668369,-0.113562
0.2,0.0671503,-0.113863
0.21,0.067481,-0.11418
0.22,0.0678293,-0.114512
0.23,0.0681954,-0.114859
0.24,0.0685797,-0.115221
0.25,0.0689823,-0.115598
0.26,0.0694035,-0.11599
0.27,0.0698434,-0.116396
0.28,0.0703021,-0.116816
0.29,0.0707797,-0.11725
0.3,0.0712761,-0.117697
0.31,0.0717913,-0.118157
0.32,0.0723251,-0.118628
0.33,0.0728771,-0.119109
0.34,0.073447,-0.1196
0.35,0.0740342,-0.120099
0.36,0.0746381,-0.120604
0.37,0.0752578,-0.121114
0.38,0.0758925,-0.121626
0.39,0.076541,-0.122139
0.4,0.0772019,-0.122651
0.41,0.0778739,-0.123158
0.42,0.0785552,-0.123657
0.43,0.0792439,-0.124147
0.44,0.0799381,-0.124622
0.45,0.0806353,-0.125081
0.46,0.0813333,-0.125518
0.47,0.0820293,-0.12593
0.48,0.0827206,-0.126313
0.49,0.0834041,-0.126663
0.5,0.0840767,-0.126975
0.51,0.0847351,-0.127243
0.52,0.0853758,-0.127465
0.53,0.0859953,-0.127634
0.54,0.0865898,-0.127745
0.55,0.0871555,-0.127795
0.56,0.0876886,-0.127776
0.57,0.0881852,-0.127686
0.58,0.0886411,-0.127518
0.59,0.0890524,-0.127267
0.6,0.0894151,-0.126929
0.61,0.0897251,-0.126499
0.62,0.0899786,-0.125973
0.63,0.0901716,-0.125345
0.64,0.0903004,-0.124613
0.65,0.0903614,-0.123773
0.66,0.0903511,-0.12282
0.67,0.0902664,-0.121753
0.68,0.0901043,-0.120569
0.69,0.089862,-0.119265
0.7,0.0895373,-0.117841
0.71,0.089128,-0.116295
0.72,0.0886325,-0.114626
0.73,0.0880494,-0.112836
0.74,0.087378,-0.110925
0.75,0.0866176,-0.108894
0.76,0.0857684,-0.106746
0.77,0.0848308,-0.104482
0.78,0.0838056,-0.102108
0.79,0.0826942,-0.0996251
0.8,0.0814985,-0.0970397
0.81,0.0802207,-0.0943563
0.82,0.0788636,-0.0915805
0.83,0.0774302,-0.0887186
0.84,0.0759242,-0.085777
0.85,0.0743494,-0.0827629
0.86,0.0727101,-0.0796833
0.87,0.0710109,-0.0765461
0.88,0.0692564,-0.0733589
0.89,0.0674518,-0.0701297
0.9,0.0656022,-0.0668664
0.91,0.0637128,-0.063577
0.92,0.0617889,-0.0602693
0.93,0.0598359,-0.0569509
0.94,0.0578589,-0.0536293
0.95,0.0558632,-0.0503115
0.96,0.0538537,-0.0470044
0.97,0.0518351,-0.0437143
0.98,0.049812,-0.0404471
0.99,0.0477888,-0.0372081
1,0.0457695,-0.0340023
1.01,0.0437577,-0.0308342
1.02,0.0417568,-0.0277076
1.03,0.03977,-0.0246259
1.04,0.0377999,-0.0215921
1.05,0.0358489,-0.0186083
1.06,0.0339192,-0.0156767
1.07,0.0320125,-0.0127987
1.08,0.0301304,-0.00997537
1.09,0.028274,-0.00720742
1.1,0.0264443,-0.00449525
1.11,0.0246421,-0.00183898
1.12,0.0228679,0.000761527
1.13,0.0211222,0.0033066
1.14,0.0194051,0.00579675
1.15,0.0177169,0.0082326
1.16,0.0160575,0.0106149
1.17,0.0144268,0.0129446
1.18,0.0128247,0.0152226
1.19,0.0112508,0.0174499
1.2,0.0097048,0.0196279
1.21,0.00818611,0.0217578
1.22,0.00669415,0.0238409
1.23,0.00522822,0.0258789
1.24,0.00378754,0.0278733
1.25,0.00237129,0.0298256
1.26,0.000978611,0.0317375
1.27,-0.000391343,0.0336105
1.28,-0.00173937,0.0354461
1.29,-0.00306623,0.0372457
1.3,-0.00437261,0.0390105
1.31,-0.00565915,0.0407418
1.32,-0.00692644,0.0424406
1.33,-0.00817508,0.0441079
1.34,-0.00940572,0.045745
1.35,-0.010619,0.0473529
1.36,-0.0118158,0.0489329
1.37,-0.0129968,0.0504863
1.38,-0.0141629,0.0520143
1.39,-0.0153148,0.0535181
1.4,-0.0164532,0.0549987
1.41,-0.0175786,0.0564571
1.42,-0.0186916,0.057894
1.43,-0.0197925,0.0593101
1.44,-0.020882,0.0607062
1.45,-0.0219606,0.0620833
1.46,-0.0230292,0.0634425
1.47,-0.0240884,0.0647847
1.48,-0.025139,0.0661109
1.49,-0.0261813,0.0674218
1.5,-0.0272157,0.0687176
1.51,-0.0282422,0.0699987
1.52,-0.0292613,0.0712657
1.53,-0.0302736,0.0725192
1.54,-0.0312793,0.0737597
1.55,-0.032278,0.0749867
1.56,-0.0332689,0.0761991
1.57,-0.03425,0.0773946
1.58,-0.035202,0.078551
