# 20240822_171358
# initdata:	data/init_comp_piplus_composed_consteps_20240822_145641/init13.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,108353,0
0.010101,101872,0
0.020202,84801,0
0.030303,62867.7,0
0.040404,42065.4,0
0.0505051,26051.6,0
0.0606061,15528.9,0
0.0707071,9348.2,0
0.0808081,5967.84,0
0.0909091,4210.69,0
0.10101,3286.16,0
0.111111,2644.79,0
0.121212,2000.13,0
0.131313,1372.88,0
0.141414,935.968,0
0.151515,752.548,0
0.161616,687.156,0
0.171717,568.069,0
0.181818,375.01,0
0.191919,223.105,0
0.20202,191.479,0
0.212121,227.051,0
0.222222,226.986,0
0.232323,167.189,0
0.242424,110.251,0
0.252525,105.591,0
0.262626,127.281,0
0.272727,120.849,0
0.282828,78.2905,0
0.292929,39.4607,0
0.30303,32.1255,0
0.313131,40.2305,0
0.323232,35.7892,0
0.333333,19.1304,0
0.343434,11.8901,0
0.353535,21.5627,0
0.363636,31.8713,0
0.373737,28.1837,0
0.383838,16.9825,0
0.393939,13.1983,0
0.40404,18.0905,0
0.414141,19.9439,0
0.424242,12.8438,0
0.434343,4.27308,0
0.444444,2.68372,0
0.454545,5.84819,0
0.464646,6.31626,0
0.474747,3.26078,0
0.484848,2.49137,0
0.494949,6.35588,0
0.505051,9.91154,0
0.515152,8.46875,0
0.525253,4.22454,0
0.535354,2.40022,0
0.545455,3.68512,0
0.555556,4.26698,0
0.565657,2.25699,0
0.575758,0.228766,0
0.585859,0.727868,0
0.59596,2.408,0
0.606061,2.52359,0
0.616162,1.26987,0
0.626263,1.16793,0
0.636364,2.87622,0
0.646465,4.11283,0
0.656566,3.10584,0
0.666667,1.08384,0
0.676768,0.256089,0
0.686869,0.723273,0
0.69697,0.900754,0
0.707071,0.279898,0
0.717172,0.052112,0
0.727273,0.924761,0
0.737374,1.84652,0
0.747475,1.6158,0
0.757576,0.712302,0
0.767677,0.506722,0
0.777778,1.18908,0
0.787879,1.59962,0
0.79798,1.04147,0
0.808081,0.216167,0
0.818182,0.0272119,0
0.828283,0.295515,0
0.838384,0.297637,0
0.848485,0.0436308,0
0.858586,0.199209,0
0.868687,0.880712,0
0.878788,1.33081,0
0.888889,0.999768,0
0.89899,0.334898,0
0.909091,0.100838,0
0.919192,0.328396,0
0.929293,0.445796,0
0.939394,0.235096,0
0.949495,0.0831011,0
0.959596,0.253647,0
0.969697,0.444111,0
0.979798,0.316566,0
0.989899,0.0876719,0
1,0.205188,0
