# 20240823_142909
alpha,Df0Re,Df0Im
0,0.159012,-0.112438
0.00157237,0.159092,-0.112503
0.00314474,0.159177,-0.112569
0.00471711,0.159262,-0.112636
0.00628947,0.159343,-0.112701
0.00786184,0.159417,-0.112762
0.00943421,0.15948,-0.112819
0.0110066,0.159529,-0.112869
0.0125789,0.159572,-0.112914
0.0141513,0.15961,-0.112956
0.0157237,0.159645,-0.112997
0.0172961,0.159678,-0.113036
0.0188684,0.159708,-0.113076
0.0204408,0.159738,-0.113117
0.0220132,0.159765,-0.113158
0.0235855,0.15979,-0.113198
0.0251579,0.159813,-0.113238
0.0267303,0.159837,-0.113279
0.0283026,0.15986,-0.113321
0.029875,0.159885,-0.113365
0.0314474,0.159911,-0.113411
0.0330197,0.159938,-0.113458
0.0345921,0.159964,-0.113507
0.0361645,0.159991,-0.113558
0.0377368,0.16002,-0.11361
0.0393092,0.16005,-0.113664
0.0408816,0.160081,-0.113721
0.042454,0.160114,-0.11378
0.0440263,0.160149,-0.113842
0.0455987,0.160186,-0.113905
0.0471711,0.160224,-0.113971
0.0487434,0.160263,-0.114039
0.0503158,0.160304,-0.114109
0.0518882,0.160346,-0.114182
0.0534605,0.160391,-0.114257
0.0550329,0.160437,-0.114335
0.0566053,0.160485,-0.114415
0.0581776,0.160535,-0.114497
0.05975,0.160586,-0.114581
0.0613224,0.160638,-0.114667
0.0628947,0.160692,-0.114756
0.0644671,0.160748,-0.114847
0.0660395,0.160805,-0.114941
0.0676119,0.160864,-0.115037
0.0691842,0.160924,-0.115135
0.0707566,0.160985,-0.115235
0.072329,0.161048,-0.115337
0.0739013,0.161113,-0.115441
0.0754737,0.161178,-0.115548
0.0770461,0.161245,-0.115657
0.0786184,0.161314,-0.115768
0.0801908,0.161383,-0.115881
0.0817632,0.161453,-0.115996
0.0833355,0.161525,-0.116114
0.0849079,0.161598,-0.116233
0.0864803,0.161673,-0.116355
0.0880526,0.161748,-0.116479
0.089625,0.161825,-0.116604
0.0911974,0.161902,-0.116732
0.0927698,0.161981,-0.116862
0.0943421,0.162061,-0.116994
0.0959145,0.162142,-0.117128
0.0974869,0.162225,-0.117265
0.0990592,0.162308,-0.117403
0.100632,0.162392,-0.117543
0.102204,0.162478,-0.117686
0.103776,0.162565,-0.117831
0.105349,0.162652,-0.117978
0.106921,0.162741,-0.118127
0.108493,0.162831,-0.118278
0.110066,0.162922,-0.118431
0.111638,0.163015,-0.118587
0.113211,0.163108,-0.118745
0.114783,0.163203,-0.118905
0.116355,0.163298,-0.119067
0.117928,0.163395,-0.119231
0.1195,0.163494,-0.119398
0.121072,0.163593,-0.119567
0.122645,0.163693,-0.119738
0.124217,0.163795,-0.119912
0.125789,0.163898,-0.120088
0.127362,0.164002,-0.120266
0.128934,0.164107,-0.120447
0.130507,0.164214,-0.120629
0.132079,0.164322,-0.120815
0.133651,0.164431,-0.121002
0.135224,0.164542,-0.121192
0.136796,0.164654,-0.121385
0.138368,0.164767,-0.12158
0.139941,0.164881,-0.121777
0.141513,0.164997,-0.121977
0.143086,0.165114,-0.12218
0.144658,0.165232,-0.122385
0.14623,0.165352,-0.122592
0.147803,0.165473,-0.122803
0.149375,0.165596,-0.123015
0.150947,0.16572,-0.12323
0.15252,0.165845,-0.123448
0.154092,0.165972,-0.123668
0.155665,0.1661,-0.123892
0.157237,0.166229,-0.124117
0.158809,0.16636,-0.124346
0.160382,0.166492,-0.124577
0.161954,0.166625,-0.12481
0.163526,0.16676,-0.125047
0.165099,0.166897,-0.125286
0.166671,0.167035,-0.125528
0.168243,0.167174,-0.125772
0.169816,0.167314,-0.126019
0.171388,0.167456,-0.126269
0.172961,0.167599,-0.126522
0.174533,0.167744,-0.126778
0.176105,0.16789,-0.127036
0.177678,0.168037,-0.127297
0.17925,0.168186,-0.127561
0.180822,0.168336,-0.127828
0.182395,0.168487,-0.128098
0.183967,0.16864,-0.12837
0.18554,0.168794,-0.128646
0.187112,0.16895,-0.128924
0.188684,0.169107,-0.129205
0.190257,0.169265,-0.129489
0.191829,0.169424,-0.129776
0.193401,0.169585,-0.130066
0.194974,0.169747,-0.130359
0.196546,0.16991,-0.130654
0.198118,0.170075,-0.130953
0.199691,0.170241,-0.131255
0.201263,0.170408,-0.131559
0.202836,0.170576,-0.131866
0.204408,0.170746,-0.132177
0.20598,0.170916,-0.132491
0.207553,0.171088,-0.132807
0.209125,0.171262,-0.133127
0.210697,0.171436,-0.133449
0.21227,0.171612,-0.133775
0.213842,0.171788,-0.134103
0.215415,0.171966,-0.134435
0.216987,0.172146,-0.13477
0.218559,0.172326,-0.135108
0.220132,0.172507,-0.135449
0.221704,0.17269,-0.135793
0.223276,0.172873,-0.13614
0.224849,0.173058,-0.136491
0.226421,0.173244,-0.136844
0.227993,0.173431,-0.137201
0.229566,0.173619,-0.137561
0.231138,0.173808,-0.137924
0.232711,0.173998,-0.13829
0.234283,0.174189,-0.138659
0.235855,0.174381,-0.139032
0.237428,0.174575,-0.139408
0.239,0.174769,-0.139787
0.240572,0.174964,-0.14017
0.242145,0.175161,-0.140556
0.243717,0.175358,-0.140945
0.24529,0.175556,-0.141337
0.246862,0.175756,-0.141733
0.248434,0.175956,-0.142132
0.250007,0.176157,-0.142535
