# 20240823_143413
# initdata:	data/init_comp_piplus_composed_consteps_20240822_145647/init8.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,130761,0
0.0100503,122870,0
0.0201005,101802,0
0.0301508,74051.2,0
0.040201,46916.9,0
0.0502513,25595,0
0.0603015,11920.4,0
0.0703518,4921.61,0
0.080402,2278.92,0
0.0904523,1670.86,0
0.100503,1524.2,0
0.110553,1179.44,0
0.120603,660.653,0
0.130653,252.556,0
0.140704,118.056,0
0.150754,166.928,0
0.160804,200.996,0
0.170854,131.034,0
0.180905,31.1714,0
0.190955,7.27924,0
0.201005,61.8984,0
0.211055,108.771,0
0.221106,90.0781,0
0.231156,37.9234,0
0.241206,17.147,0
0.251256,40.804,0
0.261307,65.3329,0
0.271357,54.9111,0
0.281407,22.2498,0
0.291457,1.52825,0
0.301508,2.61872,0
0.311558,7.8335,0
0.321608,4.21845,0
0.331658,0.0952486,0
0.341709,7.04204,0
0.351759,19.6684,0
0.361809,22.946,0
0.371859,13.4864,0
0.38191,3.27596,0
0.39196,2.68199,0
0.40201,8.20555,0
0.41206,10.153,0
0.422111,6.30572,0
0.432161,2.45375,0
0.442211,2.25762,0
0.452261,2.90336,0
0.462312,1.40653,0
0.472362,0.0493026,0
0.482412,2.50627,0
0.492462,7.39863,0
0.502513,9.46181,0
0.512563,6.49627,0
0.522613,1.95118,0
0.532663,0.0362612,0
0.542714,0.8515,0
0.552764,1.78818,0
0.562814,1.81932,0
0.572864,2.10958,0
0.582915,3.06304,0
0.592965,3.22717,0
0.603015,1.76159,0
0.613065,0.244522,0
0.623116,0.719518,0
0.633166,2.81472,0
0.643216,4.1626,0
0.653266,3.41951,0
0.663317,1.62592,0
0.673367,0.42825,0
0.683417,0.136026,0
0.693467,0.150526,0
0.703518,0.407849,0
0.713568,1.31518,0
0.723618,2.52508,0
0.733668,2.87335,0
0.743719,1.85923,0
0.753769,0.475907,0
0.763819,0.0644537,0
0.773869,0.751306,0
0.78392,1.53986,0
0.79397,1.68529,0
0.80402,1.35926,0
0.81407,0.988662,0
0.824121,0.604619,0
0.834171,0.161758,0
0.844221,0.0242822,0
0.854271,0.58917,0
0.864322,1.55143,0
0.874372,2.04077,0
0.884422,1.59727,0
0.894472,0.68239,0
0.904523,0.0777074,0
0.914573,0.0524335,0
0.924623,0.337289,0
0.934673,0.670565,0
0.944724,1.00045,0
0.954774,1.2095,0
0.964824,1.04562,0
0.974874,0.50781,0
0.984925,0.0523386,0
0.994975,0.152919,0
1.00503,0.728907,0
1.01508,1.21989,0
1.02513,1.21017,0
1.03518,0.798225,0
1.04523,0.343534,0
1.05528,0.0686029,0
1.06533,0.018415,0
1.07538,0.219001,0
1.08543,0.639795,0
1.09548,1.03876,0
1.10553,1.07694,0
1.11558,0.683805,0
1.12563,0.190908,0
1.13568,0.00208167,0
1.14573,0.193933,0
1.15578,0.518008,0
1.16583,0.720008,0
1.17588,0.731986,0
1.18593,0.589204,0
1.19598,0.334056,0
1.20603,0.0749658,0
1.21608,0.0137724,0
1.22613,0.266239,0
1.23618,0.672464,0
1.24623,0.898388,0
1.25628,0.760654,0
1.26633,0.394336,0
1.27638,0.0851265,0
1.28643,0.00403323,0
1.29648,0.135054,0
1.30653,0.374014,0
1.31658,0.599564,0
1.32663,0.679369,0
1.33668,0.53128,0
1.34673,0.235061,0
1.35678,0.0193033,0
1.36683,0.0627362,0
1.37688,0.314863,0
1.38693,0.551365,0
1.39698,0.595271,0
1.40704,0.448502,0
1.41709,0.22984,0
1.42714,0.0563031,0
1.43719,0.00380782,0
1.44724,0.109268,0
1.45729,0.333518,0
1.46734,0.535471,0
1.47739,0.557687,0
1.48744,0.373249,0
1.49749,0.126339,0
1.50754,0.0018556,0
1.51759,0.0672942,0
1.52764,0.24596,0
1.53769,0.409816,0
1.54774,0.467007,0
1.55779,0.38777,0
1.56784,0.210255,0
1.57789,0.042231,0
1.58794,0.0101591,0
1.59799,0.153846,0
1.60804,0.369733,0
1.61809,0.488756,0
1.62814,0.423871,0
1.63819,0.235623,0
1.64824,0.0611755,0
1.65829,0.000821701,0
1.66834,0.069209,0
1.67839,0.214899,0
1.68844,0.353027,0
1.69849,0.397114,0
1.70854,0.308961,0
1.71859,0.141607,0
1.72864,0.0153587,0
1.73869,0.0223333,0
1.74874,0.149786,0
1.75879,0.29695,0
1.76884,0.362303,0
1.77889,0.311948,0
1.78894,0.183622,0
1.79899,0.0536796,0
1.80905,0.000200521,0
1.8191,0.063841,0
1.82915,0.212,0
1.8392,0.34453,0
1.84925,0.362583,0
1.8593,0.251189,0
1.86935,0.0942464,0
1.8794,0.00394732,0
1.88945,0.0332742,0
1.8995,0.148113,0
1.90955,0.265682,0
1.9196,0.311792,0
1.92965,0.259082,0
1.9397,0.13945,0
1.94975,0.0293104,0
1.9598,0.00405448,0
1.96985,0.0824531,0
1.9799,0.20739,0
1.98995,0.288006,0
2,0.269594,0
