# 20240823_143510
alpha,Df0Re,Df0Im
0,0.137708,0
0.01,0.138152,-6.33617e-05
0.02,0.138395,-0.000184203
0.03,0.138593,-0.000358788
0.04,0.138826,-0.000585704
0.05,0.139126,-0.000865095
0.06,0.139502,-0.001198
0.07,0.139953,-0.0015859
0.08,0.140472,-0.00203051
0.09,0.141056,-0.00253364
0.1,0.141701,-0.00309716
0.11,0.142408,-0.00372302
0.12,0.143177,-0.00441332
0.13,0.144012,-0.00517039
0.14,0.144915,-0.00599684
0.15,0.145891,-0.0068956
0.16,0.146941,-0.00786994
0.17,0.148067,-0.0089235
0.18,0.149272,-0.0100603
0.19,0.150555,-0.0112846
0.2,0.151916,-0.0126011
0.21,0.153356,-0.0140147
0.22,0.154873,-0.0155309
0.23,0.156469,-0.0171552
0.24,0.158142,-0.0188935
0.25,0.159893,-0.0207523
0.26,0.161722,-0.0227379
0.27,0.163631,-0.0248575
0.28,0.165618,-0.0271182
0.29,0.167686,-0.0295275
0.3,0.169834,-0.0320932
0.31,0.172061,-0.0348232
0.32,0.174367,-0.0377254
0.33,0.176749,-0.0408078
0.34,0.179205,-0.0440783
0.35,0.181731,-0.0475446
0.36,0.184321,-0.051214
0.37,0.18697,-0.0550933
0.38,0.189671,-0.0591889
0.39,0.192417,-0.0635063
0.4,0.195197,-0.0680504
0.41,0.198003,-0.0728251
0.42,0.200824,-0.0778333
0.43,0.20365,-0.0830769
0.44,0.206467,-0.0885565
0.45,0.209265,-0.0942718
0.46,0.212031,-0.100221
0.47,0.21475,-0.1064
0.48,0.217409,-0.112805
0.49,0.219993,-0.119429
0.5,0.222487,-0.126264
0.51,0.224875,-0.1333
0.52,0.22714,-0.140525
0.53,0.229264,-0.147925
0.54,0.231229,-0.155483
0.55,0.233015,-0.163181
0.56,0.234604,-0.170996
0.57,0.235976,-0.178906
0.58,0.237109,-0.186884
0.59,0.237985,-0.194902
0.6,0.238582,-0.202928
0.61,0.238883,-0.21093
0.62,0.23887,-0.218873
0.63,0.238524,-0.226719
0.64,0.237832,-0.234433
0.65,0.236779,-0.241973
0.66,0.235355,-0.249303
0.67,0.233551,-0.256382
0.68,0.231359,-0.26317
0.69,0.228777,-0.269629
0.7,0.225801,-0.27572
0.71,0.222434,-0.281407
0.72,0.218678,-0.286652
0.73,0.21454,-0.291421
0.74,0.210027,-0.29568
0.75,0.205151,-0.299399
0.76,0.199925,-0.302547
0.77,0.194365,-0.305098
0.78,0.188489,-0.307029
0.79,0.182318,-0.308319
0.8,0.175877,-0.308954
0.81,0.169192,-0.30892
0.82,0.162291,-0.308213
0.83,0.155207,-0.306832
0.84,0.147974,-0.304785
0.85,0.140628,-0.302085
0.86,0.133206,-0.29875
0.87,0.125746,-0.29481
0.88,0.118288,-0.290297
0.89,0.110868,-0.28525
0.9,0.103525,-0.279713
0.91,0.096294,-0.273735
0.92,0.0892072,-0.267367
0.93,0.0822947,-0.260661
0.94,0.0755829,-0.253671
0.95,0.0690944,-0.246449
0.96,0.0628485,-0.239046
0.97,0.05686,-0.23151
0.98,0.0511406,-0.223886
0.99,0.0456984,-0.216217
1,0.0405382,-0.208541
1.01,0.0356624,-0.200893
1.02,0.0310704,-0.193308
1.03,0.0267599,-0.185813
1.04,0.0227261,-0.178438
1.05,0.0189629,-0.171206
1.06,0.0154623,-0.164142
1.07,0.0122152,-0.157265
1.08,0.00921098,-0.150592
1.09,0.00643821,-0.144138
1.1,0.00388466,-0.137912
1.11,0.00153761,-0.131921
1.12,-0.000615732,-0.126166
1.13,-0.00258808,-0.120646
1.14,-0.00439158,-0.115356
1.15,-0.00603774,-0.110286
1.16,-0.00753726,-0.105427
1.17,-0.00890001,-0.100769
1.18,-0.0101353,-0.096304
1.19,-0.0112519,-0.0920246
1.2,-0.0122586,-0.087927
1.21,-0.0131644,-0.0840104
1.22,-0.0139785,-0.0802762
1.23,-0.0147106,-0.076727
1.24,-0.0153704,-0.0733649
1.25,-0.0159674,-0.0701897
1.26,-0.0165099,-0.067197
1.27,-0.0170049,-0.0643773
1.28,-0.0174567,-0.0617155
1.29,-0.0178676,-0.059192
1.3,-0.0182375,-0.0567848
1.31,-0.018565,-0.0544727
1.32,-0.0188483,-0.0522389
1.33,-0.0190875,-0.0500739
1.34,-0.0192857,-0.0479777
1.35,-0.0194499,-0.0459598
1.36,-0.0195913,-0.0440367
1.37,-0.0197237,-0.0422274
1.38,-0.0198615,-0.0405477
1.39,-0.0200159,-0.0390049
1.4,-0.0201933,-0.0375946
1.41,-0.0203941,-0.0363024
1.42,-0.0206154,-0.0351102
1.43,-0.0208575,-0.0340075
1.44,-0.0211326,-0.0330033
1.45,-0.0214729,-0.0321346
1.46,-0.0219334,-0.0314638
1.47,-0.0225832,-0.0310616
1.48,-0.0234846,-0.0309763
1.49,-0.024665,-0.0312017
1.5,-0.0260999,-0.0316669
1.51,-0.0277387,-0.0322785
1.52,-0.0295992,-0.0330317
1.53,-0.0319231,-0.0341593
1.54,-0.0353018,-0.036212
1.55,-0.0406148,-0.0399279
1.56,-0.0488354,-0.045998
1.57,-0.0620721,-0.0560015
1.58,-0.0918548,-0.079419
