# 20240823_143608
alpha,field0Re,field0Im
0,0.0638984,0
0.00157237,0.0638957,5.42066e-06
0.00314474,0.0638932,1.05499e-05
0.00471711,0.0638906,1.5648e-05
0.00628947,0.063888,2.0975e-05
0.00786184,0.063885,2.67912e-05
0.00943421,0.0638818,3.33568e-05
0.0110066,0.0638779,4.09894e-05
0.0125789,0.0638735,4.99456e-05
0.0141513,0.0638684,6.00482e-05
0.0157237,0.0638629,7.10918e-05
0.0172961,0.063857,8.28707e-05
0.0188684,0.0638508,9.51797e-05
0.0204408,0.0638445,0.000107851
0.0220132,0.0638377,0.000121382
0.0235855,0.0638305,0.000135896
0.0251579,0.0638228,0.000151275
0.0267303,0.0638147,0.000167399
0.0283026,0.0638063,0.000184149
0.029875,0.0637977,0.000201406
0.0314474,0.0637887,0.000219315
0.0330197,0.0637793,0.000238139
0.0345921,0.0637694,0.000257798
0.0361645,0.0637592,0.000278211
0.0377368,0.0637486,0.000299297
0.0393092,0.0637377,0.000320974
0.0408816,0.0637266,0.000343232
0.042454,0.063715,0.000366338
0.0440263,0.063703,0.000390272
0.0455987,0.0636906,0.000414973
0.0471711,0.0636779,0.00044038
0.0487434,0.0636648,0.000466432
0.0503158,0.0636514,0.000493074
0.0518882,0.0636377,0.000520487
0.0534605,0.0636235,0.000548734
0.0550329,0.0636089,0.000577765
0.0566053,0.0635939,0.000607532
0.0581776,0.0635787,0.000637983
0.05975,0.063563,0.00066907
0.0613224,0.0635471,0.000700851
0.0628947,0.0635306,0.000733476
0.0644671,0.0635138,0.000766905
0.0660395,0.0634966,0.000801096
0.0676119,0.0634791,0.000836006
0.0691842,0.0634612,0.000871592
0.0707566,0.0634429,0.000907844
0.072329,0.0634242,0.000944923
0.0739013,0.0634051,0.000982827
0.0754737,0.0633856,0.00102152
0.0770461,0.0633658,0.00106096
0.0786184,0.0633455,0.00110111
0.0801908,0.0633249,0.00114193
0.0817632,0.0633039,0.00118355
0.0833355,0.0632825,0.001226
0.0849079,0.0632607,0.00126927
0.0864803,0.0632384,0.00131331
0.0880526,0.0632158,0.0013581
0.089625,0.0631928,0.00140359
0.0911974,0.0631694,0.00144981
0.0927698,0.0631456,0.0014969
0.0943421,0.0631214,0.00154482
0.0959145,0.0630967,0.00159353
0.0974869,0.0630717,0.00164302
0.0990592,0.0630462,0.00169324
0.100632,0.0630204,0.00174418
0.102204,0.0629941,0.00179596
0.103776,0.0629675,0.0018486
0.105349,0.0629403,0.00190206
0.106921,0.0629128,0.00195631
0.108493,0.0628849,0.00201133
0.110066,0.0628565,0.00206707
0.111638,0.0628278,0.00212363
0.113211,0.0627986,0.00218106
0.114783,0.062769,0.00223933
0.116355,0.0627389,0.00229842
0.117928,0.0627084,0.00235829
0.1195,0.0626775,0.00241893
0.121072,0.0626462,0.00248034
0.122645,0.0626145,0.00254264
0.124217,0.0625823,0.0026058
0.125789,0.0625496,0.00266979
0.127362,0.0625165,0.0027346
0.128934,0.062483,0.0028002
0.130507,0.0624491,0.00286657
0.132079,0.0624147,0.00293381
0.133651,0.0623799,0.00300192
0.135224,0.0623446,0.0030709
0.136796,0.0623088,0.00314072
0.138368,0.0622726,0.00321135
0.139941,0.062236,0.00328278
0.141513,0.0621989,0.00335504
0.143086,0.0621614,0.00342821
0.144658,0.0621233,0.00350226
0.14623,0.0620848,0.00357718
0.147803,0.0620459,0.00365294
0.149375,0.0620065,0.00372952
0.150947,0.0619666,0.00380692
0.15252,0.0619263,0.00388525
0.154092,0.0618855,0.00396448
0.155665,0.0618441,0.0040446
0.157237,0.0618024,0.00412559
0.158809,0.0617601,0.00420743
0.160382,0.0617174,0.0042901
0.161954,0.0616742,0.00437369
0.163526,0.0616305,0.00445821
0.165099,0.0615862,0.00454365
0.166671,0.0615415,0.00462999
0.168243,0.0614963,0.00471721
0.169816,0.0614506,0.00480529
0.171388,0.0614045,0.00489427
0.172961,0.0613577,0.00498421
