# 20240823_144308
# initdata:	data/init_comp_piplus_composed_consteps_20240822_145647/init17.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,110989,0
0.0100503,104484,0
0.0201005,87051.4,0
0.0301508,63913.3,0
0.040201,41018,0
0.0502513,22720.2,0
0.0603015,10715.5,0
0.0703518,4387.69,0
0.080402,1911.48,0
0.0904523,1337.39,0
0.100503,1258.97,0
0.110553,1024.26,0
0.120603,599.262,0
0.130653,226.748,0
0.140704,79.8926,0
0.150754,112.242,0
0.160804,156.407,0
0.170854,114.803,0
0.180905,32.0802,0
0.190955,0.637868,0
0.201005,38.1698,0
0.211055,80.1697,0
0.221106,71.6905,0
0.231156,30.218,0
0.241206,9.98116,0
0.251256,29.1655,0
0.261307,54.78,0
0.271357,52.0236,0
0.281407,25.3646,0
0.291457,3.72818,0
0.301508,0.842384,0
0.311558,5.18397,0
0.321608,3.91265,0
0.331658,0.771602,0
0.341709,5.44094,0
0.351759,15.616,0
0.361809,19.3546,0
0.371859,12.1784,0
0.38191,3.02478,0
0.39196,1.72223,0
0.40201,6.90723,0
0.41206,10.0764,0
0.422111,7.58567,0
0.432161,3.53247,0
0.442211,2.0629,0
0.452261,2.07391,0
0.462312,1.0097,0
0.472362,0.00665055,0
0.482412,1.9997,0
0.492462,6.33275,0
0.502513,8.66507,0
0.512563,6.50181,0
0.522613,2.30773,0
0.532663,0.0906766,0
0.542714,0.684059,0
0.552764,1.92746,0
0.562814,2.3175,0
0.572864,2.42733,0
0.582915,2.85577,0
0.592965,2.78744,0
0.603015,1.52177,0
0.613065,0.182298,0
0.623116,0.536209,0
0.633166,2.50191,0
0.643216,4.04339,0
0.653266,3.64463,0
0.663317,1.93649,0
0.673367,0.528769,0
0.683417,0.0788723,0
0.693467,0.175118,0
0.703518,0.539268,0
0.713568,1.34471,0
0.723618,2.35651,0
0.733668,2.67284,0
0.743719,1.80234,0
0.753769,0.509311,0
0.763819,0.0390052,0
0.773869,0.681965,0
0.78392,1.58007,0
0.79397,1.87256,0
0.80402,1.53831,0
0.81407,1.02132,0
0.824121,0.540293,0
0.834171,0.128227,0
0.844221,0.0341466,0
0.854271,0.55615,0
0.864322,1.46057,0
0.874372,1.98839,0
0.884422,1.64505,0
0.894472,0.765337,0
0.904523,0.106097,0
0.914573,0.0429208,0
0.924623,0.372481,0
0.934673,0.76095,0
0.944724,1.06477,0
0.954774,1.19374,0
0.964824,0.993218,0
0.974874,0.48296,0
0.984925,0.0496178,0
0.994975,0.130069,0
1.00503,0.696148,0
1.01508,1.23511,0
1.02513,1.28831,0
1.03518,0.879714,0
1.04523,0.372189,0
1.05528,0.0608086,0
1.06533,0.0249254,0
1.07538,0.246797,0
1.08543,0.652038,0
1.09548,1.02131,0
1.10553,1.06093,0
1.11558,0.694143,0
1.12563,0.208846,0
1.13568,0.00136959,0
1.14573,0.188932,0
1.15578,0.544552,0
1.16583,0.778733,0
1.17588,0.781261,0
1.18593,0.599468,0
1.19598,0.320937,0
1.20603,0.0680256,0
1.21608,0.0146591,0
1.22613,0.25899,0
1.23618,0.660751,0
1.24623,0.905437,0
1.25628,0.792361,0
1.26633,0.426175,0
1.27638,0.0955461,0
1.28643,0.00352258,0
1.29648,0.147787,0
1.30653,0.401732,0
1.31658,0.62133,0
1.32663,0.683124,0
1.33668,0.527429,0
1.34673,0.23565,0
1.35678,0.0205287,0
1.36683,0.0581701,0
1.37688,0.313994,0
1.38693,0.56979,0
1.39698,0.629972,0
1.40704,0.477471,0
1.41709,0.238622,0
1.42714,0.0535111,0
1.43719,0.005274,0
1.44724,0.11693,0
1.45729,0.338813,0
1.46734,0.537079,0
1.47739,0.563155,0
1.48744,0.384763,0
1.49749,0.135241,0
1.50754,0.00268706,0
1.51759,0.0683422,0
1.52764,0.258645,0
1.53769,0.432191,0
1.54774,0.485706,0
1.55779,0.394657,0
1.56784,0.209917,0
1.57789,0.0415639,0
1.58794,0.00979278,0
1.59799,0.15294,0
1.60804,0.37322,0
1.61809,0.502246,0
1.62814,0.443499,0
1.63819,0.24999,0
1.64824,0.0649096,0
1.65829,0.000667317,0
1.66834,0.074443,0
1.67839,0.226067,0
1.68844,0.363847,0
1.69849,0.404051,0
1.70854,0.313687,0
1.71859,0.145479,0
1.72864,0.0166172,0
1.73869,0.0217784,0
1.74874,0.15308,0
1.75879,0.308509,0
1.76884,0.37856,0
1.77889,0.324404,0
1.78894,0.188135,0
1.79899,0.053514,0
1.80905,0.000343851,0
1.8191,0.0657908,0
1.82915,0.21544,0
1.8392,0.350553,0
1.84925,0.371896,0
1.8593,0.260794,0
1.86935,0.0994912,0
1.8794,0.00446753,0
1.88945,0.0342962,0
1.8995,0.154533,0
1.90955,0.276666,0
1.9196,0.322445,0
1.92965,0.265922,0
1.9397,0.14251,0
1.94975,0.0300635,0
1.9598,0.00403313,0
1.96985,0.0840151,0
1.9799,0.213272,0
1.98995,0.298324,0
2,0.280426,0
