# 20240823_144502
alpha,f0Re,f0Im
0,0.0782593,-0.127797
0.00157237,0.0782574,-0.127797
0.00314474,0.0782556,-0.127797
0.00471711,0.0782538,-0.127797
0.00628947,0.0782519,-0.127797
0.00786184,0.0782498,-0.127797
0.00943421,0.0782475,-0.127797
0.0110066,0.0782448,-0.127797
0.0125789,0.0782416,-0.127797
0.0141513,0.0782381,-0.127797
0.0157237,0.0782341,-0.127797
0.0172961,0.07823,-0.127797
0.0188684,0.0782256,-0.127797
0.0204408,0.0782211,-0.127797
0.0220132,0.0782163,-0.127797
0.0235855,0.0782112,-0.127797
0.0251579,0.0782057,-0.127797
0.0267303,0.0782,-0.127797
0.0283026,0.0781941,-0.127797
0.029875,0.078188,-0.127797
0.0314474,0.0781816,-0.127797
0.0330197,0.0781749,-0.127797
0.0345921,0.078168,-0.127797
0.0361645,0.0781607,-0.127797
0.0377368,0.0781532,-0.127797
0.0393092,0.0781456,-0.127796
0.0408816,0.0781376,-0.127796
0.042454,0.0781294,-0.127796
0.0440263,0.0781209,-0.127796
0.0455987,0.0781122,-0.127796
0.0471711,0.0781031,-0.127796
0.0487434,0.0780939,-0.127796
0.0503158,0.0780844,-0.127796
0.0518882,0.0780746,-0.127796
0.0534605,0.0780646,-0.127796
0.0550329,0.0780542,-0.127796
0.0566053,0.0780436,-0.127795
0.0581776,0.0780328,-0.127795
0.05975,0.0780217,-0.127795
0.0613224,0.0780103,-0.127795
0.0628947,0.0779987,-0.127795
0.0644671,0.0779867,-0.127795
0.0660395,0.0779745,-0.127794
0.0676119,0.077962,-0.127794
0.0691842,0.0779493,-0.127794
0.0707566,0.0779363,-0.127794
0.072329,0.0779231,-0.127793
0.0739013,0.0779095,-0.127793
0.0754737,0.0778956,-0.127793
0.0770461,0.0778815,-0.127792
0.0786184,0.0778671,-0.127792
0.0801908,0.0778524,-0.127792
0.0817632,0.0778375,-0.127791
0.0833355,0.0778222,-0.127791
0.0849079,0.0778067,-0.127791
0.0864803,0.0777908,-0.12779
0.0880526,0.0777747,-0.12779
0.089625,0.0777583,-0.127789
0.0911974,0.0777417,-0.127789
0.0927698,0.0777247,-0.127788
0.0943421,0.0777074,-0.127788
0.0959145,0.0776898,-0.127787
0.0974869,0.0776719,-0.127786
0.0990592,0.0776538,-0.127786
0.100632,0.0776353,-0.127785
0.102204,0.0776166,-0.127784
0.103776,0.0775975,-0.127783
0.105349,0.0775781,-0.127783
0.106921,0.0775585,-0.127782
0.108493,0.0775385,-0.127781
0.110066,0.0775182,-0.12778
0.111638,0.0774977,-0.127779
0.113211,0.0774768,-0.127778
0.114783,0.0774555,-0.127777
0.116355,0.077434,-0.127776
0.117928,0.0774122,-0.127775
0.1195,0.07739,-0.127774
0.121072,0.0773676,-0.127773
0.122645,0.0773448,-0.127772
0.124217,0.0773217,-0.12777
0.125789,0.0772983,-0.127769
0.127362,0.0772745,-0.127768
0.128934,0.0772505,-0.127766
0.130507,0.0772261,-0.127765
0.132079,0.0772014,-0.127763
0.133651,0.0771764,-0.127762
0.135224,0.077151,-0.12776
0.136796,0.0771252,-0.127758
0.138368,0.0770992,-0.127757
0.139941,0.0770728,-0.127755
0.141513,0.0770461,-0.127753
0.143086,0.0770191,-0.127751
0.144658,0.0769917,-0.127749
0.14623,0.0769639,-0.127747
0.147803,0.0769358,-0.127745
0.149375,0.0769074,-0.127742
0.150947,0.0768786,-0.12774
0.15252,0.0768495,-0.127738
0.154092,0.07682,-0.127735
0.155665,0.0767901,-0.127733
0.157237,0.0767599,-0.12773
0.158809,0.0767293,-0.127728
0.160382,0.0766984,-0.127725
0.161954,0.0766671,-0.127722
0.163526,0.0766355,-0.127719
0.165099,0.0766034,-0.127716
0.166671,0.076571,-0.127713
0.168243,0.0765382,-0.12771
0.169816,0.076505,-0.127706
0.171388,0.0764715,-0.127703
0.172961,0.0764376,-0.1277
0.174533,0.0764033,-0.127696
0.176105,0.0763685,-0.127692
0.177678,0.0763334,-0.127689
0.17925,0.076298,-0.127685
0.180822,0.0762621,-0.127681
0.182395,0.0762258,-0.127677
0.183967,0.0761891,-0.127672
0.18554,0.076152,-0.127668
0.187112,0.0761145,-0.127664
0.188684,0.0760766,-0.127659
0.190257,0.0760382,-0.127654
0.191829,0.0759995,-0.127649
0.193401,0.0759603,-0.127644
0.194974,0.0759207,-0.127639
0.196546,0.0758807,-0.127634
0.198118,0.0758402,-0.127629
0.199691,0.0757993,-0.127623
0.201263,0.075758,-0.127618
0.202836,0.0757162,-0.127612
0.204408,0.075674,-0.127606
0.20598,0.0756313,-0.1276
0.207553,0.0755882,-0.127594
0.209125,0.0755446,-0.127587
0.210697,0.0755006,-0.127581
0.21227,0.075456,-0.127574
0.213842,0.0754111,-0.127567
0.215415,0.0753656,-0.12756
0.216987,0.0753197,-0.127553
0.218559,0.0752733,-0.127546
0.220132,0.0752264,-0.127538
0.221704,0.075179,-0.12753
0.223276,0.0751312,-0.127522
0.224849,0.0750828,-0.127514
0.226421,0.0750339,-0.127506
0.227993,0.0749846,-0.127497
0.229566,0.0749347,-0.127489
0.231138,0.0748843,-0.12748
0.232711,0.0748334,-0.127471
0.234283,0.074782,-0.127461
0.235855,0.07473,-0.127452
0.237428,0.0746775,-0.127442
0.239,0.0746245,-0.127432
0.240572,0.074571,-0.127422
0.242145,0.0745169,-0.127411
0.243717,0.0744623,-0.127401
0.24529,0.0744071,-0.12739
0.246862,0.0743513,-0.127379
0.248434,0.074295,-0.127367
0.250007,0.0742381,-0.127356
0.251579,0.0741807,-0.127344
0.253151,0.0741227,-0.127332
0.254724,0.074064,-0.127319
0.256296,0.0740048,-0.127306
0.257868,0.073945,-0.127294
0.259441,0.0738847,-0.12728
0.261013,0.0738237,-0.127267
0.262586,0.0737621,-0.127253
0.264158,0.0736999,-0.127239
0.26573,0.0736371,-0.127224
0.267303,0.0735736,-0.12721
0.268875,0.0735096,-0.127195
0.270447,0.0734449,-0.127179
0.27202,0.0733796,-0.127164
0.273592,0.0733136,-0.127148
0.275165,0.073247,-0.127131
0.276737,0.0731797,-0.127115
0.278309,0.0731117,-0.127098
0.279882,0.0730432,-0.12708
0.281454,0.0729739,-0.127063
0.283026,0.072904,-0.127045
0.284599,0.0728333,-0.127026
0.286171,0.072762,-0.127007
0.287743,0.07269,-0.126988
0.289316,0.0726172,-0.126969
0.290888,0.0725438,-0.126949
0.292461,0.0724697,-0.126929
0.294033,0.0723949,-0.126908
0.295605,0.0723193,-0.126887
0.297178,0.072243,-0.126865
0.29875,0.0721659,-0.126843
0.300322,0.0720882,-0.126821
0.301895,0.0720097,-0.126798
0.303467,0.0719304,-0.126775
