# 20240823_144502
alpha,urRe,urIm
0,0,0
0.00157237,0.00206045,0
0.00314474,0.00410598,0
0.00471711,0.00611324,0
0.00628947,0.0080937,0
0.00786184,0.0100502,0
0.00943421,0.0119849,0
0.0110066,0.0139004,0
0.0125789,0.0157983,0
0.0141513,0.0176809,0
0.0157237,0.0195497,0
0.0172961,0.0214065,0
0.0188684,0.0232525,0
0.0204408,0.0250893,0
0.0220132,0.0269178,0
0.0235855,0.0287396,0
0.0251579,0.0305552,0
0.0267303,0.0323659,0
0.0283026,0.0341722,0
0.029875,0.0359752,0
0.0314474,0.0377753,0
0.0330197,0.0395733,0
0.0345921,0.0413695,0
0.0361645,0.0431645,0
0.0377368,0.0449588,0
0.0393092,0.0467526,0
0.0408816,0.0485464,0
0.042454,0.0503403,0
0.0440263,0.0521347,0
0.0455987,0.0539297,0
0.0471711,0.0557254,0
0.0487434,0.0575222,0
0.0503158,0.0593199,0
0.0518882,0.0611189,0
0.0534605,0.062919,0
0.0550329,0.0647204,0
0.0566053,0.0665232,0
0.0581776,0.0683272,0
0.05975,0.0701326,0
0.0613224,0.0719392,0
0.0628947,0.0737472,0
0.0644671,0.0755565,0
0.0660395,0.077367,0
0.0676119,0.0791787,0
0.0691842,0.0809916,0
0.0707566,0.0828056,0
0.072329,0.0846207,0
0.0739013,0.0864368,0
0.0754737,0.0882539,0
0.0770461,0.0900719,0
0.0786184,0.0918907,0
0.0801908,0.0937104,0
0.0817632,0.0955308,0
0.0833355,0.0973519,0
0.0849079,0.0991737,0
0.0864803,0.100996,0
0.0880526,0.102819,0
0.089625,0.104643,0
0.0911974,0.106467,0
0.0927698,0.108291,0
0.0943421,0.110116,0
0.0959145,0.111941,0
0.0974869,0.113767,0
0.0990592,0.115593,0
0.100632,0.117419,0
0.102204,0.119246,0
0.103776,0.121073,0
0.105349,0.1229,0
0.106921,0.124727,0
0.108493,0.126555,0
0.110066,0.128383,0
0.111638,0.130212,0
0.113211,0.13204,0
0.114783,0.133869,0
0.116355,0.135698,0
0.117928,0.137528,0
0.1195,0.139358,0
0.121072,0.141188,0
0.122645,0.143019,0
0.124217,0.14485,0
0.125789,0.146681,0
0.127362,0.148513,0
0.128934,0.150345,0
0.130507,0.152177,0
0.132079,0.154011,0
0.133651,0.155844,0
0.135224,0.157679,0
0.136796,0.159513,0
