# 20240822_172429
alpha,Df0Re,Df0Im
0,0.137708,-0.112438
0.00157237,0.137781,-0.112503
0.00314474,0.137857,-0.112569
0.00471711,0.137933,-0.112636
0.00628947,0.138006,-0.112701
0.00786184,0.138074,-0.112762
0.00943421,0.138134,-0.112819
0.0110066,0.138183,-0.112869
0.0125789,0.138226,-0.112914
0.0141513,0.138266,-0.112956
0.0157237,0.138302,-0.112997
0.0172961,0.138337,-0.113036
0.0188684,0.138371,-0.113076
0.0204408,0.138405,-0.113117
0.0220132,0.138437,-0.113158
0.0235855,0.138468,-0.113198
0.0251579,0.138498,-0.113238
0.0267303,0.138528,-0.113279
0.0283026,0.138558,-0.113321
0.029875,0.138591,-0.113365
0.0314474,0.138625,-0.113411
0.0330197,0.138659,-0.113458
0.0345921,0.138694,-0.113507
0.0361645,0.138731,-0.113558
0.0377368,0.138769,-0.11361
0.0393092,0.138808,-0.113664
0.0408816,0.138849,-0.113721
0.042454,0.138893,-0.11378
0.0440263,0.138938,-0.113842
0.0455987,0.138985,-0.113905
0.0471711,0.139034,-0.113971
0.0487434,0.139084,-0.114039
0.0503158,0.139136,-0.114109
0.0518882,0.13919,-0.114182
0.0534605,0.139247,-0.114257
0.0550329,0.139305,-0.114335
0.0566053,0.139366,-0.114415
0.0581776,0.139428,-0.114497
0.05975,0.139492,-0.114581
0.0613224,0.139557,-0.114667
0.0628947,0.139625,-0.114756
0.0644671,0.139694,-0.114847
0.0660395,0.139766,-0.114941
0.0676119,0.139839,-0.115037
0.0691842,0.139913,-0.115135
0.0707566,0.139989,-0.115235
0.072329,0.140067,-0.115337
0.0739013,0.140147,-0.115441
0.0754737,0.140229,-0.115548
0.0770461,0.140312,-0.115657
0.0786184,0.140397,-0.115768
0.0801908,0.140483,-0.115881
0.0817632,0.14057,-0.115996
0.0833355,0.14066,-0.116114
0.0849079,0.140751,-0.116233
0.0864803,0.140844,-0.116355
0.0880526,0.140938,-0.116479
0.089625,0.141033,-0.116604
0.0911974,0.14113,-0.116732
0.0927698,0.141229,-0.116862
0.0943421,0.141329,-0.116994
0.0959145,0.14143,-0.117128
0.0974869,0.141534,-0.117265
0.0990592,0.141638,-0.117403
0.100632,0.141744,-0.117543
0.102204,0.141852,-0.117686
0.103776,0.141961,-0.117831
0.105349,0.142072,-0.117978
0.106921,0.142184,-0.118127
0.108493,0.142298,-0.118278
0.110066,0.142413,-0.118431
0.111638,0.142529,-0.118587
0.113211,0.142648,-0.118745
0.114783,0.142768,-0.118905
0.116355,0.142889,-0.119067
0.117928,0.143012,-0.119231
0.1195,0.143137,-0.119398
0.121072,0.143263,-0.119567
0.122645,0.143391,-0.119738
0.124217,0.143521,-0.119912
0.125789,0.143652,-0.120088
0.127362,0.143785,-0.120266
0.128934,0.14392,-0.120447
0.130507,0.144056,-0.120629
0.132079,0.144194,-0.120815
0.133651,0.144333,-0.121002
0.135224,0.144475,-0.121192
0.136796,0.144618,-0.121385
0.138368,0.144763,-0.12158
0.139941,0.14491,-0.121777
0.141513,0.145058,-0.121977
0.143086,0.145208,-0.12218
0.144658,0.14536,-0.122385
0.14623,0.145514,-0.122592
0.147803,0.14567,-0.122803
0.149375,0.145828,-0.123015
0.150947,0.145987,-0.12323
0.15252,0.146148,-0.123448
0.154092,0.146311,-0.123668
0.155665,0.146476,-0.123892
0.157237,0.146643,-0.124117
0.158809,0.146812,-0.124346
0.160382,0.146982,-0.124577
0.161954,0.147155,-0.12481
0.163526,0.147329,-0.125047
0.165099,0.147506,-0.125286
0.166671,0.147684,-0.125528
0.168243,0.147864,-0.125772
0.169816,0.148046,-0.126019
0.171388,0.14823,-0.126269
0.172961,0.148416,-0.126522
0.174533,0.148604,-0.126778
0.176105,0.148794,-0.127036
0.177678,0.148985,-0.127297
0.17925,0.149179,-0.127561
0.180822,0.149374,-0.127828
0.182395,0.149572,-0.128098
0.183967,0.149771,-0.12837
0.18554,0.149973,-0.128646
0.187112,0.150176,-0.128924
0.188684,0.150382,-0.129205
0.190257,0.150589,-0.129489
0.191829,0.150798,-0.129776
0.193401,0.151009,-0.130066
0.194974,0.151222,-0.130359
0.196546,0.151437,-0.130654
0.198118,0.151654,-0.130953
0.199691,0.151873,-0.131255
0.201263,0.152094,-0.131559
0.202836,0.152316,-0.131866
0.204408,0.152541,-0.132177
0.20598,0.152768,-0.132491
0.207553,0.152996,-0.132807
0.209125,0.153227,-0.133127
0.210697,0.153459,-0.133449
0.21227,0.153693,-0.133775
0.213842,0.15393,-0.134103
0.215415,0.154168,-0.134435
0.216987,0.154408,-0.13477
0.218559,0.15465,-0.135108
0.220132,0.154894,-0.135449
0.221704,0.15514,-0.135793
0.223276,0.155387,-0.13614
0.224849,0.155637,-0.136491
0.226421,0.155889,-0.136844
0.227993,0.156142,-0.137201
0.229566,0.156398,-0.137561
0.231138,0.156655,-0.137924
0.232711,0.156914,-0.13829
0.234283,0.157176,-0.138659
0.235855,0.157439,-0.139032
0.237428,0.157704,-0.139408
0.239,0.157971,-0.139787
0.240572,0.15824,-0.14017
0.242145,0.158511,-0.140556
0.243717,0.158783,-0.140945
0.24529,0.159058,-0.141337
0.246862,0.159335,-0.141733
0.248434,0.159613,-0.142132
0.250007,0.159894,-0.142535
0.251579,0.160176,-0.142941
0.253151,0.160461,-0.14335
0.254724,0.160747,-0.143763
0.256296,0.161035,-0.144179
0.257868,0.161326,-0.144599
0.259441,0.161618,-0.145022
0.261013,0.161912,-0.145449
0.262586,0.162208,-0.145879
0.264158,0.162506,-0.146313
0.26573,0.162806,-0.14675
0.267303,0.163108,-0.147191
0.268875,0.163412,-0.147635
0.270447,0.163718,-0.148083
0.27202,0.164026,-0.148535
0.273592,0.164335,-0.14899
0.275165,0.164647,-0.149449
0.276737,0.164961,-0.149912
0.278309,0.165277,-0.150378
0.279882,0.165594,-0.150848
0.281454,0.165914,-0.151322
0.283026,0.166236,-0.151799
0.284599,0.166559,-0.152281
0.286171,0.166885,-0.152766
0.287743,0.167213,-0.153255
0.289316,0.167542,-0.153748
0.290888,0.167874,-0.154244
0.292461,0.168207,-0.154744
0.294033,0.168543,-0.155249
0.295605,0.16888,-0.155757
0.297178,0.16922,-0.156269
0.29875,0.169561,-0.156785
0.300322,0.169905,-0.157305
0.301895,0.17025,-0.157829
0.303467,0.170597,-0.158357
0.30504,0.170947,-0.158889
0.306612,0.171298,-0.159425
0.308184,0.171651,-0.159964
0.309757,0.172006,-0.160508
0.311329,0.172363,-0.161056
0.312901,0.172722,-0.161608
0.314474,0.173083,-0.162164
0.316046,0.173446,-0.162724
0.317618,0.173811,-0.163289
0.319191,0.174178,-0.163857
0.320763,0.174546,-0.164429
0.322336,0.174917,-0.165006
0.323908,0.175289,-0.165587
0.32548,0.175663,-0.166172
0.327053,0.176039,-0.166761
0.328625,0.176417,-0.167354
0.330197,0.176797,-0.167951
0.33177,0.177178,-0.168552
0.333342,0.177562,-0.169158
0.334915,0.177947,-0.169768
0.336487,0.178334,-0.170382
0.338059,0.178723,-0.171
0.339632,0.179113,-0.171623
0.341204,0.179505,-0.172249
0.342776,0.179899,-0.17288
0.344349,0.180295,-0.173515
0.345921,0.180692,-0.174154
0.347493,0.181091,-0.174798
0.349066,0.181492,-0.175446
0.350638,0.181894,-0.176097
0.352211,0.182298,-0.176753
0.353783,0.182703,-0.177414
0.355355,0.18311,-0.178078
0.356928,0.183519,-0.178747
0.3585,0.183929,-0.17942
0.360072,0.18434,-0.180097
0.361645,0.184753,-0.180778
0.363217,0.185167,-0.181464
0.36479,0.185583,-0.182154
0.366362,0.186,-0.182848
0.367934,0.186419,-0.183546
0.369507,0.186838,-0.184248
0.371079,0.187259,-0.184954
0.372651,0.187682,-0.185664
0.374224,0.188105,-0.186379
0.375796,0.18853,-0.187098
0.377368,0.188956,-0.18782
0.378941,0.189383,-0.188547
0.380513,0.189811,-0.189278
0.382086,0.19024,-0.190013
0.383658,0.190671,-0.190752
0.38523,0.191102,-0.191495
0.386803,0.191535,-0.192242
0.388375,0.191968,-0.192993
0.389947,0.192402,-0.193748
0.39152,0.192837,-0.194506
0.393092,0.193273,-0.195269
0.394665,0.19371,-0.196036
0.396237,0.194147,-0.196807
0.397809,0.194586,-0.197582
0.399382,0.195024,-0.19836
0.400954,0.195464,-0.199142
0.402526,0.195904,-0.199928
0.404099,0.196345,-0.200717
0.405671,0.196786,-0.201511
0.407243,0.197228,-0.202308
0.408816,0.19767,-0.203109
0.410388,0.198112,-0.203913
0.411961,0.198555,-0.204721
0.413533,0.198998,-0.205533
0.415105,0.199442,-0.206349
0.416678,0.199886,-0.207168
0.41825,0.20033,-0.20799
0.419822,0.200774,-0.208816
0.421395,0.201218,-0.209645
0.422967,0.201662,-0.210478
0.42454,0.202107,-0.211314
0.426112,0.202551,-0.212154
0.427684,0.202996,-0.212997
0.429257,0.20344,-0.213843
0.430829,0.203883,-0.214692
