# 20240822_172457
alpha,Df0Re,Df0Im
0,0.112438,-0.224877
0.01,0.112814,-0.225565
0.02,0.113038,-0.225892
0.03,0.113237,-0.226115
0.04,0.113475,-0.226364
0.05,0.113778,-0.226692
0.06,0.114156,-0.227114
0.07,0.114606,-0.227626
0.08,0.115124,-0.228218
0.09,0.115707,-0.228881
0.1,0.116353,-0.229609
0.11,0.117062,-0.230402
0.12,0.117836,-0.231259
0.13,0.118678,-0.232185
0.14,0.11959,-0.233183
0.15,0.120576,-0.234257
0.16,0.12164,-0.23541
0.17,0.122782,-0.236641
0.18,0.124006,-0.237952
0.19,0.125312,-0.23934
0.2,0.126702,-0.240803
0.21,0.128176,-0.242338
0.22,0.129736,-0.24394
0.23,0.131381,-0.245608
0.24,0.133115,-0.247336
0.25,0.134937,-0.249122
0.26,0.136851,-0.250963
0.27,0.138857,-0.252856
0.28,0.140958,-0.254797
0.29,0.143155,-0.256783
0.3,0.145451,-0.258809
0.31,0.147846,-0.26087
0.32,0.150342,-0.26296
0.33,0.152939,-0.26507
0.34,0.155635,-0.267192
0.35,0.15843,-0.269315
0.36,0.16132,-0.271427
0.37,0.164303,-0.273513
0.38,0.167374,-0.27556
0.39,0.170528,-0.27755
0.4,0.173758,-0.279467
0.41,0.177058,-0.281292
0.42,0.18042,-0.283008
0.43,0.183835,-0.284594
0.44,0.187294,-0.286032
0.45,0.190786,-0.287301
0.46,0.194301,-0.288382
0.47,0.197827,-0.289255
0.48,0.201352,-0.289899
0.49,0.204862,-0.290295
0.5,0.208343,-0.290422
0.51,0.211779,-0.290259
0.52,0.215155,-0.289786
0.53,0.218453,-0.288982
0.54,0.221655,-0.287827
0.55,0.22474,-0.2863
0.56,0.227689,-0.284383
0.57,0.23048,-0.282055
0.58,0.233092,-0.2793
0.59,0.235501,-0.276101
0.6,0.237685,-0.272443
0.61,0.239622,-0.268314
0.62,0.241289,-0.263706
0.63,0.242665,-0.258612
0.64,0.24373,-0.253028
0.65,0.244464,-0.246956
0.66,0.244851,-0.240399
0.67,0.244873,-0.233365
0.68,0.244518,-0.225867
0.69,0.243775,-0.217921
0.7,0.242633,-0.209545
0.71,0.241085,-0.200763
0.72,0.239127,-0.191601
0.73,0.236755,-0.18209
0.74,0.233971,-0.172262
0.75,0.230776,-0.162152
0.76,0.227174,-0.1518
0.77,0.223173,-0.141247
0.78,0.218783,-0.130537
0.79,0.214018,-0.119716
0.8,0.208893,-0.108831
0.81,0.203427,-0.0979332
0.82,0.197643,-0.087073
0.83,0.191568,-0.0763023
0.84,0.185229,-0.0656729
0.85,0.17866,-0.0552357
0.86,0.171896,-0.0450402
0.87,0.164972,-0.0351334
0.88,0.157928,-0.0255593
0.89,0.150804,-0.0163576
0.9,0.143638,-0.00756327
0.91,0.136471,0.00079398
0.92,0.129339,0.00868998
0.93,0.122278,0.0161066
0.94,0.11532,0.0230312
0.95,0.108496,0.0294571
0.96,0.101832,0.0353826
0.97,0.0953499,0.0408107
0.98,0.0890689,0.0457489
0.99,0.0830046,0.0502082
1,0.0771692,0.0542028
1.01,0.0715721,0.0577499
1.02,0.0662197,0.0608688
1.03,0.0611164,0.063581
1.04,0.0562642,0.0659099
1.05,0.0516634,0.0678801
1.06,0.0473124,0.0695179
1.07,0.0432077,0.0708499
1.08,0.0393447,0.0719032
1.09,0.0357167,0.0727047
1.1,0.0323161,0.0732801
1.11,0.0291337,0.0736539
1.12,0.0261594,0.0738479
1.13,0.0233825,0.0738818
1.14,0.0207919,0.0737723
1.15,0.0183764,0.0735333
1.16,0.0161253,0.0731767
1.17,0.0140283,0.072713
1.18,0.0120761,0.0721522
1.19,0.01026,0.0715049
1.2,0.00857213,0.0707832
1.21,0.00700488,0.0700011
1.22,0.00555102,0.0691746
1.23,0.00420323,0.0683209
1.24,0.00295399,0.0674573
1.25,0.00179557,0.0665989
1.26,0.000720162,0.065757
1.27,-0.000279805,0.0649373
1.28,-0.00121126,0.0641383
1.29,-0.00208005,0.0633524
1.3,-0.00289078,0.0625666
1.31,-0.0036467,0.0617664
1.32,-0.00435011,0.0609394
1.33,-0.00500295,0.0600801
1.34,-0.00560772,0.0591935
1.35,-0.00616821,0.0582966
1.36,-0.00669004,0.0574171
1.37,-0.00718055,0.0565888
1.38,-0.00764799,0.055844
1.39,-0.00810016,0.0552055
1.4,-0.00854305,0.0546809
1.41,-0.00898004,0.0542627
1.42,-0.00941266,0.0539358
1.43,-0.00984336,0.0536945
1.44,-0.0102802,0.053564
1.45,-0.0107416,0.0536182
1.46,-0.0112593,0.0539828
1.47,-0.0118749,0.0548117
1.48,-0.012629,0.0562345
1.49,-0.0135451,0.0582922
1.5,-0.0146184,0.060904
1.51,-0.0158272,0.0639332
1.52,-0.0171871,0.0674063
1.53,-0.0188464,0.0718523
1.54,-0.0211712,0.0785548
1.55,-0.024724,0.0893762
1.56,-0.0301533,0.106305
1.57,-0.038847,0.133696
1.58,-0.058214,0.195851
