# 20240823_145310
# initdata:	data/init_comp_piplus_constfield_20240822_174903/init6.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,184276,0
0.0100503,173721,0
0.0201005,146139,0
0.0301508,111162,0
0.040201,78328.1,0
0.0502513,52807.9,0
0.0603015,34964.2,0
0.0703518,22703,0
0.080402,14002.1,0
0.0904523,7965.52,0
0.100503,4440.08,0
0.110553,3130.33,0
0.120603,3128.25,0
0.130653,3242.05,0
0.140704,2765.82,0
0.150754,1878.58,0
0.160804,1217.8,0
0.170854,1085.88,0
0.180905,1168.13,0
0.190955,1006.93,0
0.201005,567.276,0
0.211055,198.692,0
0.221106,135.127,0
0.231156,232.209,0
0.241206,232.265,0
0.251256,119.174,0
0.261307,79.247,0
0.271357,189.05,0
0.281407,303.355,0
0.291457,272.345,0
0.301508,143,0
0.311558,68.9227,0
0.321608,92.7444,0
0.331658,117.514,0
0.341709,73.0464,0
0.351759,11.8176,0
0.361809,11.4569,0
0.371859,55.7736,0
0.38191,71.0129,0
0.39196,42.553,0
0.40201,28.541,0
0.41206,61.7005,0
0.422111,97.9274,0
0.432161,84.4967,0
0.442211,36.2773,0
0.452261,8.0726,0
0.462312,15.2428,0
0.472362,23.4047,0
0.482412,11.137,0
0.492462,1.55164,0
0.502513,18.8797,0
0.512563,45.653,0
0.522613,48.2683,0
0.532663,27.6672,0
0.542714,15.8317,0
0.552764,26.5746,0
0.562814,37.5075,0
0.572864,27.1831,0
0.582915,6.90603,0
0.592965,0.641695,0
0.603015,8.90096,0
0.613065,12.5871,0
0.623116,6.20119,0
0.633166,5.64089,0
0.643216,20.0082,0
0.653266,34.3033,0
0.663317,30.6702,0
0.673367,14.5064,0
0.683417,5.53563,0
0.693467,9.22443,0
0.703518,12.3062,0
0.713568,6.24243,0
0.723618,0.107839,0
0.733668,4.27414,0
0.743719,13.0301,0
0.753769,13.8838,0
0.763819,7.55075,0
0.773869,6.45736,0
0.78392,14.5997,0
0.79397,20.8228,0
0.80402,15.6126,0
0.81407,4.95414,0
0.824121,0.638749,0
0.834171,3.36313,0
0.844221,4.43376,0
0.854271,1.29881,0
0.864322,1.28122,0
0.874372,8.36302,0
0.884422,15.2072,0
0.894472,13.5749,0
0.904523,6.66831,0
0.914573,4.12037,0
0.924623,7.69956,0
0.934673,9.71589,0
0.944724,5.60807,0
0.954774,0.606557,0
0.964824,0.89448,0
0.974874,4.18528,0
0.984925,4.38858,0
0.994975,1.96392,0
1.00503,2.99895,0
1.01508,8.72828,0
1.02513,12.5499,0
1.03518,9.49492,0
1.04523,3.44316,0
1.05528,1.16727,0
1.06533,2.81153,0
1.07538,3.21263,0
1.08543,0.9213,0
1.09548,0.232428,0
1.10553,3.54191,0
1.11558,6.88283,0
1.12563,5.9554,0
1.13568,2.93065,0
1.14573,3.0907,0
1.15578,6.5824,0
1.16583,8.13896,0
1.17588,5.05097,0
1.18593,0.988498,0
1.19598,0.207405,0
1.20603,1.59844,0
1.21608,1.54925,0
1.22613,0.294117,0
1.23618,1.33094,0
1.24623,5.10885,0
1.25628,7.468,0
1.26633,5.59875,0
1.27638,2.23137,0
1.28643,1.54003,0
1.29648,3.17377,0
1.30653,3.45733,0
1.31658,1.40921,0
1.32663,0.0258608,0
1.33668,1.22298,0
1.34673,2.83012,0
1.35678,2.32738,0
1.36683,1.06904,0
1.37688,2.09103,0
1.38693,5.00329,0
1.39698,6.15648,0
1.40704,3.93449,0
1.41709,1.02465,0
1.42714,0.36051,0
1.43719,1.18534,0
1.44724,1.05817,0
1.45729,0.0949436,0
1.46734,0.560885,0
1.47739,2.7493,0
1.48744,4.06574,0
1.49749,2.93553,0
1.50754,1.30516,0
1.51759,1.69384,0
1.52764,3.36827,0
1.53769,3.55438,0
1.54774,1.68843,0
1.55779,0.104533,0
1.56784,0.36376,0
1.57789,1.13944,0
1.58794,0.797707,0
1.59799,0.23359,0
1.60804,1.31562,0
1.61809,3.5156,0
1.62814,4.27285,0
1.63819,2.68682,0
1.64824,0.830015,0
1.65829,0.684633,0
1.66834,1.46925,0
1.67839,1.30239,0
1.68844,0.298628,0
1.69849,0.191043,0
1.70854,1.32876,0
1.71859,2.03513,0
1.72864,1.35106,0
1.73869,0.671116,0
1.74874,1.55483,0
1.75879,3.14071,0
1.76884,3.27883,0
1.77889,1.67369,0
1.78894,0.229348,0
1.79899,0.209584,0
1.80905,0.675192,0
1.8191,0.409845,0
1.82915,0.00559818,0
1.8392,0.746004,0
1.84925,2.22492,0
1.8593,2.68121,0
1.86935,1.62713,0
1.8794,0.623149,0
1.88945,0.949493,0
1.8995,1.77404,0
1.90955,1.58183,0
1.9196,0.520446,0
1.92965,0.0305461,0
1.9397,0.529291,0
1.94975,0.901491,0
1.9598,0.498051,0
1.96985,0.289311,0
1.9799,1.24947,0
1.98995,2.57039,0
2,2.64372,0
