# 20240823_131202
alpha,Df0Re,Df0Im
0,-0.159012,0
0.00157237,-0.159086,0
0.00314474,-0.159166,0
0.00471711,-0.159246,0
0.00628947,-0.159322,0
0.00786184,-0.159388,0
0.00943421,-0.15944,0
0.0110066,-0.159475,0
0.0125789,-0.159506,0
0.0141513,-0.159534,0
0.0157237,-0.159557,0
0.0172961,-0.159577,0
0.0188684,-0.159592,0
0.0204408,-0.159602,0
0.0220132,-0.159609,0
0.0235855,-0.159616,0
0.0251579,-0.159621,0
0.0267303,-0.159626,0
0.0283026,-0.15963,0
0.029875,-0.159633,0
0.0314474,-0.159636,0
0.0330197,-0.159639,0
0.0345921,-0.159641,0
0.0361645,-0.159643,0
0.0377368,-0.159645,0
0.0393092,-0.159648,0
0.0408816,-0.159651,0
0.042454,-0.159655,0
0.0440263,-0.15966,0
0.0455987,-0.159666,0
0.0471711,-0.159672,0
0.0487434,-0.159678,0
0.0503158,-0.159685,0
0.0518882,-0.159693,0
0.0534605,-0.159702,0
0.0550329,-0.159712,0
0.0566053,-0.159722,0
0.0581776,-0.159734,0
0.05975,-0.159745,0
0.0613224,-0.159757,0
0.0628947,-0.15977,0
0.0644671,-0.159783,0
0.0660395,-0.159797,0
0.0676119,-0.159812,0
0.0691842,-0.159827,0
0.0707566,-0.159842,0
0.072329,-0.159857,0
0.0739013,-0.159873,0
0.0754737,-0.15989,0
0.0770461,-0.159907,0
0.0786184,-0.159924,0
0.0801908,-0.159941,0
0.0817632,-0.159958,0
0.0833355,-0.159976,0
0.0849079,-0.159993,0
0.0864803,-0.160011,0
0.0880526,-0.160029,0
0.089625,-0.160047,0
0.0911974,-0.160066,0
0.0927698,-0.160084,0
0.0943421,-0.160102,0
0.0959145,-0.16012,0
0.0974869,-0.160139,0
0.0990592,-0.160157,0
0.100632,-0.160176,0
0.102204,-0.160194,0
0.103776,-0.160213,0
0.105349,-0.160231,0
0.106921,-0.16025,0
0.108493,-0.160268,0
0.110066,-0.160287,0
0.111638,-0.160305,0
0.113211,-0.160324,0
0.114783,-0.160343,0
0.116355,-0.160361,0
0.117928,-0.16038,0
0.1195,-0.160398,0
0.121072,-0.160417,0
0.122645,-0.160436,0
0.124217,-0.160454,0
0.125789,-0.160473,0
0.127362,-0.160492,0
0.128934,-0.160511,0
0.130507,-0.16053,0
0.132079,-0.160549,0
0.133651,-0.160568,0
0.135224,-0.160587,0
0.136796,-0.160606,0
0.138368,-0.160625,0
0.139941,-0.160644,0
0.141513,-0.160664,0
0.143086,-0.160683,0
0.144658,-0.160703,0
0.14623,-0.160722,0
0.147803,-0.160742,0
0.149375,-0.160761,0
0.150947,-0.160781,0
0.15252,-0.160801,0
0.154092,-0.16082,0
0.155665,-0.16084,0
0.157237,-0.16086,0
0.158809,-0.16088,0
0.160382,-0.1609,0
0.161954,-0.160919,0
0.163526,-0.160939,0
0.165099,-0.160959,0
0.166671,-0.160979,0
0.168243,-0.160999,0
0.169816,-0.161018,0
0.171388,-0.161038,0
0.172961,-0.161058,0
0.174533,-0.161077,0
0.176105,-0.161096,0
0.177678,-0.161116,0
0.17925,-0.161135,0
0.180822,-0.161153,0
0.182395,-0.161172,0
0.183967,-0.161191,0
0.18554,-0.161209,0
0.187112,-0.161227,0
0.188684,-0.161245,0
0.190257,-0.161262,0
0.191829,-0.161279,0
0.193401,-0.161296,0
0.194974,-0.161313,0
0.196546,-0.161329,0
0.198118,-0.161345,0
0.199691,-0.16136,0
0.201263,-0.161375,0
0.202836,-0.161389,0
0.204408,-0.161403,0
0.20598,-0.161417,0
0.207553,-0.16143,0
0.209125,-0.161442,0
0.210697,-0.161454,0
0.21227,-0.161465,0
0.213842,-0.161475,0
0.215415,-0.161486,0
0.216987,-0.161495,0
0.218559,-0.161503,0
0.220132,-0.16151,0
0.221704,-0.161517,0
0.223276,-0.161523,0
0.224849,-0.16153,0
0.226421,-0.161535,0
0.227993,-0.161538,0
0.229566,-0.16154,0
0.231138,-0.16154,0
0.232711,-0.16154,0
0.234283,-0.161539,0
0.235855,-0.161538,0
0.237428,-0.161536,0
0.239,-0.161534,0
0.240572,-0.161532,0
0.242145,-0.161528,0
0.243717,-0.161521,0
0.24529,-0.161513,0
0.246862,-0.161503,0
0.248434,-0.161493,0
0.250007,-0.161482,0
0.251579,-0.16147,0
0.253151,-0.161456,0
0.254724,-0.161441,0
0.256296,-0.161424,0
0.257868,-0.161406,0
0.259441,-0.161387,0
0.261013,-0.161367,0
0.262586,-0.161345,0
0.264158,-0.161321,0
0.26573,-0.161295,0
0.267303,-0.161268,0
0.268875,-0.16124,0
0.270447,-0.161211,0
0.27202,-0.16118,0
0.273592,-0.161146,0
0.275165,-0.161111,0
0.276737,-0.161074,0
0.278309,-0.161036,0
0.279882,-0.160996,0
0.281454,-0.160955,0
0.283026,-0.160911,0
0.284599,-0.160865,0
0.286171,-0.160817,0
0.287743,-0.160768,0
0.289316,-0.160716,0
0.290888,-0.160663,0
0.292461,-0.160608,0
0.294033,-0.16055,0
0.295605,-0.16049,0
0.297178,-0.160428,0
0.29875,-0.160364,0
0.300322,-0.160298,0
0.301895,-0.16023,0
0.303467,-0.160159,0
0.30504,-0.160086,0
0.306612,-0.16001,0
0.308184,-0.159932,0
0.309757,-0.159852,0
0.311329,-0.159769,0
0.312901,-0.159684,0
0.314474,-0.159595,0
0.316046,-0.159504,0
0.317618,-0.159411,0
0.319191,-0.159315,0
0.320763,-0.159216,0
0.322336,-0.159115,0
0.323908,-0.15901,0
0.32548,-0.158902,0
0.327053,-0.158792,0
0.328625,-0.158679,0
0.330197,-0.158562,0
0.33177,-0.158443,0
0.333342,-0.158321,0
0.334915,-0.158194,0
0.336487,-0.158065,0
0.338059,-0.157933,0
0.339632,-0.157797,0
0.341204,-0.157659,0
0.342776,-0.157516,0
0.344349,-0.15737,0
0.345921,-0.15722,0
0.347493,-0.157067,0
0.349066,-0.15691,0
0.350638,-0.15675,0
0.352211,-0.156586,0
0.353783,-0.156417,0
0.355355,-0.156245,0
0.356928,-0.156069,0
0.3585,-0.155889,0
0.360072,-0.155705,0
0.361645,-0.155517,0
0.363217,-0.155325,0
0.36479,-0.155128,0
0.366362,-0.154927,0
0.367934,-0.154722,0
0.369507,-0.154513,0
0.371079,-0.154299,0
0.372651,-0.15408,0
0.374224,-0.153857,0
0.375796,-0.153629,0
0.377368,-0.153396,0
0.378941,-0.153159,0
0.380513,-0.152918,0
0.382086,-0.152671,0
0.383658,-0.152419,0
0.38523,-0.152162,0
0.386803,-0.1519,0
0.388375,-0.151633,0
0.389947,-0.151361,0
0.39152,-0.151084,0
0.393092,-0.150801,0
0.394665,-0.150512,0
0.396237,-0.150219,0
0.397809,-0.149919,0
0.399382,-0.149615,0
0.400954,-0.149305,0
0.402526,-0.148989,0
0.404099,-0.148668,0
0.405671,-0.14834,0
0.407243,-0.148006,0
0.408816,-0.147667,0
0.410388,-0.147323,0
0.411961,-0.146972,0
0.413533,-0.146615,0
0.415105,-0.146251,0
0.416678,-0.145881,0
0.41825,-0.145505,0
0.419822,-0.145124,0
0.421395,-0.144736,0
0.422967,-0.144341,0
0.42454,-0.143939,0
0.426112,-0.143531,0
0.427684,-0.143116,0
0.429257,-0.142695,0
0.430829,-0.142268,0
0.432401,-0.141833,0
0.433974,-0.141392,0
0.435546,-0.140943,0
0.437118,-0.140488,0
0.438691,-0.140026,0
0.440263,-0.139557,0
0.441836,-0.139081,0
0.443408,-0.138598,0
0.44498,-0.138107,0
0.446553,-0.137609,0
0.448125,-0.137104,0
0.449697,-0.136592,0
0.45127,-0.136072,0
0.452842,-0.135545,0
0.454415,-0.13501,0
0.455987,-0.134468,0
0.457559,-0.133918,0
0.459132,-0.133361,0
0.460704,-0.132797,0
0.462276,-0.132224,0
0.463849,-0.131644,0
0.465421,-0.131055,0
0.466994,-0.130459,0
0.468566,-0.129855,0
0.470138,-0.129244,0
0.471711,-0.128625,0
0.473283,-0.127997,0
0.474855,-0.127361,0
0.476428,-0.126717,0
0.478,-0.126065,0
0.479572,-0.125405,0
0.481145,-0.124738,0
0.482717,-0.124062,0
0.48429,-0.123377,0
0.485862,-0.122683,0
0.487434,-0.121982,0
0.489007,-0.121273,0
0.490579,-0.120555,0
0.492151,-0.119829,0
0.493724,-0.119095,0
0.495296,-0.118351,0
0.496869,-0.117599,0
0.498441,-0.116839,0
0.500013,-0.11607,0
0.501586,-0.115294,0
0.503158,-0.114508,0
0.50473,-0.113713,0
0.506303,-0.112909,0
0.507875,-0.112097,0
0.509447,-0.111277,0
0.51102,-0.110448,0
0.512592,-0.10961,0
0.514165,-0.108763,0
0.515737,-0.107907,0
0.517309,-0.107042,0
0.518882,-0.106169,0
0.520454,-0.105288,0
0.522026,-0.104397,0
0.523599,-0.103497,0
0.525171,-0.102588,0
0.526744,-0.10167,0
0.528316,-0.100744,0
0.529888,-0.0998089,0
0.531461,-0.0988652,0
0.533033,-0.097912,0
0.534605,-0.0969497,0
0.536178,-0.0959783,0
0.53775,-0.0949982,0
0.539322,-0.0940096,0
0.540895,-0.0930125,0
0.542467,-0.0920059,0
0.54404,-0.0909901,0
0.545612,-0.0899651,0
0.547184,-0.0889313,0
0.548757,-0.0878889,0
0.550329,-0.0868382,0
0.551901,-0.0857783,0
0.553474,-0.084709,0
0.555046,-0.0836306,0
0.556619,-0.0825433,0
0.558191,-0.0814475,0
0.559763,-0.0803432,0
0.561336,-0.0792304,0
0.562908,-0.0781082,0
0.56448,-0.0769769,0
0.566053,-0.0758367,0
0.567625,-0.074688,0
0.569197,-0.073531,0
0.57077,-0.0723657,0
0.572342,-0.0711913,0
0.573915,-0.0700078,0
0.575487,-0.0688156,0
0.577059,-0.0676149,0
0.578632,-0.066406,0
0.580204,-0.0651891,0
0.581776,-0.0639637,0
0.583349,-0.0627293,0
0.584921,-0.0614862,0
0.586494,-0.0602349,0
0.588066,-0.0589755,0
0.589638,-0.0577084,0
0.591211,-0.0564334,0
0.592783,-0.0551496,0
0.594355,-0.0538575,0
0.595928,-0.0525572,0
0.5975,-0.0512491,0
0.599072,-0.0499335,0
0.600645,-0.0486106,0
0.602217,-0.0472794,0
0.60379,-0.0459401,0
0.605362,-0.0445929,0
0.606934,-0.0432382,0
0.608507,-0.0418764,0
0.610079,-0.0405077,0
0.611651,-0.0391316,0
0.613224,-0.0377476,0
0.614796,-0.0363562,0
0.616369,-0.0349576,0
0.617941,-0.0335522,0
0.619513,-0.0321404,0
0.621086,-0.030722,0
0.622658,-0.0292963,0
0.62423,-0.0278635,0
0.625803,-0.026424,0
0.627375,-0.0249781,0
0.628947,-0.0235262,0
0.63052,-0.0220687,0
0.632092,-0.0206046,0
0.633665,-0.0191338,0
0.635237,-0.0176569,0
0.636809,-0.0161741,0
0.638382,-0.0146858,0
0.639954,-0.0131926,0
0.641526,-0.0116938,0
0.643099,-0.010189,0
0.644671,-0.00867848,0
0.646244,-0.00716274,0
0.647816,-0.00564215,0
0.649388,-0.00411714,0
0.650961,-0.00258775,0
0.652533,-0.00105303,0
0.654105,0.000486729,0
0.655678,0.0020311,0
0.65725,0.00357966,0
0.658822,0.00513196,0
0.660395,0.00668764,0
0.661967,0.00824757,0
0.66354,0.00981186,0
0.665112,0.0113801,0
0.666684,0.0129517,0
0.668257,0.0145264,0
0.669829,0.0161037,0
0.671401,0.0176839,0
0.672974,0.0192677,0
0.674546,0.0208547,0
0.676119,0.0224444,0
0.677691,0.0240364,0
0.679263,0.0256301,0
0.680836,0.0272254,0
0.682408,0.0288234,0
0.68398,0.0304237,0
0.685553,0.0320259,0
0.687125,0.0336296,0
0.688697,0.0352341,0
0.69027,0.0368392,0
0.691842,0.0384456,0
0.693415,0.0400535,0
0.694987,0.0416625,0
0.696559,0.043272,0
0.698132,0.0448816,0
0.699704,0.0464908,0
0.701276,0.0480997,0
0.702849,0.0497093,0
0.704421,0.0513191,0
0.705994,0.0529285,0
0.707566,0.0545371,0
0.709138,0.0561443,0
0.710711,0.0577498,0
0.712283,0.0593548,0
0.713855,0.060959,0
0.715428,0.062562,0
0.717,0.0641632,0
0.718572,0.0657621,0
0.720145,0.0673581,0
0.721717,0.0689521,0
0.72329,0.0705445,0
0.724862,0.0721347,0
0.726434,0.0737222,0
0.728007,0.0753063,0
0.729579,0.0768866,0
0.731151,0.0784631,0
0.732724,0.080037,0
0.734296,0.0816078,0
0.735869,0.0831749,0
0.737441,0.0847377,0
0.739013,0.0862956,0
0.740586,0.0878482,0
0.742158,0.0893969,0
0.74373,0.0909415,0
0.745303,0.0924815,0
0.746875,0.0940162,0
0.748447,0.0955451,0
0.75002,0.0970674,0
0.751592,0.0985841,0
0.753165,0.100096,0
0.754737,0.101602,0
0.756309,0.103102,0
0.757882,0.104595,0
0.759454,0.10608,0
0.761026,0.107558,0
0.762599,0.10903,0
0.764171,0.110496,0
0.765744,0.111954,0
0.767316,0.113405,0
0.768888,0.114846,0
0.770461,0.116279,0
0.772033,0.117705,0
0.773605,0.119123,0
0.775178,0.120533,0
0.77675,0.121934,0
0.778323,0.123326,0
0.779895,0.124707,0
0.781467,0.126079,0
0.78304,0.127443,0
0.784612,0.128798,0
0.786184,0.130144,0
0.787757,0.131478,0
0.789329,0.132802,0
0.790901,0.134115,0
0.792474,0.135418,0
0.794046,0.136712,0
0.795619,0.137995,0
0.797191,0.139267,0
0.798763,0.140526,0
0.800336,0.141773,0
0.801908,0.14301,0
0.80348,0.144236,0
0.805053,0.145451,0
0.806625,0.146653,0
0.808198,0.147843,0
0.80977,0.14902,0
0.811342,0.150183,0
0.812915,0.151335,0
0.814487,0.152476,0
0.816059,0.153604,0
0.817632,0.154719,0
0.819204,0.155819,0
0.820776,0.156904,0
0.822349,0.157978,0
0.823921,0.159039,0
0.825494,0.160087,0
0.827066,0.161121,0
0.828638,0.16214,0
0.830211,0.163143,0
0.831783,0.164133,0
0.833355,0.16511,0
0.834928,0.166073,0
0.8365,0.167023,0
0.838073,0.167956,0
0.839645,0.168873,0
0.841217,0.169775,0
0.84279,0.170664,0
0.844362,0.171539,0
0.845934,0.172399,0
0.847507,0.173244,0
0.849079,0.174072,0
0.850651,0.174883,0
0.852224,0.17568,0
0.853796,0.176463,0
0.855369,0.177232,0
0.856941,0.177985,0
0.858513,0.178721,0
0.860086,0.179439,0
0.861658,0.180142,0
0.86323,0.180831,0
0.864803,0.181506,0
0.866375,0.182166,0
0.867948,0.182808,0
0.86952,0.183433,0
0.871092,0.184039,0
0.872665,0.184633,0
0.874237,0.185213,0
0.875809,0.185778,0
0.877382,0.186326,0
0.878954,0.186856,0
0.880526,0.187367,0
0.882099,0.187864,0
0.883671,0.188349,0
0.885244,0.188819,0
0.886816,0.189273,0
0.888388,0.189709,0
0.889961,0.190125,0
0.891533,0.190526,0
0.893105,0.190916,0
0.894678,0.191292,0
0.89625,0.191652,0
0.897823,0.191995,0
0.899395,0.19232,0
0.900967,0.192625,0
0.90254,0.192921,0
0.904112,0.193204,0
0.905684,0.193474,0
0.907257,0.193727,0
0.908829,0.193961,0
0.910401,0.194174,0
0.911974,0.194377,0
0.913546,0.194571,0
0.915119,0.194753,0
0.916691,0.19492,0
0.918263,0.195067,0
0.919836,0.19519,0
0.921408,0.1953,0
0.92298,0.19541,0
0.924553,0.195512,0
0.926125,0.195599,0
0.927698,0.195665,0
0.92927,0.1957,0
0.930842,0.195704,0
0.932415,0.195701,0
0.933987,0.195696,0
0.935559,0.195689,0
0.937132,0.19568,0
0.938704,0.195669,0
0.940276,0.195655,0
0.941849,0.195617,0
0.943421,0.195549,0
0.944994,0.195458,0
0.946566,0.19535,0
0.948138,0.195234,0
0.949711,0.195116,0
0.951283,0.194994,0
0.952855,0.194853,0
0.954428,0.194696,0
0.956,0.194525,0
0.957573,0.194343,0
0.959145,0.194155,0
0.960717,0.19396,0
0.96229,0.193752,0
0.963862,0.193529,0
0.965434,0.193294,0
0.967007,0.193049,0
0.968579,0.192795,0
0.970151,0.192534,0
0.971724,0.192264,0
0.973296,0.19198,0
0.974869,0.191685,0
0.976441,0.19138,0
0.978013,0.191067,0
0.979586,0.190746,0
0.981158,0.190418,0
0.98273,0.190079,0
0.984303,0.189729,0
0.985875,0.18937,0
0.987448,0.189002,0
0.98902,0.188628,0
0.990592,0.188247,0
0.992165,0.187856,0
0.993737,0.187457,0
0.995309,0.187048,0
0.996882,0.186632,0
0.998454,0.186209,0
1.00003,0.185781,0
1.0016,0.185345,0
1.00317,0.1849,0
1.00474,0.184448,0
1.00632,0.183988,0
1.00789,0.183523,0
1.00946,0.183051,0
1.01103,0.182574,0
1.01261,0.18209,0
1.01418,0.181599,0
1.01575,0.181101,0
1.01732,0.180598,0
1.01889,0.18009,0
1.02047,0.179577,0
1.02204,0.179058,0
1.02361,0.178533,0
1.02518,0.178002,0
1.02676,0.177467,0
1.02833,0.176927,0
1.0299,0.176383,0
1.03147,0.175834,0
1.03305,0.17528,0
1.03462,0.174722,0
1.03619,0.174159,0
1.03776,0.173592,0
1.03934,0.173022,0
1.04091,0.172448,0
1.04248,0.171871,0
1.04405,0.171289,0
1.04563,0.170704,0
1.0472,0.170115,0
1.04877,0.169524,0
1.05034,0.16893,0
1.05191,0.168334,0
1.05349,0.167734,0
1.05506,0.167131,0
1.05663,0.166526,0
1.0582,0.165918,0
1.05978,0.165309,0
1.06135,0.164698,0
1.06292,0.164085,0
1.06449,0.163469,0
1.06607,0.162852,0
1.06764,0.162233,0
1.06921,0.161613,0
1.07078,0.160992,0
1.07236,0.16037,0
1.07393,0.159746,0
1.0755,0.159121,0
1.07707,0.158495,0
1.07864,0.157868,0
1.08022,0.157241,0
1.08179,0.156614,0
1.08336,0.155986,0
1.08493,0.155357,0
1.08651,0.154728,0
1.08808,0.154099,0
1.08965,0.15347,0
