# 20240822_164407
# initdata:	data/init_real_pi_consteps_20240822_135426/init4.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,67814.4,0
0.010101,63265.8,0
0.020202,51417.5,0
0.030303,36570.3,0
0.040404,23099.2,0
0.0505051,13456.1,0
0.0606061,7773.64,0
0.0707071,4839.87,0
0.0808081,3334.22,0
0.0909091,2451.51,0
0.10101,1856.07,0
0.111111,1415.42,0
0.121212,1060.99,0
0.131313,777.852,0
0.141414,585.09,0
0.151515,476.909,0
0.161616,402.816,0
0.171717,316.524,0
0.181818,223.695,0
0.191919,162.673,0
0.20202,147.31,0
0.212121,148.342,0
0.222222,131.901,0
0.232323,98.4446,0
0.242424,73.2197,0
0.252525,68.4009,0
0.262626,69.5814,0
0.272727,59.0657,0
0.282828,39.1212,0
0.292929,25.1623,0
0.30303,23.4022,0
0.313131,24.9772,0
0.323232,20.9024,0
0.333333,13.8875,0
0.343434,11.8276,0
0.353535,15.3358,0
0.363636,17.5664,0
0.373737,14.5188,0
0.383838,9.85556,0
0.393939,8.47761,0
0.40404,9.60403,0
0.414141,9.00427,0
0.424242,5.68738,0
0.434343,2.89533,0
0.444444,2.92328,0
0.454545,4.09831,0
0.464646,3.86343,0
0.474747,2.57226,0
0.484848,2.40555,0
0.494949,3.71294,0
0.505051,4.52153,0
0.515152,3.5754,0
0.525253,2.04527,0
0.535354,1.5797,0
0.545455,1.97617,0
0.555556,1.86591,0
0.565657,0.97314,0
0.575758,0.406533,0
0.585859,0.816533,0
0.59596,1.43741,0
0.606061,1.35505,0
0.616162,0.860037,0
0.626263,0.848468,0
0.636364,1.36793,0
0.646465,1.5812,0
0.656566,1.06937,0
0.666667,0.414455,0
0.676768,0.273954,0
0.686869,0.477104,0
0.69697,0.455153,0
0.707071,0.182869,0
0.717172,0.146997,0
0.727273,0.501332,0
0.737374,0.796116,0
0.747475,0.665931,0
0.757576,0.358962,0
0.767677,0.316271,0
0.777778,0.50852,0
0.787879,0.538864,0
0.79798,0.280533,0
0.808081,0.0423533,0
0.818182,0.0687408,0
0.828283,0.198971,0
0.838384,0.179122,0
0.848485,0.0745942,0
0.858586,0.132009,0
0.868687,0.350446,0
0.878788,0.457869,0
0.888889,0.31599,0
0.89899,0.114637,0
0.909091,0.0759602,0
0.919192,0.148416,0
0.929293,0.140217,0
0.939394,0.0380239,0
0.949495,0.00603287,0
0.959596,0.102446,0
0.969697,0.184352,0
0.979798,0.140176,0
0.989899,0.0646632,0
1,0.102701,0
