# 20240826_134421
alpha,Df0Re,Df0Im
0,0.100568,0
0.01,0.100932,0
0.02,0.101187,0
0.03,0.101443,0
0.04,0.101757,0
0.05,0.102153,0
0.06,0.10264,0
0.07,0.103216,0
0.08,0.103878,0
0.09,0.104625,0
0.1,0.105455,0
0.11,0.106369,0
0.12,0.10737,0
0.13,0.108461,0
0.14,0.109646,0
0.15,0.110931,0
0.16,0.112317,0
0.17,0.11381,0
0.18,0.115413,0
0.19,0.117129,0
0.2,0.118961,0
0.21,0.120912,0
0.22,0.122985,0
0.23,0.125183,0
0.24,0.127511,0
0.25,0.129972,0
0.26,0.132572,0
0.27,0.135314,0
0.28,0.138204,0
0.29,0.141247,0
0.3,0.144448,0
0.31,0.147811,0
0.32,0.151342,0
0.33,0.155043,0
0.34,0.158917,0
0.35,0.162966,0
0.36,0.167193,0
0.37,0.171596,0
0.38,0.176174,0
0.39,0.180926,0
0.4,0.185847,0
0.41,0.190934,0
0.42,0.196181,0
0.43,0.201581,0
0.44,0.207125,0
0.45,0.212804,0
0.46,0.218608,0
0.47,0.224526,0
0.48,0.230543,0
0.49,0.236644,0
0.5,0.242814,0
0.51,0.249035,0
0.52,0.255286,0
0.53,0.261545,0
0.54,0.267788,0
0.55,0.273991,0
0.56,0.280124,0
0.57,0.286158,0
0.58,0.292061,0
0.59,0.297802,0
0.6,0.303345,0
0.61,0.308656,0
0.62,0.313699,0
0.63,0.318439,0
0.64,0.322841,0
0.65,0.32687,0
0.66,0.330493,0
0.67,0.333679,0
0.68,0.336398,0
0.69,0.338621,0
0.7,0.340324,0
0.71,0.341482,0
0.72,0.342076,0
0.73,0.342088,0
0.74,0.341503,0
0.75,0.340308,0
0.76,0.338494,0
0.77,0.336057,0
0.78,0.332994,0
0.79,0.329308,0
0.8,0.325008,0
0.81,0.320104,0
0.82,0.314615,0
0.83,0.308563,0
0.84,0.301978,0
0.85,0.294895,0
0.86,0.287354,0
0.87,0.279399,0
0.88,0.27108,0
0.89,0.262451,0
0.9,0.253565,0
0.91,0.244481,0
0.92,0.235254,0
0.93,0.225939,0
0.94,0.21659,0
0.95,0.207257,0
0.96,0.197986,0
0.97,0.188818,0
0.98,0.17979,0
0.99,0.170937,0
1,0.162284,0
1.01,0.153858,0
1.02,0.145678,0
1.03,0.137762,0
1.04,0.130124,0
1.05,0.122775,0
1.06,0.115724,0
1.07,0.108977,0
1.08,0.102538,0
1.09,0.0964062,0
1.1,0.0905804,0
1.11,0.0850546,0
1.12,0.0798209,0
1.13,0.0748686,0
1.14,0.0701853,0
1.15,0.0657575,0
1.16,0.0615711,0
1.17,0.0576125,0
1.18,0.0538696,0
1.19,0.0503314,0
1.2,0.0469892,0
1.21,0.0438358,0
1.22,0.0408655,0
1.23,0.0380727,0
1.24,0.0354518,0
1.25,0.0329957,0
1.26,0.0306955,0
1.27,0.02854,0
1.28,0.0265165,0
1.29,0.0246109,0
1.3,0.0228092,0
1.31,0.0210991,0
1.32,0.019471,0
1.33,0.0179189,0
1.34,0.0164405,0
1.35,0.0150368,0
1.36,0.01371,0
1.37,0.0124621,0
1.38,0.0112929,0
1.39,0.0101985,0
1.4,0.00917162,0
1.41,0.00820284,0
1.42,0.00728274,0
1.43,0.00640436,0
1.44,0.00556459,0
1.45,0.00476336,0
1.46,0.0040003,0
1.47,0.00326985,0
1.48,0.00255728,0
1.49,0.00183866,0
1.5,0.00108671,0
1.51,0.000279009,0
1.52,-0.000600549,0
1.53,-0.00158027,0
1.54,-0.0027417,0
1.55,-0.00425756,0
1.56,-0.00639907,0
1.57,-0.00970118,0
1.58,-0.0165683,0
