# 20240826_134421
# initdata:	data/init_real_pi_consteps_20240822_135440/init8.csv
# particle mass:	0.29
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,51262.8,0
0.0100503,49680.5,0
0.0201005,45250.8,0
0.0301508,38829.5,0
0.040201,31556.7,0
0.0502513,24528.7,0
0.0603015,18510.3,0
0.0703518,13792.4,0
0.080402,10246.1,0
0.0904523,7532.28,0
0.100503,5351.46,0
0.110553,3593.23,0
0.120603,2310.93,0
0.130653,1566.37,0
0.140704,1282.27,0
0.150754,1228.45,0
0.160804,1152.16,0
0.170854,937.048,0
0.180905,649.559,0
0.190955,435.849,0
0.201005,369.817,0
0.211055,393.021,0
0.221106,390.252,0
0.231156,309.926,0
0.241206,203.234,0
0.251256,152.011,0
0.261307,174.466,0
0.271357,212.038,0
0.281407,201.789,0
0.291457,144.432,0
0.301508,92.9983,0
0.311558,85.0431,0
0.321608,102.716,0
0.331658,102.615,0
0.341709,70.8489,0
0.351759,34.9281,0
0.361809,24.5011,0
0.371859,35.6126,0
0.38191,41.5044,0
0.39196,29.8125,0
0.40201,15.7624,0
0.41206,17.8471,0
0.422111,32.1495,0
0.432161,38.9826,0
0.442211,29.6687,0
0.452261,16.3115,0
0.462312,13.6612,0
0.472362,19.9389,0
0.482412,21.7586,0
0.492462,13.5966,0
0.502513,4.18585,0
0.512563,3.03562,0
0.522613,7.75699,0
0.532663,9.23874,0
0.542714,5.3034,0
0.552764,2.88054,0
0.562814,6.86107,0
0.572864,12.6701,0
0.582915,12.8601,0
0.592965,7.42959,0
0.603015,3.18899,0
0.613065,4.02133,0
0.623116,6.31316,0
0.633166,5.19119,0
0.643216,1.59159,0
0.653266,0.176473,0
0.663317,2.17094,0
0.673367,3.963,0
0.683417,2.90841,0
0.693467,1.19048,0
0.703518,2.18261,0
0.713568,5.16485,0
0.723618,6.27887,0
0.733668,4.02713,0
0.743719,1.16756,0
0.753769,0.611959,0
0.763819,1.65236,0
0.773869,1.73112,0
0.78392,0.51006,0
0.79397,0.0657553,0
0.80402,1.36578,0
0.81407,2.68057,0
0.824121,2.24072,0
0.834171,0.906999,0
0.844221,0.81661,0
0.854271,2.1802,0
0.864322,3.02922,0
0.874372,2.11022,0
0.884422,0.543833,0
0.894472,0.0120789,0
0.904523,0.4444,0
0.914573,0.566974,0
0.924623,0.11259,0
0.934673,0.152955,0
0.944724,1.19118,0
0.954774,2.1455,0
0.964824,1.84905,0
0.974874,0.759488,0
0.984925,0.290847,0
0.994975,0.820822,0
1.00503,1.31371,0
1.01508,0.957218,0
1.02513,0.262136,0
1.03518,0.114187,0
1.04523,0.426626,0
1.05528,0.455212,0
1.06533,0.116101,0
1.07538,0.146684,0
1.08543,0.874251,0
1.09548,1.56221,0
1.10553,1.38535,0
1.11558,0.575755,0
1.12563,0.055048,0
1.13568,0.169252,0
1.14573,0.393952,0
1.15578,0.289737,0
1.16583,0.136786,0
1.17588,0.342032,0
1.18593,0.684196,0
1.19598,0.637662,0
1.20603,0.242525,0
1.21608,0.112826,0
1.22613,0.531543,0
1.23618,1.00333,0
1.24623,0.936031,0
1.25628,0.429962,0
1.26633,0.0542647,0
1.27638,0.0400777,0
1.28643,0.105547,0
1.29648,0.0492464,0
1.30653,0.084085,0
1.31658,0.403095,0
1.32663,0.739706,0
1.33668,0.684667,0
1.34673,0.295172,0
1.35678,0.0488979,0
1.36683,0.192197,0
1.37688,0.44171,0
1.38693,0.439253,0
1.39698,0.238602,0
1.40704,0.131418,0
1.41709,0.169181,0
1.42714,0.148674,0
1.43719,0.0275742,0
1.44724,0.0486033,0
1.45729,0.345631,0
1.46734,0.65905,0
1.47739,0.64001,0
1.48744,0.316157,0
1.49749,0.0415298,0
1.50754,0.0247299,0
1.51759,0.126375,0
1.52764,0.155981,0
1.53769,0.151982,0
1.54774,0.233438,0
1.55779,0.330593,0
1.56784,0.271142,0
1.57789,0.0878662,0
1.58794,0.0290761,0
1.59799,0.213241,0
1.60804,0.439607,0
1.61809,0.447246,0
1.62814,0.248084,0
1.63819,0.0673816,0
1.64824,0.0235444,0
1.65829,0.0321317,0
1.66834,0.0225979,0
1.67839,0.0723877,0
1.68844,0.240426,0
1.69849,0.396425,0
1.70854,0.359222,0
1.71859,0.157881,0
1.72864,0.014999,0
1.73869,0.0612957,0
1.74874,0.189104,0
1.75879,0.232753,0
1.76884,0.184092,0
1.77889,0.14185,0
1.78894,0.127161,0
1.79899,0.077993,0
1.80905,0.00821502,0
1.8191,0.0360103,0
1.82915,0.203593,0
1.8392,0.367907,0
1.84925,0.356753,0
1.8593,0.18678,0
1.86935,0.0323106,0
1.8794,0.00417238,0
1.88945,0.050824,0
1.8995,0.0869601,0
1.90955,0.117255,0
1.9196,0.174829,0
1.92965,0.213732,0
1.9397,0.160059,0
1.94975,0.0480259,0
1.9598,0.00844634,0
1.96985,0.0993564,0
1.9799,0.2215,0
1.98995,0.244667,0
2,0.163741,0
