# 20240826_135714
# initdata:	data/init_real_pi_consteps_20240822_135426/init8.csv
# particle mass:	0.43
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,46774.3,0
0.0100503,46076.1,0
0.0201005,44046.4,0
0.0301508,40865.1,0
0.040201,36790.8,0
0.0502513,32121,0
0.0603015,27163.1,0
0.0703518,22223.8,0
0.080402,17602.7,0
0.0904523,13574.3,0
0.100503,10344.6,0
0.110553,7996.59,0
0.120603,6454.54,0
0.130653,5502.76,0
0.140704,4866.39,0
0.150754,4321.37,0
0.160804,3773.07,0
0.170854,3255.06,0
0.180905,2850.68,0
0.190955,2596.04,0
0.201005,2437.21,0
0.211055,2271.84,0
0.221106,2034.83,0
0.231156,1750.28,0
0.241206,1502.89,0
0.251256,1356.02,0
0.261307,1293.56,0
0.271357,1239.27,0
0.281407,1132.12,0
0.291457,981.543,0
0.301508,849.335,0
0.311558,780.582,0
0.321608,757.528,0
0.331658,722.76,0
0.341709,642.784,0
0.351759,541.063,0
0.361809,467.007,0
0.371859,439.391,0
0.38191,428.821,0
0.39196,395.75,0
0.40201,336.53,0
0.41206,283.865,0
0.422111,264.827,0
0.432161,269.015,0
0.442211,263.797,0
0.452261,234.686,0
0.462312,200.298,0
0.472362,185.767,0
0.482412,190.526,0
0.492462,190.656,0
0.502513,170.251,0
0.512563,140.401,0
0.522613,122.93,0
0.532663,122.221,0
0.542714,121.77,0
0.552764,107.723,0
0.562814,86.8475,0
0.572864,76.0874,0
0.582915,79.5727,0
0.592965,84.1659,0
0.603015,77.9775,0
0.613065,65.6142,0
0.623116,60.2159,0
0.633166,64.6909,0
0.643216,68.1701,0
0.653266,61.3893,0
0.663317,48.9474,0
0.673367,42.1319,0
0.683417,43.4303,0
0.693467,44.3122,0
0.703518,38.1801,0
0.713568,29.5326,0
0.723618,26.994,0
0.733668,31.0255,0
0.743719,33.7482,0
0.753769,30.297,0
0.763819,25.1196,0
0.773869,24.7855,0
0.78392,28.3491,0
0.79397,28.9813,0
0.80402,23.8746,0
0.81407,17.9656,0
0.824121,16.6392,0
0.834171,18.4246,0
0.844221,17.9188,0
0.854271,13.9848,0
0.864322,11.148,0
0.874372,12.6596,0
0.884422,15.7456,0
0.894472,15.778,0
0.904523,12.8512,0
0.914573,11.1739,0
0.924623,12.6188,0
0.934673,14.0918,0
0.944724,12.3065,0
0.954774,8.60898,0
0.964824,6.87486,0
0.974874,7.93619,0
0.984925,8.78961,0
0.994975,7.37924,0
1.00503,5.58295,0
1.01508,6.13495,0
1.02513,8.3784,0
1.03518,9.20444,0
1.04523,7.5759,0
1.05528,5.83719,0
1.06533,6.06892,0
1.07538,7.10266,0
1.08543,6.50739,0
1.09548,4.33059,0
1.10553,2.97173,0
1.11558,3.60763,0
1.12563,4.62697,0
1.13568,4.25175,0
1.14573,3.18786,0
1.15578,3.35815,0
1.16583,4.82057,0
1.17588,5.60384,0
1.18593,4.61208,0
1.19598,3.16159,0
1.20603,2.94137,0
1.21608,3.58826,0
1.22613,3.46382,0
1.23618,2.26458,0
1.24623,1.45353,0
1.25628,1.99572,0
1.26633,2.93322,0
1.27638,2.90253,0
1.28643,2.16595,0
1.29648,2.07722,0
1.30653,2.91382,0
1.31658,3.4277,0
1.32663,2.73402,0
1.33668,1.61254,0
1.34673,1.30572,0
1.35678,1.73286,0
1.36683,1.79915,0
1.37688,1.18515,0
1.38693,0.813915,0
1.39698,1.35387,0
1.40704,2.1401,0
1.41709,2.16514,0
1.42714,1.56608,0
1.43719,1.34121,0
1.44724,1.7899,0
1.45729,2.08584,0
1.46734,1.57974,0
1.47739,0.787825,0
1.48744,0.595944,0
1.49749,0.965167,0
1.50754,1.10818,0
1.51759,0.768876,0
1.52764,0.587359,0
1.53769,1.0314,0
1.54774,1.60569,0
1.55779,1.56753,0
1.56784,1.02306,0
1.57789,0.730049,0
1.58794,0.950152,0
1.59799,1.12046,0
1.60804,0.789567,0
1.61809,0.327235,0
1.62814,0.336325,0
1.63819,0.727787,0
1.64824,0.892068,0
1.65829,0.656088,0
1.66834,0.520407,0
1.67839,0.833811,0
1.68844,1.21449,0
1.69849,1.11138,0
1.70854,0.625724,0
1.71859,0.341084,0
1.72864,0.460603,0
1.73869,0.57903,0
1.74874,0.384059,0
1.75879,0.152449,0
1.76884,0.286331,0
1.77889,0.65365,0
1.78894,0.775415,0
1.79899,0.552936,0
1.80905,0.397309,0
1.8191,0.574853,0
1.82915,0.795653,0
1.8392,0.669127,0
1.84925,0.302983,0
1.8593,0.130853,0
1.86935,0.265091,0
1.8794,0.379168,0
1.88945,0.261908,0
1.8995,0.148027,0
1.90955,0.318142,0
1.9196,0.620506,0
1.92965,0.673606,0
1.9397,0.432399,0
1.94975,0.242038,0
1.9598,0.311653,0
1.96985,0.42683,0
1.9799,0.32045,0
1.98995,0.0978405,0
2,0.0607476,0
