# 20240822_164902
alpha,f0Re,f0Im
0,0.098991,0
0.01,0.0989683,0
0.02,0.0989251,0
0.03,0.0988626,0
0.04,0.0987816,0
0.05,0.0986819,0
0.06,0.0985633,0
0.07,0.0984256,0
0.08,0.098268,0
0.09,0.0980903,0
0.1,0.0978919,0
0.11,0.0976723,0
0.12,0.0974309,0
0.13,0.0971671,0
0.14,0.0968804,0
0.15,0.0965701,0
0.16,0.0962352,0
0.17,0.0958751,0
0.18,0.0954886,0
0.19,0.0950746,0
0.2,0.094632,0
0.21,0.0941595,0
0.22,0.0936555,0
0.23,0.0931187,0
0.24,0.0925473,0
0.25,0.0919397,0
0.26,0.0912941,0
0.27,0.0906085,0
0.28,0.0898811,0
0.29,0.0891097,0
0.3,0.0882921,0
0.31,0.0874262,0
0.32,0.0865097,0
0.33,0.0855401,0
0.34,0.084515,0
0.35,0.083432,0
0.36,0.0822885,0
0.37,0.0810819,0
0.38,0.0798097,0
0.39,0.0784694,0
0.4,0.0770583,0
0.41,0.075574,0
0.42,0.0740141,0
0.43,0.0723762,0
0.44,0.0706581,0
0.45,0.0688577,0
0.46,0.0669728,0
0.47,0.0650019,0
0.48,0.0629431,0
0.49,0.060795,0
0.5,0.0585565,0
0.51,0.0562264,0
0.52,0.0538039,0
0.53,0.0512888,0
0.54,0.0486805,0
0.55,0.0459794,0
0.56,0.0431857,0
0.57,0.0403003,0
0.58,0.0373244,0
0.59,0.0342594,0
0.6,0.0311072,0
0.61,0.0278705,0
0.62,0.0245518,0
0.63,0.0211545,0
0.64,0.0176824,0
0.65,0.0141396,0
0.66,0.010531,0
0.67,0.00686153,0
0.68,0.00313689,0
0.69,-0.000636927,0
0.7,-0.00445348,0
0.71,-0.008306,0
0.72,-0.0121873,0
0.73,-0.0160901,0
0.74,-0.0200066,0
0.75,-0.0239289,0
0.76,-0.0278491,0
0.77,-0.0317589,0
0.78,-0.0356503,0
0.79,-0.039515,0
0.8,-0.043345,0
0.81,-0.0471322,0
0.82,-0.050869,0
0.83,-0.0545477,0
0.84,-0.0581611,0
0.85,-0.0617025,0
0.86,-0.0651654,0
0.87,-0.0685438,0
0.88,-0.0718322,0
0.89,-0.075026,0
0.9,-0.0781206,0
0.91,-0.0811127,0
0.92,-0.0839989,0
0.93,-0.0867772,0
0.94,-0.0894456,0
0.95,-0.092003,0
0.96,-0.0944491,0
0.97,-0.0967838,0
0.98,-0.0990079,0
0.99,-0.101122,0
1,-0.103129,0
1.01,-0.105029,0
1.02,-0.106826,0
1.03,-0.108521,0
1.04,-0.110119,0
1.05,-0.111621,0
1.06,-0.113032,0
1.07,-0.114354,0
1.08,-0.115591,0
1.09,-0.116747,0
1.1,-0.117825,0
1.11,-0.118828,0
1.12,-0.119761,0
1.13,-0.120625,0
1.14,-0.121425,0
1.15,-0.122164,0
1.16,-0.122844,0
1.17,-0.123468,0
1.18,-0.12404,0
1.19,-0.124561,0
1.2,-0.125035,0
1.21,-0.125464,0
1.22,-0.125849,0
1.23,-0.126194,0
1.24,-0.1265,0
1.25,-0.126769,0
1.26,-0.127003,0
1.27,-0.127204,0
1.28,-0.127374,0
1.29,-0.127513,0
1.3,-0.127623,0
1.31,-0.127705,0
1.32,-0.12776,0
1.33,-0.127791,0
1.34,-0.127796,0
1.35,-0.127778,0
1.36,-0.127738,0
1.37,-0.127675,0
1.38,-0.127592,0
1.39,-0.127488,0
1.4,-0.127363,0
1.41,-0.12722,0
1.42,-0.127057,0
1.43,-0.126876,0
1.44,-0.126677,0
1.45,-0.12646,0
1.46,-0.126225,0
1.47,-0.125973,0
1.48,-0.125704,0
1.49,-0.125418,0
1.5,-0.125115,0
1.51,-0.124795,0
1.52,-0.124459,0
1.53,-0.124106,0
1.54,-0.123736,0
1.55,-0.12335,0
1.56,-0.122948,0
1.57,-0.122532,0
1.58,-0.122106,0
